year,nos_DET heureux_ADJ
1800,4.7162467708972144e-08
1801,1.04772034603684e-07
1802,2.0140561218795483e-08
1803,1.1116933329446965e-07
1804,1.1123329368700752e-07
1805,4.8328920865259306e-08
1806,1.2103010238462275e-07
1807,1.7081731584767113e-08
1808,1.3596443970698147e-08
1809,5.873479214102417e-08
1810,9.360507036149102e-08
1811,3.008491944456182e-08
1812,4.000812303672774e-08
1813,6.614205716459765e-08
1814,1.0384034254684593e-07
1815,8.900837733527567e-08
1816,4.1716869958463576e-08
1817,1.3544798349585108e-07
1818,8.344824387052086e-08
1819,1.2421260520145694e-07
1820,1.49517664915777e-07
1821,1.2228245793721726e-07
1822,7.719724237631453e-08
1823,1.0574475206581724e-07
1824,8.926379724272238e-08
1825,8.805443307835503e-08
1826,1.0305341691108083e-07
1827,5.3460182058984174e-08
1828,4.953042775923677e-08
1829,6.258418300264523e-08
1830,5.635891398014792e-08
1831,8.41925122951892e-08
1832,7.84738247716632e-08
1833,5.096796451553587e-08
1834,3.733812214967713e-08
1835,4.9916380362446944e-08
1836,4.838939959839195e-08
1837,4.940102449335626e-08
1838,5.3653376852480505e-08
1839,1.887698375391267e-08
1840,5.796416568948359e-08
1841,3.2102742686390684e-08
1842,4.829950750462331e-08
1843,6.438533306507566e-08
1844,3.512679080941439e-08
1845,2.6785095030845696e-08
1846,5.327596053206207e-08
1847,4.2067142658197554e-08
1848,2.7353753262460145e-08
1849,1.8434713311421547e-08
1850,3.394498104825061e-08
1851,3.8696633897217225e-08
1852,6.185018097681905e-08
1853,3.1651239407182175e-08
1854,3.4291385286877585e-08
1855,4.563965916304369e-08
1856,3.209857180053177e-08
1857,6.443592148741573e-08
1858,5.236233491245912e-08
1859,2.189634606963864e-08
1860,5.492620758218436e-08
1861,5.706316241749221e-08
1862,8.448634514213182e-08
1863,5.943598679891693e-08
1864,3.0206785073261244e-08
1865,3.247722724086799e-08
1866,2.919367680931373e-08
1867,4.416058274614443e-08
1868,4.791677943316586e-08
1869,5.567211891488455e-08
1870,4.4152175693312756e-08
1871,2.3366590440332402e-08
1872,3.688877048269035e-08
1873,5.8064241581501363e-08
1874,3.5847656565390906e-08
1875,3.4329164122492983e-08
1876,3.204387843958045e-08
1877,8.41134961682144e-08
1878,3.9254076378281155e-08
1879,4.032154521382836e-08
1880,5.198455532706703e-08
1881,3.137628445948337e-08
1882,2.6621540527571597e-08
1883,3.033282736097931e-08
1884,4.423136790165927e-08
1885,2.5782542767416317e-08
1886,3.6784744139595205e-08
1887,4.1785117588233334e-08
1888,2.8532765483646472e-08
1889,3.571128076584884e-08
1890,2.6217545467943637e-08
1891,1.5298128430707436e-08
1892,2.3193495124473884e-08
1893,2.8944557195487164e-08
1894,3.59187755094581e-08
1895,2.768562623600701e-08
1896,2.889544248318998e-08
1897,2.388952613507911e-08
1898,2.206758398237696e-08
1899,9.39688327150634e-09
1900,3.7894688720285785e-08
1901,3.017919081305109e-08
1902,2.2096276808269977e-08
1903,1.9980815224585058e-08
1904,1.7736263124845664e-08
1905,1.4966200723165457e-08
1906,1.6461390472954918e-08
1907,1.0285686691258178e-08
1908,2.455694558811672e-08
1909,1.9253442729016967e-08
1910,2.7255168788542505e-08
1911,2.9794094857926723e-08
1912,1.510732161591477e-08
1913,1.484837142129436e-08
