year,très_ADV uni_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.3401267590372754e-09
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,0.0
1816,6.952811659743929e-09
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,5.9168927535324656e-09
1822,1.0025615893027862e-08
1823,0.0
1824,0.0
1825,0.0
1826,7.927186018719112e-09
1827,9.217273055917019e-10
1828,0.0
1829,7.715858174606183e-09
1830,3.1310507520032616e-09
1831,1.5591206103948707e-09
1832,1.6235963684607668e-08
1833,0.0
1834,1.8669061851994684e-09
1835,1.5126175867408165e-09
1836,6.72075017860152e-09
1837,1.8090515752078318e-08
1838,6.312161904276081e-10
1839,1.3982950353153e-09
1840,3.1848443882154243e-09
1841,0.0
1842,0.0
1843,1.1813822142769936e-09
1844,2.195424508855126e-09
1845,0.0
1846,1.7563503984519002e-09
1847,1.0786447290911383e-09
1848,0.0
1849,0.0
1850,2.0366988096043315e-08
1851,4.514607354622058e-09
1852,3.2552727180501506e-09
1853,7.166318205520383e-09
1854,3.63696517347023e-09
1855,3.1841622671890946e-09
1856,0.0
1857,4.881509085841174e-10
1858,9.787352039936081e-10
1859,5.092173349652285e-10
1860,0.0
1861,4.715963619617014e-09
1862,1.8071945051545413e-09
1863,4.994620828036034e-10
1864,0.0
1865,0.0
1866,9.731225825149181e-10
1867,1.94112459439566e-09
1868,0.0
1869,1.4650557433881772e-09
1870,2.2936195165357276e-09
1871,0.0
1872,0.0
1873,5.986004469882289e-10
1874,0.0
1875,0.0
1876,6.04601479992084e-10
1877,6.184815992682502e-10
1878,0.0
1879,2.443730107160036e-09
1880,1.9253538763308597e-09
1881,6.972507571312292e-10
1882,3.9932310791357395e-09
1883,3.159669414998234e-09
1884,1.3203393933736152e-09
1885,1.933690763067375e-09
1886,7.098810428374236e-09
1887,2.6115698492645834e-09
1888,9.510921827882157e-09
1889,3.759081934617825e-09
1890,5.898947996740844e-09
1891,9.561330394092238e-09
1892,1.191017329205124e-08
1893,8.621783287310336e-09
1894,5.041231432301174e-09
1895,2.4074457982692365e-09
1896,1.4152869098893461e-08
1897,6.409385022720926e-09
1898,5.6583548957434004e-09
1899,9.949641111006713e-09
1900,6.22926377147337e-09
1901,1.117747761014698e-08
1902,1.669496474399068e-08
1903,4.860198465905796e-09
1904,3.2247751136083025e-09
1905,8.257214467732865e-09
1906,1.5432553013283723e-09
1907,9.771402353919711e-09
1908,1.4734167663732478e-08
1909,4.4007870125817306e-09
1910,7.481810726517324e-09
1911,7.448523575703803e-09
1912,3.6465949149189214e-09
1913,2.6514948014977335e-09
1914,1.339348720819089e-08
1915,1.295883844676382e-08
1916,7.69122365795738e-09
1917,1.315970976634162e-08
1918,1.2635013924011673e-08
1919,1.8415696745321952e-09
1920,7.572231730534895e-09
1921,0.0
