year,accidents_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,5.851017448321727e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,0.0
1810,9.360507036149102e-09
1811,0.0
1812,0.0
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,4.6352077731626196e-09
1817,1.2454987263765815e-08
1818,7.152706427149269e-09
1819,0.0
1820,1.1866481131050932e-09
1821,1.0847637454958203e-08
1822,6.015369535816717e-09
1823,9.882686891060644e-10
1824,1.3473780313688621e-08
1825,0.0
1826,1.7615968683770689e-09
1827,9.217273055917019e-10
1828,5.503380862137419e-09
1829,0.0
1830,3.1310507520032616e-09
1831,0.0
1832,4.058990921151917e-09
1833,2.3167257001688313e-09
1834,1.5868701908061666e-08
1835,9.832014313815307e-09
1836,4.704525213838906e-09
1837,1.1828414692161004e-08
1838,1.009945904684173e-08
1839,1.8177836125232716e-08
1840,3.121147429396842e-08
1841,1.6051371787284552e-08
1842,1.6770663080478698e-08
1843,4.548321541619771e-08
1844,3.512679214168202e-08
1845,2.3436957263811564e-08
1846,2.1076203893244383e-08
1847,2.588747349818732e-08
1848,2.333114323960217e-08
1849,2.262441967104678e-08
1850,1.4935791270431764e-08
1851,2.644269869733762e-08
1852,4.036538214791108e-08
1853,1.6124216628554677e-08
1854,2.649788943820397e-08
1855,3.343370380548549e-08
1856,2.692138467708105e-08
1857,3.905207179855097e-08
1858,3.3766365703513657e-08
1859,3.055303920973529e-08
1860,1.9681891672007623e-08
1861,2.5466203368296192e-08
1862,2.0782737308877586e-08
1863,4.5950510951797696e-08
1864,3.308362295229017e-08
1865,2.871175119878444e-08
1866,3.3572728597164314e-08
1867,3.88224918879132e-08
1868,2.3217407663089773e-08
1869,1.953407746668745e-08
1870,3.268407766654491e-08
1871,2.1242353653860846e-08
1872,2.2979889990892843e-08
1873,2.1549615425442425e-08
1874,1.7923827755339516e-08
1875,1.4303817685856757e-08
1876,3.204387866162506e-08
1877,1.9791411176584006e-08
1878,1.3889904337816006e-08
1879,2.2604503158163425e-08
1880,2.3746030919369332e-08
1881,1.8825771164188154e-08
1882,1.7304001787010748e-08
1883,1.579834751908038e-08
1884,2.0465261485469455e-08
1885,1.6114089618213256e-08
1886,1.4842967244188543e-08
1887,1.5669418762520593e-08
1888,1.3315291091942072e-08
1889,2.5687061366852504e-08
1890,2.1629475099871343e-08
1891,2.932141285327816e-08
1892,1.3163876211308434e-08
1893,3.387129154930335e-08
1894,8.822155450616265e-09
1895,2.5880042997528108e-08
1896,2.358811634906033e-08
1897,3.1464253424928756e-08
1898,3.281845906144554e-08
1899,2.432134493801641e-08
1900,3.685647675943926e-08
1901,2.1237207548097103e-08
1902,1.816805017540446e-08
1903,1.9980815224585058e-08
1904,1.6123875568041512e-08
1905,1.909480928929952e-08
1906,1.6975809202790515e-08
1907,7.71426478252124e-09
