year,dix_DET airs_NOUN,dix_DET paires_NOUN
1800,3.144164484325529e-09,5.973912209356058e-08
1801,4.7623651688866175e-09,7.857902528662919e-08
1802,0.0,1.0517848636482086e-07
1803,0.0,5.265916058760922e-08
1804,4.943701892301533e-09,9.640218934237055e-08
1805,0.0,9.381496113292087e-08
1806,1.4408345627714425e-08,9.797675204481493e-08
1807,5.693910232196231e-09,2.562259560079383e-08
1808,2.2660739951163578e-09,1.1330369531492579e-08
1809,2.259030518203531e-09,9.713831161661801e-08
1810,2.3401267590372754e-09,3.510190182964834e-08
1811,0.0,0.0
1812,5.3344164641089264e-09,3.200649700829672e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,2.5173417128598885e-08
1815,0.0,7.012781111370714e-08
1816,4.6352077731626196e-09,1.4369143741532753e-07
1817,1.401186100480345e-08,7.628679554727569e-08
1818,1.1921177378582115e-09,7.03349432029654e-08
1819,1.3456364911235141e-08,8.38435050276587e-08
1820,2.3732962262101864e-09,6.170570276964327e-08
1821,9.86148829262845e-10,6.409967490128565e-08
1822,4.010246357211145e-09,2.8071724500478012e-08
1823,6.917880934764753e-09,5.237824041159911e-08
1824,5.052667617633233e-09,3.368445256057839e-08
1825,7.044354433105582e-09,1.197540218100812e-07
1826,1.5854372037438225e-08,7.92718591879904e-08
1827,0.0,6.91295483079557e-08
1828,9.172301251858528e-10,6.695780041532373e-08
1829,0.0,1.2259641923861864e-07
1830,2.0873671680021744e-09,6.783943318211527e-08
1831,1.5591206103948707e-09,7.48377892989538e-08
1832,1.3529969367098715e-09,4.464889968858188e-08
1833,1.7375443306377747e-08,5.90765054653275e-08
1834,1.8669061851994684e-09,7.467625096069241e-08
1835,0.0,8.24376584773745e-08
1836,3.36037508930076e-09,1.0685992285486279e-07
1837,2.7831563720326358e-09,8.279890417739466e-08
1838,1.8936485712828244e-09,5.870310548772295e-08
1839,6.9914749545318955e-09,7.760537545919988e-08
1840,1.2739377330817092e-09,1.038259229702021e-07
1841,6.420548537278137e-10,8.539329732215606e-08
1842,6.708265054555795e-10,4.427455024824667e-08
