year,certains_DET airs_NOUN,certains_DET pères_NOUN
1800,5.345079756580162e-08,3.144164484325529e-09
1801,4.286128785224719e-08,0.0
1802,3.8043282302169246e-08,4.475680270843441e-09
1803,2.145373079187607e-08,0.0
1804,4.943701981119375e-08,2.4718509461507665e-09
1805,6.254330742194725e-08,1.9900143755080535e-08
1806,5.4751712497136396e-08,2.881669125542885e-09
1807,2.562259560079383e-08,0.0
1808,1.5862518409903714e-08,2.2660739951163578e-09
1809,3.6144488291256494e-08,0.0
1810,7.254392642153107e-08,4.680253518074551e-09
1811,6.267691787797958e-08,2.0056614147279106e-08
1812,6.401299401659344e-08,0.0
1813,6.039057609541487e-08,5.751483289628823e-09
1814,5.664018942752591e-08,6.293354282149721e-09
1815,3.236668177919455e-08,5.394447111228828e-09
1816,3.708166040894412e-08,6.952811659743929e-09
1817,4.981994838892945e-08,2.0239355080775567e-08
1818,4.530047559292427e-08,1.3113294672351117e-08
1819,4.0369095288816936e-08,1.3456364911235141e-08
1820,6.40789963313182e-08,1.1866481131050932e-09
1821,7.889190811738445e-08,2.9584463767662328e-09
1822,3.709477880420309e-08,3.107940926838637e-08
1823,5.830785232419089e-08,1.087095569118901e-08
1824,9.263223965660927e-09,6.736890156844311e-09
1825,8.717388766399381e-08,1.0566531649658373e-08
1826,4.227832306469281e-08,1.7615968683770689e-09
1827,6.267745789045875e-08,7.373818333711313e-09
1828,9.814362300630819e-08,4.586150625929264e-09
1829,3.1720752247110795e-08,3.172075191404389e-08
1830,5.3227864116323076e-08,5.218417920005436e-09
1831,3.585977337294821e-08,1.5591206103948707e-09
1832,3.788391467196561e-08,1.7588959622116818e-08
1833,6.139323005527331e-08,8.108540172635514e-09
1834,2.333632664885954e-08,3.3604311111545826e-08
1835,8.092504089063368e-08,9.075705520444899e-09
1836,5.578222433966218e-08,3.561997469203604e-08
1837,4.800944708449606e-08,2.3656828385121287e-08
1838,5.2390943361402265e-08,4.860364599679201e-08
1839,5.243606460147987e-08,2.9364195297532092e-08
1840,3.0574503984137635e-08,2.4204816428952114e-08
1841,3.980739915476761e-08,2.3756029587929106e-08
1842,7.714504501876718e-08,1.8112315647300647e-08
1843,7.206431279493941e-08,4.489252392048115e-08
1844,3.622450606144412e-08,4.9945907854009874e-08
1845,5.245414103072221e-08,3.9061594847566994e-08
1846,3.7468808500307205e-08,6.147226550012874e-08
1847,3.343798660182529e-08,2.480882876909618e-08
1848,5.148941845112276e-08,2.815827526703174e-08
1849,6.116972728342773e-08,2.011059585527164e-08
1850,1.6972489191857676e-08,2.308258650884909e-08
1851,4.192135261149588e-08,8.126292705412652e-08
1852,4.427170807730363e-08,3.971432782634565e-08
1853,4.717826063149744e-08,1.1943863675867306e-08
