year,nouveaux_ADJ anneaux_NOUN,nouveaux_ADJ panneaux_NOUN
1800,1.8864987794131594e-08,0.0
1801,0.0,0.0
1802,2.0140561218795483e-08,0.0
1803,0.0,0.0
1804,2.2246657849223084e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,1.4040760554223652e-08,0.0
1811,0.0,0.0
1812,8.00162425207418e-09,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,1.9467873357825738e-07,0.0
1817,3.113746771532533e-08,0.0
1818,1.668964877410417e-08,0.0
1819,2.070209959015301e-08,0.0
1820,0.0,0.0
1821,4.930744257336528e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,7.906149512848515e-09,0.0
1824,4.210556348027694e-09,0.0
1825,2.641632912414593e-09,0.0
1826,1.6735169694470642e-08,0.0
1827,3.6869092667757286e-08,9.217273055917019e-10
1828,1.1006761724274838e-08,7.337841001486822e-09
1829,8.573175946935407e-09,8.57317605795771e-10
1830,1.461157062010443e-08,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,8.117981842303834e-09
1833,1.0425265983826648e-08,1.1583628500844156e-09
1834,2.240287422239362e-08,0.0
1835,1.285724948729694e-08,3.781543966852041e-09
1836,1.3441500135158435e-09,0.0
1837,1.2524203896191466e-08,3.478945576063097e-09
1838,1.0730675015224733e-08,0.0
1839,1.5381244722334486e-08,0.0
1840,1.9109065441114126e-09,0.0
1841,1.733548060656176e-08,0.0
1842,4.024959032733477e-09,0.0
1843,1.4767278067040479e-08,0.0
1844,3.2931367854871496e-08,0.0
1845,7.14269177137794e-08,3.348136878855712e-09
1846,4.27378594736183e-08,0.0
1847,2.7505439703645607e-08,0.0
1848,1.045878850192139e-08,0.0
1849,5.9493846293889874e-08,0.0
1850,3.93761752093269e-08,0.0
1851,4.063146263888484e-08,0.0
1852,2.0833745395520964e-08,0.0
1853,4.120633079196523e-08,0.0
1854,3.792835201466005e-08,0.0
1855,2.2289135870323662e-08,3.714855978387277e-09
1856,2.329735160344626e-08,0.0
1857,1.610898081594314e-08,0.0
1858,7.53626139271546e-08,4.893676019968041e-10
1859,1.782260738991681e-08,0.0
1860,4.7602711106264906e-08,0.0
1861,1.650587222457034e-08,9.431927461278633e-10
1862,3.4788495639759276e-08,1.8071945051545413e-09
1863,1.4983863039219614e-08,3.995696662428827e-09
1864,1.8699438775193755e-08,0.0
1865,1.9768746861714703e-08,0.0
1866,2.140869637123899e-08,0.0
1867,3.785192959071537e-08,7.279217228983725e-09
1868,3.655506863875502e-08,0.0
1869,3.1742874995188686e-08,4.883519144627257e-10
1870,3.268407766654491e-08,1.1468097582678638e-09
1871,1.274541272522356e-08,8.496941816815706e-09
1872,3.023669647994609e-08,2.4189357183956872e-09
1873,1.1972009161809183e-08,4.190203295451056e-09
1874,1.4936523129449597e-08,0.0
1875,2.1741803024610817e-08,3.432916173551348e-09
1876,1.6928840551599933e-08,0.0
1877,2.040989244278535e-08,5.566334504436554e-09
1878,2.3552445327368332e-08,6.6429977074733415e-09
1879,1.7717043832021773e-08,3.0546627449723474e-09
1880,4.941741593711413e-08,6.417846254436199e-10
