year,quelques_DET artisans_NOUN,quelques_DET partisans_NOUN
1800,6.60274537267469e-08,1.1004575828366114e-07
1801,6.667311414076948e-08,2.428806240573067e-07
1802,5.370816325012129e-08,2.439245747609675e-07
1803,7.996391104825307e-08,2.8279918140583504e-07
1804,1.2359254730753833e-08,2.1752288859033797e-07
1805,4.264316544322355e-08,4.832892059880578e-07
1806,3.1698359492793315e-08,4.293687112522093e-07
1807,4.27043254092041e-08,3.245528716888657e-07
1808,3.3991110370834576e-08,3.2858073240049634e-07
1809,2.9367397402779716e-08,2.868968884683909e-07
1810,2.3401266702194334e-08,3.276177391597912e-07
1811,3.760615285841595e-08,4.1116059357193535e-07
1812,5.3344162864732425e-08,3.227321894172519e-07
1813,5.463909147351842e-08,5.262607061240487e-07
1814,5.66401889834367e-08,4.3109477942948615e-07
1815,4.8550024445148665e-08,4.693168946801052e-07
1816,1.3905623319487859e-08,2.7347725861659455e-07
1817,2.9580595417577626e-08,3.0514719639995747e-07
1818,9.536941902865692e-09,3.480983892245604e-07
1819,3.001804671498576e-08,3.6332184549792146e-07
1820,7.001224222591418e-08,3.215816448687292e-07
1821,4.536284459177864e-08,4.772960480181609e-07
1822,6.015369535816717e-08,3.338530092378278e-07
1823,4.348382276475604e-08,3.636828651565338e-07
1824,4.5474010335055937e-08,3.5452883651032607e-07
1825,7.220463604795668e-08,2.82654717409514e-07
1826,5.2847904608022134e-08,2.580739462132442e-07
1827,4.608636672287503e-08,3.8343857156064587e-07
1828,2.9351363395324626e-08,3.0910655368643347e-07
1829,6.172686894956314e-08,3.6178802531594556e-07
1830,3.5485243188304594e-08,2.870129875987004e-07
1831,5.456922025359745e-08,2.8687819053629937e-07
1832,2.976593194148336e-08,2.990123135759859e-07
1833,3.70676112027013e-08,2.2124730314487806e-07
1834,1.213489042584115e-08,2.8003594110259655e-07
1835,4.386591001548368e-08,3.010108926559951e-07
1836,2.9571300075303952e-08,3.541835376097424e-07
1837,3.896419009663532e-08,2.6996617208396856e-07
1838,3.91354035844671e-08,3.3959430112417976e-07
1839,4.194885150354821e-08,3.292984871450244e-07
1840,3.121147496010224e-08,2.8026631504474153e-07
1841,2.0545756207468457e-08,3.04976069287477e-07
1842,6.708265232191479e-08,2.9985944394184116e-07
1843,3.1306628844873785e-08,3.5146122101537003e-07
1844,6.641159000508878e-08,3.7377101236302224e-07
1845,3.2923344939206345e-08,2.86823720330176e-07
1846,3.688335725726688e-08,3.383901621134555e-07
1847,5.555020354819362e-08,3.521775013837214e-07
1848,3.942158777192617e-08,2.3492047773743252e-07
1849,3.267971848686102e-08,2.0529567379412583e-07
1850,3.394498104825061e-08,2.1928456561681742e-07
1851,1.483370937194195e-08,2.9925394784413584e-07
1852,4.231854688896419e-08,2.1549904971607248e-07
1853,2.030456869306363e-08,2.60376225469372e-07
1854,2.2341357042154897e-08,2.753702172952899e-07
1855,3.078023524949458e-08,2.1652303061614475e-07
1856,3.779348189958398e-08,2.8785171757306216e-07
1857,1.7085282522089074e-08,2.0990488991401435e-07
1858,3.229826173178907e-08,2.6034355826709543e-07
1859,2.7497736754256152e-08,2.3831371009919167e-07
1860,3.7990626644557324e-08,2.723424366024574e-07
