year,aviez_VERB assez_ADV,aviez_VERB passé_VERB
1800,1.2576657937302116e-08,6.288328968651058e-09
1801,1.4287095950749062e-08,1.904946067554647e-08
1802,2.9091921760482364e-08,4.2518962573012686e-08
1803,5.851017448321727e-09,2.3404069793286908e-08
1804,7.4155526164076946e-09,6.179627121127851e-08
1805,1.1371510844071508e-08,4.264316544322355e-08
1806,3.458002950651462e-08,5.4751712497136396e-08
1807,0.0,8.540865792383556e-09
1808,1.8128591960930862e-08,1.1330369531492579e-08
1809,4.743964154840796e-08,2.4849335034105025e-08
1810,1.8721014072298203e-08,3.2761775514700275e-08
1811,1.504245972228091e-08,2.5070767684098882e-09
1812,0.0,6.13457871168066e-08
1813,2.8757416448144113e-09,4.888760685162197e-08
1814,1.5733386149463513e-08,0.0
1815,1.0788894222457657e-08,2.1577788444915313e-08
1816,2.5493642752394408e-08,1.622322720606917e-08
1817,1.8682481339737933e-08,2.80237220096069e-08
1818,2.1458118837358597e-08,1.4305412854298538e-08
1819,9.315945348475907e-09,9.315945348475907e-09
1820,4.2719332071783356e-08,6.40789963313182e-08
1821,1.0847637454958203e-08,5.621048160264763e-08
1822,4.6117833107928163e-08,3.208197085768916e-08
1823,3.4589405117912975e-08,3.162459805139406e-08
1824,3.3684450784221553e-08,2.6105450245950124e-08
1825,1.2327619813845558e-08,2.8177417732422327e-08
1826,5.108631029315802e-08,2.7304752237000685e-08
1827,7.373818444733615e-09,1.935627302884768e-08
1828,2.2930752408001354e-08,2.659967357487858e-08
1829,1.7146351893870815e-08,3.943661042171698e-08
1830,1.5655253093882493e-08,3.652892388572582e-08
1831,1.5591206103948707e-09,3.274153215215847e-08
1832,8.117981842303834e-09,3.788391467196561e-08
1833,2.0850531967653296e-08,1.2741991461950875e-08
1834,1.9602515166639023e-08,2.8937046536725575e-08
1835,3.781543966852041e-08,2.0420337421001022e-08
1836,1.0753200108126748e-08,2.4866775305554256e-08
1837,3.061472142462662e-08,3.061472142462662e-08
1838,1.830527018853445e-08,8.2058102535143e-09
1839,2.866504900111977e-08,1.677954131196202e-08
1840,2.5478755105723394e-08,1.3376346252869098e-08
1841,1.6051371787284552e-08,1.4767261191650505e-08
1842,1.7441490030023488e-08,2.0795621225033756e-08
1843,2.2446261738195972e-08,1.8902115428431898e-08
1844,1.866110821424627e-08,4.9397050894128824e-09
1845,1.5066614622583074e-08,3.627148004170522e-08
1846,1.2294452567118697e-08,1.2294452567118697e-08
1847,1.5101026207275936e-08,1.6718992412734224e-08
1848,2.333114323960217e-08,1.367687652020777e-08
1849,2.6814127807028854e-08,9.217356655710773e-09
1850,2.7155984128057753e-09,1.2220192857625989e-08
1851,2.7087642351375507e-08,7.094382858952031e-09
1852,3.1250618093281446e-08,1.1067927019325907e-08
1853,9.555090940693844e-09,3.3442816516071616e-08
1854,2.182179059673217e-08,1.1950028522278444e-08
1855,1.0083180512765466e-08,1.4859423913549108e-08
1856,8.28350277259915e-09,2.6403665032148638e-08
1857,2.7336451324799782e-08,1.2203773103180993e-08
1858,7.34051397444091e-09,2.936205589776364e-08
1859,1.1202780925145817e-08,2.3933214521321133e-08
1860,3.066713105681629e-08,2.8836257826014844e-08
1861,2.0750240636857598e-08,1.9335450573976232e-08
1862,3.4336697041226216e-08,2.3945327498609004e-08
1863,3.7459656709870615e-08,2.3974180862751382e-08
1864,2.205574922697906e-08,1.8699438442126848e-08
1865,2.58876440284439e-08,2.9653119071326728e-08
1866,9.244664589402873e-09,1.6056523222118813e-08
1867,8.249779526181555e-09,1.7955402498159856e-08
1868,1.0373735648272486e-08,1.8277534152844055e-08
1869,3.369628132077196e-08,2.0022428159904848e-08
1870,1.4335121534259088e-08,2.5803219116937726e-08
1871,2.1242354542039266e-09,1.1683295220166201e-08
1872,1.3908880269752899e-08,4.475031190054324e-08
1873,9.577607151811662e-09,3.412022664406322e-08
1874,9.559374625212058e-09,2.2703515512034755e-08
1875,9.7265964171811e-09,2.4030413214859436e-08
1876,6.650616057868319e-09,3.023007266733657e-08
1877,6.80329748092845e-09,2.1646856751544874e-08
1878,1.268208649207736e-08,8.4547240319921e-09
1879,1.3440515367335593e-08,2.993569481191116e-08
1880,5.776061406947974e-09,2.3746030919369332e-08
1881,5.5780060570498335e-09,2.719277958362909e-08
1882,1.7304001787010748e-08,2.0631693686823382e-08
1883,7.58320695126713e-09,2.464542170343975e-08
1884,8.582206056928499e-09,1.3203393933736152e-08
1885,3.86738152613475e-09,2.320428826863008e-08
1886,2.5813855497602844e-09,1.2906927970846027e-08
1887,1.9586773092328258e-08,1.5016526688782506e-08
1888,3.1703073499755874e-09,1.5851536971922542e-08
1889,1.8168895721260014e-08,1.3156786771162388e-08
1890,5.243509182406569e-09,1.9663159989136147e-08
1891,1.3385862196457765e-08,1.2748440525456317e-08
1892,1.6298132621272998e-08,1.1283322720601063e-08
1893,1.23168328869383e-08,8.005941687372342e-09
1894,6.301539290376468e-09,8.822155450616265e-09
1895,1.1435367319734269e-08,1.8055843042930064e-08
1896,2.0049897742069334e-08,1.6511680911435178e-08
1897,4.078699600285063e-09,2.5637540090883704e-08
1898,1.9804241802034994e-08,8.487532454637403e-09
1899,4.4220627160029835e-09,1.2713430308508578e-08
1900,5.19105292084987e-09,1.7130474816440255e-08
1901,5.029864968975062e-09,2.3472702892490815e-08
1902,4.910283735171106e-09,1.5712908307818907e-08
1903,7.560307935250421e-09,1.6200660812870638e-09
1904,8.061937784020756e-09,9.13686282189019e-09
1905,1.0837593933388234e-08,2.0126959654476195e-08
1906,1.4918134283448126e-08,5.144184633820714e-09
1907,9.771402353919711e-09,1.4399961223432456e-08
1908,1.080505640516094e-08,2.89771957540097e-08
1909,3.850688656825696e-09,2.1453836041018803e-08
1910,1.068830179917768e-08,3.473697773870299e-08
1911,4.788336838146279e-09,1.9153347352585115e-08
1912,1.7712032729377825e-08,1.0939784189645252e-08
1913,9.545381374209683e-09,1.856046338843953e-08
1914,7.366418142140674e-09,2.0759905794420774e-08
1915,4.712304768617059e-09,1.8849219074468238e-08
1916,1.0987462051303964e-09,5.493730803607377e-09
1917,3.289927441585405e-09,9.869782324756216e-09
1918,0.0,9.189101035644853e-09
1919,5.524709134618888e-09,2.762354434082681e-08
1920,1.665890891899835e-08,1.1358347151713133e-08
1921,1.3630945261411398e-08,1.5145495524393482e-08
1922,0.0,1.0329110011753073e-08
1923,2.1231896241147297e-09,1.5923921736771263e-08
1924,7.734974438733389e-09,1.1602462102189293e-08
1925,9.898360353588487e-09,1.2097995494286806e-08
1926,1.3375366592072169e-08,3.232380052509143e-08
1927,6.689535148041159e-09,2.6758140592164636e-08
1928,1.0283437212876834e-08,2.6279895593006586e-08
1929,2.0052731031228177e-08,2.4508894469477127e-08
1930,8.402882833991043e-09,1.7856125467119455e-08
1931,2.2810713318222042e-09,1.4826963656844327e-08
1932,8.767629289252454e-09,7.6716757391182e-09
1933,8.02946331646126e-09,1.605892663292252e-08
1934,5.990790086229936e-09,5.990790086229936e-09
1935,7.180970484910176e-09,1.6755597798123745e-08
1936,1.091224355320719e-08,1.091224355320719e-08
1937,1.2591118370153254e-08,5.0364472592434595e-09
1938,1.2965214457594243e-09,2.5930429359277696e-08
1939,7.647025235257843e-09,1.988226472349197e-08
1940,2.5357829169792012e-09,0.0
1941,1.7709016475464523e-08,5.9030051957620344e-09
1942,9.102635090130207e-09,1.8205270180260413e-08
1943,5.806470415592457e-09,1.1612940831184915e-08
1944,2.2492303131116387e-08,9.639558484764166e-09
1945,2.178504043826024e-09,4.357008087652048e-09
1946,1.1136883415474585e-08,1.8097434661967782e-08
1947,1.907339353124371e-08,1.6689218895749036e-08
1948,9.784699273041042e-09,1.9569398546082084e-08
1949,5.890204768377316e-09,9.817008539414473e-09
1950,1.914365022059883e-08,1.4889506516624351e-08
1951,9.595261474260042e-09,7.462981344019681e-09
1952,7.381362632230548e-09,2.1089607837865287e-09
1953,1.723812381726475e-08,1.1851209791302608e-08
1954,1.172704333640695e-08,1.07497895029951e-08
1955,1.407841132561316e-08,1.6894095011821264e-08
1956,2.0058624983221307e-08,2.2674967681268754e-08
1957,7.068030161150318e-09,9.718541527092839e-09
1958,1.8198935691771112e-08,1.7371711180658167e-08
1959,1.5501495198577686e-08,1.1626121398933265e-08
1960,4.844583401109048e-09,1.2457499920515147e-08
1961,6.94815938118154e-09,9.72742331128984e-09
1962,8.8787386332001e-09,1.2683912586908264e-08
1963,7.759263453976928e-09,9.69907976156037e-09
1964,1.520992043424485e-08,1.0951143103454797e-08
1965,1.0396882466068291e-08,1.2585699593614663e-08
1966,8.862519607077957e-09,1.273987226824147e-08
1967,6.902469706915326e-09,1.7256175155466735e-08
1968,8.982831367632116e-09,1.5719955115400808e-08
1969,9.991866889436096e-09,1.8167030546578644e-08
1970,1.103694025061941e-08,1.1956685419534097e-08
1971,1.1818314327172175e-08,1.5415192677892264e-08
1972,6.669190977248718e-09,1.2825367434743384e-08
1973,7.1671650836435674e-09,1.4334330167287135e-08
1974,3.3753431161187564e-09,9.00091468025721e-09
1975,3.4268881066168433e-09,1.2565256390928425e-08
1976,7.998937512354587e-09,1.1427053969725876e-08
1977,2.3507127355770763e-09,8.22749424145286e-09
1978,4.158414057542359e-09,1.6633656230169436e-08
