year,trois_DET artisans_NOUN,trois_DET partisans_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,2.3811825844433088e-09
1802,2.2378401354217203e-09,2.2378401354217203e-09
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,0.0
1805,0.0,1.421438877713399e-08
1806,0.0,0.0
1807,2.8469551160981155e-09,0.0
1808,0.0,9.064295980465431e-09
1809,1.581321384946932e-08,1.581321384946932e-08
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,0.0
1812,0.0,1.0668832928217853e-08
1813,0.0,2.8757416004054903e-08
1814,0.0,6.293354282149721e-09
1815,5.394447111228828e-09,3.776112933451259e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,1.556873407970727e-09
1818,0.0,1.3113295338484932e-08
1819,0.0,4.140420006848444e-09
1820,0.0,0.0
1821,2.9584463767662328e-09,1.4792232327920374e-08
1822,4.010246357211145e-09,1.5038423839541792e-08
1823,0.0,1.9765373782121287e-09
1824,8.421112696055388e-10,1.6842225392110777e-08
1825,0.0,8.805443041381977e-10
1826,0.0,1.4092774947016551e-08
1827,1.1982455028203276e-08,4.608636583469661e-09
1828,0.0,1.2841221419535032e-08
1829,0.0,2.571952872898464e-09
1830,2.0873671680021744e-09,1.2524203008013046e-08
1831,1.091384405071949e-08,0.0
1832,1.352996914505411e-08,0.0
1833,3.4750886612755494e-09,1.3900354645102198e-08
1834,6.534171426153534e-09,8.401078055442213e-09
1835,4.5378527602224494e-09,1.5882484660778573e-08
1836,2.688300027031687e-09,4.704525213838906e-09
1837,6.957890930081589e-10,1.1828414692161004e-08
1838,0.0,1.2624324030596767e-08
1839,8.38977065598101e-09,5.5931801412612e-09
1840,5.095750932326837e-09,2.4841785517537573e-08
1841,3.852329122366882e-09,9.630822805917205e-09
1842,7.379091560011375e-09,2.0124795163667386e-09
1843,2.3627644285539873e-09,5.906911015873817e-09
1844,1.097712254427563e-09,1.4819115046194042e-08
1845,0.0,1.3950570143528296e-08
1846,1.1709002656346001e-09,1.1709002656346001e-08
1847,2.6966118227278457e-09,9.707802561820245e-09
1848,0.0,1.4481399079890878e-08
1849,0.0,1.1731181359664333e-08
1850,1.2899092460827433e-08,1.765138968323754e-08
1851,2.579775504329973e-09,3.2247193804124663e-09
1852,2.6042181744401205e-09,3.906327261660181e-09
1853,5.971932059978258e-09,1.1346670270029335e-08
1854,5.195664454227256e-10,8.832629738719788e-09
1855,1.5920811335945473e-08,2.1227748447927297e-09
1856,5.694908100650764e-09,2.0708756931497874e-09
1857,2.9289055625270066e-09,1.0739319655783675e-08
1858,4.893676019968041e-10,1.957470352476065e-09
1859,1.018434669930457e-08,1.5785737605966688e-08
1860,5.034902272882391e-09,8.238931314963338e-09
1861,3.772770984511453e-09,1.603427640661792e-08
1862,2.2589932147099034e-09,3.6143890103090826e-09
1863,4.994620828036034e-10,1.0988166154746182e-08
1864,4.794728170054441e-09,1.7740493851725603e-08
1865,2.8241067262513297e-09,2.8241067262513297e-09
1866,6.3252967308358166e-09,1.9462451650298362e-08
1867,4.85281148598915e-10,2.3778776281346836e-08
1868,0.0,4.44588676984381e-09
1869,2.4417595723136287e-09,9.767038289254515e-10
1870,0.0,1.1468097582678638e-08
1871,4.248470908407853e-09,6.37270636261178e-09
1872,0.0,1.5118348239973045e-08
1873,5.986004469882289e-10,2.9930022904522957e-09
1874,8.364453130127458e-09,5.974609251779839e-09
1875,1.2015206607429718e-08,1.1443054281912168e-09
1876,1.209202959984168e-09,5.441413319928756e-09
1877,9.89570592135891e-09,1.9172930132427268e-08
1878,6.6429977074733415e-09,7.2469061862534545e-09
1879,9.163987790827832e-09,1.1607718120032473e-08
1880,8.343199908722454e-09,1.1552123035940554e-08
1881,4.183504653809678e-09,6.2752567586699115e-09
1882,6.655385131892899e-10,1.1314154946262533e-08
1883,1.0742876366265364e-08,7.58320695126713e-09
1884,1.3203393933736152e-09,2.6406787867472303e-09
1885,4.511945039809007e-09,4.511945039809007e-09
1886,4.5174246565693466e-09,1.936039106809062e-09
1887,6.528924623161458e-10,0.0
1888,5.706553452000662e-09,3.804368819970705e-09
1889,1.2530273485467092e-09,5.6386229019267375e-09
1890,2.6217545912032847e-09,8.520702365899524e-09
1891,7.0116419337296065e-09,1.3385862196457765e-08
1892,1.002961980134387e-08,4.387958663087943e-09
1893,1.1700991287000306e-08,4.310891643655168e-09
1894,0.0,8.192000855444803e-09
1895,2.4074457982692365e-09,3.0093072478365457e-09
1896,4.1279202278587945e-09,2.948514543632541e-09
1897,6.992056045262984e-09,8.740070001067579e-09
1898,2.8291774478717002e-09,5.092519295146758e-09
1899,1.1055156790007459e-09,7.185851913504848e-09
1900,1.5573159428683425e-09,5.710158568206225e-09
1901,2.794369402536745e-09,6.147612641171918e-09
1902,1.5712909029463873e-08,3.437198747846537e-09
1903,7.020286574288548e-09,1.296052865029651e-08
1904,2.6873125946735854e-09,4.837162670412454e-09
1905,4.6446830825885854e-09,4.64468330463319e-09
1906,4.629765903985117e-09,2.572092316910357e-09
1907,1.3885676608538233e-08,3.0857059130084963e-09
1908,4.911389073214423e-10,3.437972351250096e-09
1909,2.7504918342913243e-09,4.400786846048277e-09
1910,7.481810726517324e-09,1.6566866878342523e-08
1911,1.1704823332792103e-08,1.0640748282497725e-09
1912,1.5628263128064646e-09,4.167536982180309e-09
1913,3.71209285532359e-09,3.71209285532359e-09
1914,6.027069510139427e-09,8.036092680185902e-09
1915,1.295883844676382e-08,5.890381071793627e-09
1916,5.493730803607377e-09,1.3184954461564757e-08
1917,6.57985488317081e-09,9.869782324756216e-09
1918,4.594550517822427e-09,5.743188147278033e-09
1919,9.207848372660976e-10,4.603924352863942e-09
1920,5.300562211374427e-09,1.514446346106979e-09
1921,1.5145494858259667e-09,6.058197943303867e-09
1922,1.4755870969551665e-09,1.770704471937279e-08
1923,5.307974060286824e-09,4.246379248229459e-09
1924,2.578324886925998e-09,3.867487219366694e-09
1925,2.1996355847875293e-09,1.0998177923937646e-09
1926,4.458455382660986e-09,4.458455382660986e-09
1927,2.2298449753321847e-09,4.4596899506643695e-09
1928,3.4278122562625413e-09,1.2568645679778001e-08
1929,4.4561625500705304e-09,5.570202965543558e-09
1930,1.05036033204442e-08,7.352522590764465e-09
1931,3.4216069977333063e-09,1.0264820993199919e-08
1932,6.575722188983946e-09,3.287861094491973e-09
1933,5.735331098932761e-09,8.02946331646126e-09
1934,3.5944740517379614e-09,7.188948103475923e-09
1935,4.787313656606784e-09,8.377798899061872e-09
1936,1.091224355320719e-08,3.6374143697059935e-09
1937,5.0364472592434595e-09,0.0
1938,7.779128452511941e-09,7.779128674556546e-09
1939,4.588215141154706e-09,1.5294050470515685e-09
1940,2.028626333583361e-08,5.0715658339584024e-09
1941,3.24665290207804e-08,8.854508237732261e-09
1942,3.034211770724937e-09,6.068423541449874e-09
1943,2.9032352077962287e-09,2.9032352077962287e-09
1944,9.639558484764166e-09,1.6065930807940276e-08
1945,2.178504043826024e-09,1.089252066321933e-08
1946,1.3921104269343232e-09,2.0881657292193267e-08
1947,1.1920870957027319e-09,8.344609447874518e-09
1948,4.348755133776194e-09,3.2615663503321457e-09
1949,6.8719057111366055e-09,1.276211036849162e-08
1950,9.571825110299415e-09,4.2541445921528975e-09
1951,5.330700769690111e-09,1.0661401761424827e-09
1952,1.0544804140977249e-08,9.49032352703938e-09
1953,8.619061908632375e-09,6.464296653518886e-09
1954,9.772536335717064e-09,6.840775057526116e-09
1955,6.569925492527773e-09,4.6928039232341234e-09
1956,1.2209597999301991e-08,7.849027205963921e-09
