year,derniers_ADJ anneaux_NOUN,derniers_ADJ panneaux_NOUN
1800,3.238489512114029e-07,0.0
1801,3.119349116786907e-07,0.0
1802,3.289624999069929e-07,0.0
1803,8.464472216473951e-07,0.0
1804,4.1774279679884785e-07,0.0
1805,3.041879210741172e-07,0.0
1806,4.8988376022407465e-08,0.0
1807,8.256169792275614e-08,0.0
1808,2.0847880932706175e-07,0.0
1809,2.1686693685296632e-07,0.0
1810,1.1466621430145096e-07,0.0
1811,2.1560860830049933e-07,2.5070767684098882e-09
1812,1.1735716043403954e-07,0.0
1813,2.5881675469463516e-08,1.4378708002027452e-08
1814,1.9194730782601255e-07,0.0
1815,5.1247248222807684e-08,0.0
1816,3.430053823194612e-07,0.0
1817,7.955623004818335e-07,0.0
1818,2.491526061021432e-07,0.0
1819,1.40774275791955e-07,0.0
1820,7.001224133773576e-08,0.0
1821,7.691961201317099e-08,0.0
1822,1.5038423839541792e-07,0.0
1823,1.0772128433700345e-07,0.0
1824,7.915846111927749e-08,3.3684450784221553e-09
1825,1.6554233184251643e-07,7.044354433105582e-09
1826,1.4885493726524146e-07,0.0
1827,1.2627664602860023e-07,0.0
1828,1.4950850868444832e-07,0.0
1829,2.4605014914413914e-07,0.0
1830,2.859692926904245e-07,1.0436835840010872e-09
1831,1.7773975002910447e-07,0.0
1832,3.6801517921958293e-07,0.0
1833,1.1236119945579048e-07,0.0
1834,2.8563664500325103e-07,9.334530925997342e-10
1835,1.505054569861386e-07,0.0
1836,2.3589832665038557e-07,2.016224964762614e-09
1837,2.734451243213698e-07,6.957890930081589e-10
1838,1.6474741926231218e-07,1.2624323808552163e-09
1839,2.0065533590241103e-07,0.0
1840,3.242171544570738e-07,1.9109065441114126e-09
1841,1.3932590547938162e-07,1.926164561183441e-09
1842,1.831356399861761e-07,4.695785538189057e-09
1843,1.6952834869243816e-07,7.678984559333912e-09
1844,2.1185846321714052e-07,6.037417232818143e-09
1845,1.1941688171646092e-07,2.7901139176833567e-09
1846,2.125184010992598e-07,1.7563503984519002e-09
1847,9.546005941274416e-08,1.6179670936367074e-09
1848,9.815170187721378e-08,1.367687652020777e-08
1849,1.3239476004400785e-07,5.02764896381791e-09
1850,1.194863301634541e-07,4.752297222410107e-09
1851,1.0383596560359365e-07,5.159551008659946e-09
1852,3.112040758423973e-07,6.510545436100301e-10
1853,1.0988354404162237e-07,1.7915795513800958e-09
1854,8.209149626736689e-08,1.0391328908454511e-09
1855,6.739810487488285e-08,5.306937111981824e-10
1856,7.972871429728912e-08,6.212626857404757e-09
1857,1.547438444049476e-07,4.881509085841174e-10
1858,1.5464016200894548e-07,6.8511463169329545e-09
1859,7.230886467368691e-08,4.582956236731661e-09
1860,2.796659259729495e-07,1.9224172476128842e-08
1861,1.44780088362495e-07,2.357981809808507e-09
1862,9.532951139590295e-08,8.132375661773494e-09
1863,1.3035960932938906e-07,5.494082966350788e-09
1864,8.726404843173441e-08,1.9178911792039344e-09
1865,1.7085845627207163e-07,2.3534221238463715e-09
1866,1.0509723580298669e-07,5.352174259343201e-09
1867,1.9168605547292827e-07,6.79393608038481e-09
1868,1.126291309105909e-07,1.9265508299781686e-08
1869,1.406453549179787e-07,6.348574999037737e-09
1870,1.2098843171770568e-07,6.307453670473251e-09
1871,8.815577245968598e-08,3.18635318130589e-09
1872,1.499740136523542e-07,4.8378714367913744e-09
1873,1.544389220953235e-07,1.7958012854535355e-09
1874,2.8319647071839427e-07,4.779687312606029e-09
1875,1.281622132864868e-07,1.0870901512305409e-08
1876,1.3180311952964985e-07,2.418405919968336e-09
1877,1.224593546567121e-07,3.0924081073635534e-09
1878,1.727179324007011e-07,1.2078177347163432e-09
1879,1.2707396024325135e-07,8.55305515301552e-09
1880,1.4568510664503265e-07,4.492492600149944e-09
1881,1.1504637598136469e-07,0.0
1882,1.364353892086001e-07,1.3310770263785798e-09
1883,9.03665480223026e-08,6.319338941018771e-10
1884,1.4127631686733366e-07,5.281357573494461e-09
1885,9.990735350129398e-08,7.090199094506033e-09
1886,9.357522401387541e-08,1.355227396970804e-08
1887,8.683469587822401e-08,7.1818169189441505e-09
1888,8.433017484321681e-08,6.340614699951175e-09
1889,9.961567570826446e-08,1.1277245803853475e-08
1890,1.4485193844393507e-07,1.3108772956016423e-09
1891,1.466070642663908e-07,1.211101796627645e-08
1892,1.2286284345464082e-07,2.5074049503359674e-09
1893,1.4410694859634532e-07,6.774258043407144e-09
1894,1.0145478057665969e-07,4.411077725308132e-09
1895,7.583454220139174e-08,8.426059849853118e-09
1896,8.019959096827733e-08,7.076434549446731e-09
1897,6.584185996416636e-08,6.992056267307589e-09
1898,9.845537363162293e-08,1.9804241802034994e-08
1899,1.0226020208392583e-07,3.8693048765026106e-09
1900,5.502516486899367e-08,1.142031713641245e-08
1901,1.9337036860633816e-07,6.147612641171918e-09
1902,6.13785502423525e-08,9.329538919189417e-09
1903,7.34429974613704e-08,1.4040573148577096e-08
1904,1.1770428898216778e-07,7.524475265086039e-09
1905,1.1560100432461695e-07,4.1286072338664326e-09
1906,9.61962527412652e-08,6.6874399351490865e-09
1907,1.0337114986214146e-07,1.8514235478050978e-08
1908,5.991894624912675e-08,7.367083831866239e-09
1909,1.0396858840522327e-07,1.3752458727367411e-08
1910,1.0207327960642942e-07,9.619471441624228e-09
1911,6.012022879531287e-08,1.4897047151407605e-08
1912,9.11648712076385e-08,1.2502610502451716e-08
1913,5.090870303092743e-08,5.833288518886093e-09
1914,5.2234600644851525e-08,5.357394972094198e-09
1915,6.832841847881355e-08,4.712304768617059e-09
1916,9.998590400073226e-08,0.0
1917,5.9218692172180454e-08,1.0966424213165737e-08
1918,3.5607765624945387e-08,0.0
1919,2.9465114792515124e-08,2.762354567309444e-09
1920,4.997673030970873e-08,6.057785384427916e-09
1921,8.708659748890568e-08,5.300923255902035e-09
1922,8.189508093892073e-08,5.902348387820666e-09
