year,seriez_VERB heureux_ADJ
1800,1.5720821977538435e-08
1801,3.5717739876872656e-08
1802,6.489736392722989e-08
1803,1.3652374342143503e-08
1804,1.730295728918918e-08
1805,0.0
1806,2.305335300434308e-08
1807,1.7081731584767113e-08
1808,2.7192887941396293e-08
1809,1.129515236897305e-08
1810,5.3822915901946544e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,5.7514832008109806e-08
1814,2.2026739543434815e-08
1815,2.966945977789237e-08
1816,1.1588019432906549e-08
1817,7.784366928831332e-09
1818,2.8610825708597076e-08
1819,2.4842520929269085e-08
1820,5.102586797534059e-08
1821,1.3806083387635226e-08
1822,3.60922172149003e-08
1823,3.9530746676064155e-08
1824,2.2737005167527968e-08
1825,3.874394849390228e-08
1826,1.4973572604048968e-08
1827,1.1982455028203276e-08
1828,6.420610709767516e-09
1829,2.8291481157793896e-08
1830,1.878630406793036e-08
1831,2.182768810143898e-08
1832,2.3000948701223933e-08
1833,4.51761508202253e-08
1834,1.4935249481595747e-08
1835,3.7059130875150004e-08
1836,2.4866775305554256e-08
1837,1.2524203896191466e-08
1838,2.9035945203759184e-08
1839,1.6080392128969834e-08
1840,2.5478755105723394e-08
1841,2.1829865914924085e-08
1842,2.750388716776797e-08
1843,1.8902115428431898e-08
1844,4.335963410539989e-08
1845,2.511102614732863e-08
1846,2.1661655580373917e-08
1847,4.0449176452739266e-08
1848,2.091757700384278e-08
1849,1.75967720394965e-08
1850,1.968808760466345e-08
1851,4.127640806927957e-08
1852,3.711010876372711e-08
1853,3.4040009921909586e-08
1854,3.16935526711859e-08
1855,2.5473298137512757e-08
1856,2.5885945831305435e-08
1857,2.245494101771328e-08
1858,4.0128142586581816e-08
1859,2.189634606963864e-08
1860,1.9681891672007623e-08
1861,3.395494019287071e-08
1862,3.6595690033891515e-08
1863,3.096664968893492e-08
1864,2.4932585773740357e-08
1865,3.012380389577629e-08
1866,6.811858099808887e-08
1867,2.717574432153924e-08
1868,2.0747471296544973e-08
1869,3.5161338729494673e-08
1870,1.3761717099214366e-08
1871,1.805600113868877e-08
1872,2.0560953828407946e-08
1873,2.6937019725892242e-08
1874,1.3741600746186577e-08
1875,2.7463329388410784e-08
1876,3.567148709748835e-08
1877,3.216104360603822e-08
1878,2.2344627481629686e-08
1879,2.1993571408529533e-08
1880,1.9253539207397807e-08
1881,2.998178416646624e-08
1882,3.9932309903178975e-08
1883,2.211768546089843e-08
1884,3.630933420595284e-08
1885,1.353583467533781e-08
1886,1.871504551331782e-08
1887,2.7421483750345033e-08
