year,mêmes_ADJ eaux_NOUN,mêmes_ADJ peaux_NOUN
1800,4.936338200423052e-07,4.4018304556914245e-08
1801,4.19088138414736e-07,9.524730337773235e-09
1802,5.616979024125612e-07,2.4616241489638924e-08
1803,5.265915774543828e-07,2.5354410126965377e-08
1804,3.4605912446750153e-07,8.157108055684148e-08
1805,2.2174445746259153e-07,3.695740957709859e-08
1806,3.169836020333605e-07,3.7461699520235925e-08
1807,3.3024679169102455e-07,8.540865792383556e-09
1808,5.053345262240327e-07,4.5321479902327155e-09
1809,4.0436646031594137e-07,4.518060991998141e-08
1810,3.3931837606360205e-07,2.3401267590372754e-09
1811,3.860898232233012e-07,5.0141535368197765e-09
1812,3.8141078562148323e-07,4.000812481308458e-08
1813,2.933256553205865e-07,2.8757416448144113e-09
1814,2.5488085952929396e-07,3.776012391654149e-08
1815,3.749140660147532e-07,5.394447111228828e-09
1816,2.5261883251914696e-07,9.270415546325239e-09
1817,2.95805961059159e-07,2.490997452753163e-08
1818,4.92344611302542e-07,2.026600220972341e-08
1819,2.6809220798895694e-07,3.1053151161586356e-09
1820,2.3258303372131195e-07,2.1359666035891678e-08
1821,2.337172730904058e-07,1.7750679148775816e-08
1822,3.839811029138218e-07,4.010246357211145e-09
1823,2.154425686740069e-07,4.941343334508019e-09
1824,2.5094917077694845e-07,1.7684335773537896e-08
1825,3.733507867309527e-07,6.163809906922779e-09
1826,2.853786895684607e-07,7.927186018719112e-09
1827,2.9956137836961716e-07,4.608636583469661e-09
1828,3.164443853620469e-07,2.109629271274116e-08
1829,3.052050772112125e-07,6.858540846366168e-09
1830,3.80944499056568e-07,2.400472176589119e-08
1831,2.0736304406909767e-07,3.274153215215847e-08
1832,2.4218644512075116e-07,5.411987746839486e-09
1833,3.741511989119317e-07,3.8225973497674204e-08
1834,3.6591362118088e-07,3.080395316601425e-08
1835,3.509272801238694e-07,9.832014313815307e-09
1836,2.6412547526888375e-07,6.72075017860152e-09
1837,3.4302402696084755e-07,1.3915782304252389e-08
1838,2.6132349262297794e-07,1.7042836475411605e-08
1839,2.86650475800343e-07,1.3283802502428443e-08
1840,2.4013726829252846e-07,1.0191501864653674e-08
1841,2.349920720234877e-07,1.4125206782011901e-08
1842,2.3009349092717457e-07,4.695785538189057e-09
1843,2.8707589194709726e-07,1.1223130869097986e-08
1844,3.507190626805823e-07,1.4819115712327857e-08
1845,2.3269549842552806e-07,6.696273757711424e-09
1846,3.495137264053483e-07,1.3465353276842507e-08
1847,2.335265776309825e-07,1.7258315665458213e-08
1848,1.9630340375442756e-07,5.63165514222419e-09
1849,2.2037860958334932e-07,3.3517659758786067e-09
1850,2.3693596062912547e-07,1.2899092460827433e-08
1851,3.147326026464725e-07,1.2898877521649865e-08
1852,2.4674966425664024e-07,2.539112742283578e-08
1853,2.974022095258988e-07,6.569124799682413e-09
1854,2.8680068453468266e-07,3.117398783558656e-09
1855,2.5950922122319753e-07,7.960405667972736e-09
1856,2.7542645852918213e-07,3.6240324075009767e-09
1857,2.65554092493403e-07,6.8341128311999455e-09
1858,1.986832529610183e-07,1.0276719919488642e-08
1859,3.258990943777462e-07,1.018434669930457e-08
1860,2.755464834081067e-07,4.119465657481669e-09
1861,2.329686026314448e-07,1.3676295207432076e-08
1862,2.1912232739396131e-07,1.7168348520613108e-08
1863,2.402412633273343e-07,1.5982786649715308e-08
1864,2.752173884346121e-07,1.7740493518658695e-08
1865,2.47109340989482e-07,4.23615986733239e-09
1866,2.5301187633886e-07,8.75810357570117e-09
1867,2.203176450166211e-07,1.067618526917613e-08
1868,2.410658623830386e-07,1.2843672791973404e-08
1869,2.3440891538939468e-07,4.395167341186834e-09
1870,2.2076088157518825e-07,8.601073631098188e-09
1871,2.79336973108002e-07,5.3105884134652115e-09
1872,2.5761664801393636e-07,6.652073114565837e-09
1873,3.1306802839026204e-07,1.0774807712721213e-08
1874,2.0970878722437192e-07,9.559374625212058e-09
1875,1.8652178823685972e-07,1.258735993214799e-08
1876,1.971000784806165e-07,1.874264654588842e-08
1877,1.57094319774842e-07,4.329371305900054e-09
1878,2.2948536582134693e-07,1.2078177125118827e-08
1879,1.7167204191537166e-07,7.331190321480108e-09
1880,1.7199828050706856e-07,1.2193908105473383e-08
1881,1.9034945353268995e-07,1.4642266066289267e-08
1882,1.8967847381645697e-07,3.3276925659464496e-09
1883,2.2370460328602348e-07,5.687405213450347e-09
1884,1.8748819741176703e-07,4.621187876807653e-09
1885,2.0368209163734718e-07,1.2891271383708158e-09
1886,1.800516429284471e-07,6.453463874400711e-10
1887,1.9195037737063103e-07,6.528924512139156e-09
1888,1.5914942252948094e-07,1.8387781963724592e-08
1889,2.0862904648311087e-07,1.0024218788373673e-08
1890,1.5992702628864208e-07,3.2771931834929546e-09
1891,1.7975300181660714e-07,6.3742202627281586e-09
1892,1.7050354017555946e-07,6.8953633913793055e-09
1893,1.7366734539336903e-07,3.079208221734575e-09
1894,1.6825110549234523e-07,2.520615716150587e-09
1895,1.6069701302967587e-07,1.8055843487019274e-09
1896,1.7042414413026563e-07,2.94851448812139e-09
1897,1.3401441378846357e-07,5.82671366711196e-09
1898,1.3523468567200325e-07,4.52668391659472e-09
1899,1.5035013234410144e-07,4.9748205555033564e-09
1900,1.2718079744900024e-07,2.595526460424935e-09
1901,1.5089595706285763e-07,6.147612641171918e-09
1902,1.2030194795897842e-07,6.874397273648469e-09
1903,1.4094574396494863e-07,4.320176216765503e-09
1904,1.4941457493478083e-07,2.1498500757388683e-09
1905,1.2489036294027756e-07,1.1353670004154992e-08
1906,1.388929860013377e-07,1.1317205839134203e-08
1907,1.3114249952650425e-07,1.028568674676933e-09
1908,1.8024798009719234e-07,3.437972351250096e-09
