year,sois_VERB heureux_ADJ
1800,9.432493186523061e-08
1801,1.0000967165524344e-07
1802,6.937304419807333e-08
1803,6.436119548425268e-08
1804,1.1864884186252311e-07
1805,1.1087222873129576e-07
1806,4.8988376022407465e-08
1807,1.1672516109229036e-07
1808,6.118399653587403e-08
1809,3.388545621874073e-08
1810,1.0530570193623134e-07
1811,9.27618373225414e-08
1812,6.401299401659344e-08
1813,2.8757416004054903e-08
1814,1.0698702368472368e-07
1815,7.552225866902518e-08
1816,5.3304887615013286e-08
1817,7.472992535895173e-08
1818,6.437435473571895e-08
1819,7.24573467891787e-08
1820,1.4002448267547152e-07
1821,6.212737702071536e-08
1822,1.1328945959121484e-07
1823,9.685032864581444e-08
1824,5.726356633317664e-08
1825,8.981552213072064e-08
1826,7.134467239211517e-08
1827,3.7790819362726324e-08
1828,6.053718948351161e-08
1829,4.115124596637543e-08
1830,4.383471008395645e-08
1831,4.8332740476553226e-08
1832,5.817886972181441e-08
1833,1.2278646011054661e-07
1834,5.974099792638299e-08
1835,5.294161553592858e-08
1836,9.946710122221702e-08
1837,3.5485243188304594e-08
1838,5.1759727170974656e-08
1839,4.6842885126352485e-08
1840,4.968357103507515e-08
1841,8.089891423423978e-08
1842,7.580339200785602e-08
1843,6.911086103400521e-08
1844,5.2690189988879865e-08
1845,7.756516851031847e-08
1846,6.322861167973315e-08
1847,5.986478157637976e-08
1848,5.148941895072312e-08
1849,4.9438547478075634e-08
1850,4.0055077477063605e-08
1851,5.93348374877678e-08
1852,5.0131198747749295e-08
1853,7.524634071387482e-08
1854,3.740878540270387e-08
1855,7.748128183493463e-08
1856,8.438818355216426e-08
1857,7.175818694804548e-08
1858,7.732008100447274e-08
1859,8.096555603742672e-08
1860,9.474770479300787e-08
1861,1.3393336928402277e-07
1862,6.867339408245243e-08
1863,6.792684104084401e-08
1864,8.294879449977088e-08
1865,7.436813831418476e-08
1866,8.90407179099384e-08
1867,9.414453927547584e-08
1868,5.236266531483125e-08
1869,1.0060049504545532e-07
1870,1.0034585073981361e-07
1871,5.735435593123839e-08
1872,8.405801565913862e-08
1873,6.045864608950069e-08
1874,5.496640298474631e-08
1875,6.179249112392426e-08
1876,6.831997012568536e-08
1877,5.813727099734933e-08
1878,7.0657335982105e-08
1879,7.636656818021947e-08
1880,6.032775701214632e-08
1881,8.994534539397137e-08
1882,6.05640053663592e-08
1883,6.003372021723408e-08
1884,5.809493330843907e-08
1885,7.02574283195645e-08
1886,7.7441569601433e-08
1887,4.961982824625011e-08
1888,4.7554610915767626e-08
1889,4.9494580878217675e-08
1890,5.83340380444497e-08
1891,6.69293100941104e-08
1892,5.578975859066304e-08
1893,5.173069794750518e-08
1894,5.923446977362801e-08
1895,5.8982422501685505e-08
1896,6.781583294923621e-08
1897,4.8944393427063915e-08
1898,4.7530182456512193e-08
1899,9.009952606220395e-08
1900,6.852189926576102e-08
1901,5.756401222356544e-08
1902,3.879124221839447e-08
1903,8.586350475070503e-08
1904,6.073326375144461e-08
1905,5.883265430384199e-08
1906,5.349951948119269e-08
1907,5.862841589987511e-08
1908,6.77771723189835e-08
1909,8.306485455022994e-08
1910,5.50447509795049e-08
1911,4.8415405018431557e-08
1912,7.397377999041055e-08
1913,5.515109435805243e-08
1914,5.558297289098846e-08
1915,1.8849219074468238e-08
1916,3.4061130804730055e-08
1917,5.3735480065597585e-08
1918,6.547234221443432e-08
1919,7.734592344377234e-08
1920,9.616734075734712e-08
1921,5.6038331308627676e-08
1922,1.0033992481339737e-07
1923,8.386599148479945e-08
1924,7.992807127266133e-08
1925,7.6987248576188e-08
1926,6.799144358637932e-08
1927,8.361918446553318e-08
1928,8.569531217972326e-08
1929,9.469345485513259e-08
1930,6.407198327451624e-08
1931,8.782124893969012e-08
1932,5.698959171240858e-08
1933,4.12943848004943e-08
1934,5.152079296522061e-08
1935,7.180970840181544e-08
1936,4.607391446143083e-08
1937,5.288269733227935e-08
1938,6.612259539906518e-08
1939,3.5176316970364496e-08
1940,5.325144059042941e-08
1941,1.2396310467011062e-07
1942,1.0316320242509391e-07
1943,5.516146828199453e-08
1944,1.927911696952833e-08
1945,8.714016530575464e-08
1946,6.682130049284751e-08
1947,6.914105199484766e-08
1948,6.740570768215548e-08
1949,7.559096104614582e-08
1950,6.7002780212988e-08
1951,1.0234946046239202e-07
1952,6.643226413416414e-08
1953,5.386913670690774e-08
1954,4.593092128857279e-08
1955,5.7252208307545516e-08
1956,5.6687419203171885e-08
1957,5.212672249399475e-08
1958,6.535072571978162e-08
1959,8.060777645368944e-08
1960,7.405292024031951e-08
1961,6.183861955832981e-08
1962,5.2638238656754766e-08
1963,4.978861056770256e-08
1964,5.962289151284494e-08
1965,5.964527360902139e-08
1966,6.868452828712179e-08
1967,6.951773201535616e-08
1968,7.545578739609482e-08
1969,4.541757903098187e-08
1970,5.28853369985427e-08
1971,6.268844998658096e-08
1972,6.05357328709033e-08
1973,4.2451670623222526e-08
1974,4.5567130513290977e-08
1975,3.8838066984681063e-08
1976,5.027903782206522e-08
1977,4.0549796409550254e-08
1978,4.6930672681355645e-08
1979,6.378650851956991e-08
1980,4.3207144528878416e-08
1981,4.364629191400127e-08
1982,4.8418517195614186e-08
1983,3.410270821291306e-08
1984,3.76935567203418e-08
1985,5.5343132743246315e-08
1986,3.956360572487938e-08
1987,6.905222704745029e-08
1988,3.957725525083333e-08
1989,5.488122312158339e-08
1990,5.121732016277747e-08
1991,4.5133283776976896e-08
1992,3.8018615811097334e-08
1993,4.5975422580113445e-08
1994,5.1694279079583794e-08
1995,4.9886548225686056e-08
1996,4.4306165847274315e-08
1997,3.6441196726855196e-08
1998,4.338997428021685e-08
1999,3.427650696607998e-08
2000,4.683113274950301e-08
2001,4.425023902854264e-08
2002,7.579512839583913e-08
2003,6.458730439362625e-08
2004,4.3166952679030146e-08
2005,5.809836878256647e-08
2006,4.0355320862772714e-08
2007,6.91044945710928e-08
2008,8.642602722375159e-08
2009,7.77215376501772e-08
2010,1.1100913610562202e-07
2011,1.1854313441972408e-07
2012,1.4774457213206915e-07
2013,1.4085081545545108e-07
2014,1.756176004619192e-07
2015,1.915121146112142e-07
2016,2.1003387473683688e-07
2017,4.024978181860206e-07
2018,2.2097354701600125e-07
2019,2.3060928810991754e-07
