year,auriez_VERB eu_VERB,auriez_VERB pu_VERB
1800,2.263798393187244e-07,4.3703886376533774e-07
1801,2.881230898310605e-07,4.548058711861813e-07
1802,1.8350289110458107e-07,5.079897391624399e-07
1803,1.9503391968100914e-07,5.73399745462666e-07
1804,2.4718508484511403e-07,7.835767519281944e-07
1805,2.6723051860244595e-07,5.316181272974063e-07
1806,3.4580028795971884e-07,4.985287773706659e-07
1807,1.3095993267597805e-07,5.152988933332381e-07
1808,2.1074488643080258e-07,4.373522699552268e-07
1809,1.5361408145508904e-07,4.2695677393567166e-07
1810,3.205973655440175e-07,8.471258752251742e-07
1811,1.8301660986708157e-07,3.133845893898979e-07
1812,2.453831484672264e-07,3.3073382610382396e-07
1813,3.0482860324809735e-07,3.0195286626621964e-07
1814,1.4160046646338742e-07,3.1781439702172065e-07
1815,1.5643897199879575e-07,3.9109741578613466e-07
1816,1.668674798338543e-07,3.777694246309693e-07
1817,2.319741412293297e-07,5.324507128534606e-07
1818,2.2769448548842774e-07,5.734086130360083e-07
1819,2.3703904616922955e-07,5.144472083884466e-07
1820,1.578242034838695e-07,4.675393654451909e-07
1821,4.2404400346640614e-07,8.283649890472589e-07
1822,2.456275751683279e-07,6.767290869902354e-07
1823,2.9153926561775734e-07,6.19644481503201e-07
1824,2.0800148092803283e-07,5.178984565645806e-07
1825,2.025251859549826e-07,4.2882507500507927e-07
1826,1.788020824733394e-07,4.0869048234526417e-07
1827,2.1568419583672949e-07,4.3782046077467385e-07
1828,1.7610818758839741e-07,5.659309749717067e-07
1829,1.8003669310928672e-07,4.3294539864291437e-07
1830,2.1812986972236104e-07,5.844627821716131e-07
1831,2.4945930476860667e-07,5.877884632354835e-07
1832,3.3824923661995854e-07,5.303747911966639e-07
1833,2.4557292022109323e-07,5.004127388019697e-07
1834,1.7455572276503517e-07,4.5739201937067264e-07
1835,2.4504404905201227e-07,6.254673508010455e-07
1836,1.6465837404666672e-07,4.113099123514985e-07
1837,1.982998867333663e-07,4.244313345225237e-07
