year,plus_ADV osé_VERB,plus_ADV posé_VERB
1800,7.860410988769218e-08,2.829747991484055e-08
1801,1.7858869227893592e-07,3.333655484993869e-08
1802,6.937304419807333e-08,2.9091921760482364e-08
1803,9.361627917314763e-08,3.1205427575287104e-08
1804,6.673997887673977e-08,6.426812149129546e-08
1805,1.194008660831969e-07,2.55858996212055e-08
1806,1.123850950079941e-07,2.881669125542885e-08
1807,8.54086508184082e-08,0.0
1808,5.4385775882792586e-08,1.3596443970698147e-08
1809,7.228897658251299e-08,9.036122072814123e-09
1810,5.8503168531842675e-08,6.084329839950442e-08
1811,1.0279014617253779e-07,3.259199843341776e-08
1812,9.335229123053068e-08,4.267533171287141e-08
1813,1.6966875193702435e-07,5.751483289628823e-09
1814,1.0698702368472368e-07,1.8880061958270744e-08
1815,7.282503844407984e-08,2.697223555614414e-09
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,9.652615062805125e-08,4.514932783195036e-08
1818,4.6492591110336434e-08,4.410835785506606e-08
1819,1.0351050150347874e-07,2.3807414706311647e-08
1820,5.814575843032799e-08,1.1866481131050932e-08
1821,1.34116234562498e-07,1.3806083387635226e-08
1822,7.619468078701175e-08,5.213320264374488e-08
1823,1.2452186126665765e-07,2.668325471688604e-08
1824,1.0021123841852386e-07,3.2842340402794434e-08
1825,8.805442774928451e-08,4.9310479255382234e-08
1826,7.398706713956926e-08,1.76159691278599e-08
1827,6.636436467033491e-08,1.7512819638909605e-08
1828,8.89713192009367e-08,3.5771975603893225e-08
1829,9.259029809527419e-08,1.0287811491593857e-08
1830,8.140732177253085e-08,3.026682549034376e-08
1831,7.795603096383275e-08,5.3010101197514814e-08
1832,1.244757186213974e-07,4.329590197471589e-08
1833,1.1467792404573629e-07,2.548398292390175e-08
1834,1.1294782353843402e-07,1.213489042584115e-08
1835,7.865611451052246e-08,2.3445572594482655e-08
1836,1.0215540413582858e-07,2.419469957715137e-08
1837,7.305785487687899e-08,2.0177884252348122e-08
1838,1.0162580821315714e-07,3.787297231383491e-08
1839,9.648235987924636e-08,2.4470162784950844e-08
1840,1.3440043744594732e-07,2.993753511759678e-08
1841,8.796151718115652e-08,2.825041445220222e-08
1842,1.1336967986608215e-07,1.0062397581833693e-08
1843,7.797122947295065e-08,1.2404512972352677e-08
1844,1.2513919500634074e-07,1.4819115046194042e-08
1845,8.7051553521178e-08,4.1293688468613254e-08
1846,9.659927258098833e-08,1.7563504428608212e-08
1847,7.658377398911398e-08,1.1325769655456952e-08
1848,9.412909207640041e-08,2.494018680465615e-08
1849,1.1563592750007956e-07,3.4355601030711114e-08
1850,8.62202469420481e-08,1.8330290174617403e-08
1851,8.964720166204643e-08,1.2253933867611977e-08
1852,1.3672145371401712e-07,1.7578472011337e-08
1853,7.226037723739864e-08,3.0456853039595444e-08
1854,6.078927583530458e-08,1.8704392701351935e-08
1855,7.270503488143731e-08,3.502578493908004e-08
1856,6.419714537742038e-08,9.318940286107136e-09
1857,9.616572782533694e-08,1.5620829074691756e-08
1858,1.2870367527284543e-07,4.502182093801821e-08
1859,8.554851405051522e-08,2.3933214521321133e-08
1860,1.4097726364070695e-07,1.6477862629926676e-08
1861,9.90352404528494e-08,1.9335450573976232e-08
1862,1.0029929597976661e-07,2.2138133104476765e-08
1863,9.439833092983463e-08,3.1965573299430616e-08
1864,1.0931979943507031e-07,3.691940619887646e-08
1865,1.0260920646487648e-07,2.3063536858103362e-08
1866,8.612134649865766e-08,2.7247432754506917e-08
1867,7.958610837022206e-08,3.008743121313273e-08
1868,1.0917121784359551e-07,2.7169307248442465e-08
1869,1.3966864287340286e-07,3.4672986259920435e-08
1870,1.387639798622331e-07,2.2362790730312554e-08
1871,1.327647112248087e-07,1.3807530230280918e-08
1872,1.2880832400696818e-07,2.8422494580127022e-08
1873,1.0894527946447852e-07,2.454261860407314e-08
1874,9.798358746593294e-08,1.6131444624534197e-08
1875,9.612165285943775e-08,1.8881038954532414e-08
1876,1.1366508090304706e-07,2.9020871039620033e-08
1877,8.535045736834945e-08,1.6699003069220453e-08
1878,1.008527803492143e-07,4.408534692856847e-08
1879,1.392926094467839e-07,3.5434087664043545e-08
1880,9.1775198995947e-08,3.2089232604448625e-08
1881,1.0040410813871858e-07,3.2073533162702006e-08
1882,8.984770261122321e-08,3.8601232432711186e-08
1883,1.1817164136118663e-07,3.222862687835004e-08
1884,1.0166613151341153e-07,5.6114423330200225e-08
1885,1.1086493145739951e-07,1.8692343672910283e-08
1886,8.970314979706018e-08,1.677900662855336e-08
1887,1.0903303859777225e-07,1.5669419317632105e-08
1888,8.24279879907408e-08,3.23371354138402e-08
1889,9.272402223814424e-08,2.944614330147033e-08
1890,8.717334054608727e-08,2.6872983838188702e-08
1891,9.68881437302116e-08,2.7409146952095398e-08
1892,1.0969896635515397e-07,2.4447198043731078e-08
1893,7.88277318974906e-08,3.87980243488073e-08
1894,7.813908808884662e-08,3.465846631911518e-08
1895,7.884384700673763e-08,2.2268872967856623e-08
