year,ces_DET yeux_NOUN,ces_DET pieux_NOUN
1800,1.4651806452548044e-06,2.3266817095191072e-07
1801,1.500145003774378e-06,1.7620751435742932e-07
1802,8.459035711894103e-07,2.103569727296417e-07
1803,1.273571541560159e-06,2.515937573832616e-07
1804,1.399067642182672e-06,2.7437545746522574e-07
1805,1.3247809675931421e-06,1.3930100717374216e-07
1806,1.1324959672265322e-06,3.746169738860772e-07
1807,8.76862159771008e-07,2.676137746959739e-07
1808,1.264469290163106e-06,3.8523256762346136e-07
1809,9.917144296878178e-07,5.082818788082477e-07
1810,1.095179300136806e-06,3.6739990605383355e-07
1811,1.318722354426427e-06,1.6797413948665962e-07
1812,8.935147590705128e-07,3.62740319559407e-07
1813,1.0611486942480042e-06,1.8404745816269497e-07
1814,7.457624917606154e-07,2.076806953077437e-07
1815,6.527281044554911e-07,2.4005290022444115e-07
1816,9.061831178769353e-07,3.360525582252194e-07
1817,1.033763922464459e-06,2.1796227489545572e-07
1818,1.0884035077651788e-06,3.147190774654973e-07
1819,1.0237188661221808e-06,4.1197178290985903e-07
1820,1.4346575767376635e-06,3.393813656771272e-07
1821,1.1892954745462703e-06,3.145814648775058e-07
1822,1.2732531757819743e-06,3.047787373589017e-07
1823,1.164180517321256e-06,2.648560162299418e-07
1824,1.013901965052355e-06,2.1894893365015378e-07
1825,1.0575336801821322e-06,3.486955435505479e-07
1826,8.085729845674905e-07,2.1843800723786444e-07
1827,7.751726940341541e-07,3.3182183756252925e-07
1828,8.667824431540794e-07,3.4487853639575405e-07
1829,9.421920736940592e-07,2.786282333744339e-07
1830,1.1772751236094336e-06,3.538087405274837e-07
1831,1.3174569488683119e-06,2.790825774923178e-07
1832,1.6046543152015147e-06,2.5706941642056336e-07
1833,1.2510318470049242e-06,2.89590715851773e-07
1834,1.05573546704818e-06,2.2029492541264517e-07
1835,1.3152210271982767e-06,3.3807001642571777e-07
1836,1.182851960379594e-06,3.098265750622886e-07
1837,1.0993468038122955e-06,3.569398074887431e-07
1838,9.335687209954813e-07,2.9477795493448866e-07
1839,8.263923803042417e-07,3.698490331771609e-07
1840,8.236007644768506e-07,3.5925042851658873e-07
1841,9.104337692633635e-07,2.844302926519049e-07
1842,1.0719807477244103e-06,3.0254274818730664e-07
1843,9.533754479207346e-07,3.036152307345219e-07
1844,9.654379482526565e-07,3.402908106409086e-07
1845,1.0853542917743653e-06,3.805715600435633e-07
1846,8.875424271082011e-07,3.06775877589871e-07
1847,6.347824026420312e-07,2.8638016402737776e-07
1848,7.996950159849803e-07,3.0250035010226384e-07
1849,8.58052082719496e-07,3.5193541592093425e-07
1850,7.637620598188732e-07,3.041470080233921e-07
1851,7.977955576166096e-07,2.7281126335765293e-07
1852,9.511906924331015e-07,2.806045138470381e-07
1853,8.599581917678734e-07,3.9116153516260965e-07
1854,1.2973573859653698e-06,3.688921736966222e-07
1855,1.3309798134741868e-06,3.3009147770712843e-07
1856,1.0292252170529537e-06,3.91913232533625e-07
1857,9.977804324989847e-07,3.260848195907329e-07
1858,1.1049920445316275e-06,2.657266016115045e-07
1859,1.32192815271992e-06,3.0960415031699995e-07
1860,1.2692531328184486e-06,3.240646293534155e-07
1861,1.2784977911906026e-06,2.923897461926117e-07
1862,1.2212116757837066e-06,2.4848924695675123e-07
1863,1.2961041448988908e-06,2.5522511926112657e-07
1864,1.121007358051429e-06,3.274799276198337e-07
1865,1.3292128926423175e-06,2.781745003233027e-07
1866,1.157042760269178e-06,3.94114657353839e-07
1867,1.3447140645439504e-06,2.489492239021729e-07
1868,1.0852903713498563e-06,2.608253488745049e-07
1869,1.41426717448212e-06,2.6517508899814857e-07
1870,1.1445161760548217e-06,2.752343419842873e-07
1871,1.1407144455688467e-06,1.8268424284428875e-07
1872,1.168346003055376e-06,2.67897128480854e-07
1873,1.1786442470906877e-06,2.0472135275895198e-07
1874,1.1973117324259874e-06,2.2345038708238008e-07
1875,1.219829584897525e-06,2.1455726084695925e-07
1876,1.3778868179770143e-06,1.4873196718667714e-07
1877,1.2920080507683451e-06,2.4739263793094324e-07
1878,1.0544248709720705e-06,2.4639481566168797e-07
1879,1.2243088320929019e-06,1.7900322291097837e-07
1880,1.0043929279390795e-06,1.9125181438539585e-07
1881,1.1978767631148912e-06,1.624594290206005e-07
1882,1.2944724545604913e-06,1.3909754770224936e-07
1883,1.2379585569988194e-06,1.5861541413642044e-07
1884,1.2219741307717413e-06,2.0003141187885376e-07
1885,1.1202515253216916e-06,2.004592651871917e-07
1886,1.1241934529948594e-06,1.4197620501477104e-07
1887,1.455950183526511e-06,1.664875846074665e-07
1888,1.280170074835496e-06,1.6549004477894869e-07
1889,1.3676793599870507e-06,1.253027335224033e-07
1890,1.267618358724576e-06,1.7565756138537836e-07
1891,1.379381174615446e-06,1.491567509503966e-07
1892,1.3665356775049986e-06,1.579665145357012e-07
1893,1.3991922429568149e-06,1.6689309134676478e-07
1894,1.5779054081122013e-06,1.2792124692850848e-07
1895,1.302428181304549e-06,1.1375181152573077e-07
