year,petits_ADJ yeux_NOUN,petits_ADJ pieux_NOUN
1800,1.2733866014968953e-06,0.0
1801,2.295460035384167e-06,4.7623651688866175e-09
1802,1.8484558950149221e-06,2.2378401354217203e-08
1803,3.093238092333195e-06,0.0
1804,1.4633357068305486e-06,2.9662210465630778e-08
1805,3.9231713344634045e-07,8.528632911009026e-09
1806,2.9681191904273874e-07,8.645007376628655e-09
1807,5.978605486234301e-07,0.0
1808,7.478043926312239e-07,2.2660739951163578e-09
1809,3.7048101830805535e-07,2.259030518203531e-09
1810,7.160787731663731e-07,0.0
1811,8.248282483691582e-07,1.0028307073639553e-08
1812,5.841185952704109e-07,3.200649700829672e-08
1813,2.7894694198948855e-07,3.163315653864629e-08
1814,2.800542517888971e-07,0.0
1815,1.9420009778059466e-07,0.0
1816,2.0371737718960503e-06,4.6352077731626196e-09
1817,1.9912411062250612e-06,1.556873407970727e-09
1818,7.176548706411268e-07,2.384235475716423e-09
1819,6.1692259123447e-07,0.0
1820,4.995788458472816e-07,2.3732962262101864e-09
1821,2.7316323780723906e-07,2.6626018723163725e-08
1822,4.962680009157339e-07,3.0076847679083585e-09
1823,3.577532652343507e-07,7.906149512848515e-09
1824,3.1831805813453684e-07,0.0
1825,8.585307114117313e-07,1.4088708866211164e-08
1826,3.549617701992247e-07,1.2331177856594877e-08
1827,3.806733843703114e-07,8.295545583791863e-09
1828,4.815458396478789e-07,1.559291185060374e-08
1829,6.035515980329365e-07,9.430493719264632e-09
1830,5.47933893813024e-07,1.0436835840010872e-09
1831,5.301010332914302e-07,1.5591206103948707e-09
1832,5.736707180403755e-07,2.570694235259907e-08
1833,4.96937673233333e-07,1.7375443306377747e-08
1834,5.302013619257195e-07,1.120143711119681e-08
1835,1.1541271760506788e-06,1.8907719834260206e-08
1836,5.020400521971169e-07,5.376600054063374e-09
1837,5.100134217173036e-07,6.957891152126194e-09
1838,5.52314190827019e-07,4.418513555037862e-09
1839,6.110549293225631e-07,1.3283802502428443e-08
1840,3.961946219988022e-07,1.46502836528839e-08
1841,3.0048167332097364e-07,5.1364388298225094e-09
1842,3.957876515414682e-07,8.720745015011744e-09
1843,5.009060828342626e-07,1.063243981747064e-08
1844,4.154840951287042e-07,1.3172547497219966e-08
1845,4.6985519475128967e-07,7.254296274794569e-09
1846,4.3674580751940084e-07,1.2879903366069811e-08
1847,2.3676251714732643e-07,2.9123407685460734e-08
1848,2.7514658995642094e-07,6.43617736884039e-09
1849,3.418801384214021e-07,5.02764896381791e-09
1850,3.6117458535045444e-07,3.394498016007219e-09
1851,2.470135029852827e-07,2.579775504329973e-09
1852,4.2123230059587513e-07,2.6042181744401205e-09
1853,5.01642261951929e-07,2.030456869306363e-08
1854,3.434334132634831e-07,4.676098175337984e-09
1855,5.6518882729506e-07,1.5920811335945473e-09
1856,3.960549861403706e-07,8.801221973442352e-09
1857,4.583737052143988e-07,1.9037885934380938e-08
1858,4.741972077226819e-07,7.829881631948865e-09
1859,4.6186011104509817e-07,1.018434669930457e-08
1860,5.37819119017513e-07,4.57718396518203e-09
1861,4.871590704169648e-07,9.903524222920623e-09
1862,5.335741661838256e-07,6.776979422085105e-09
1863,4.21046536303038e-07,4.495158911765884e-09
1864,4.0179818938668177e-07,6.233146443435089e-09
