year,grands_ADJ airs_NOUN,grands_ADJ pères_NOUN
1800,2.6725399493443547e-07,2.2009151834367913e-08
1801,1.8096987730586989e-07,4.524246932646747e-08
1802,1.2531904758361634e-07,4.0281122437590966e-08
1803,1.2092102963379148e-07,3.315576790896557e-08
1804,3.114532205472642e-07,2.7190360185613827e-08
1805,2.50173229687789e-07,3.4114531644036106e-08
1806,4.3513205127965193e-07,8.645007376628655e-09
1807,2.1921555060089304e-07,1.1387820908481672e-08
1808,1.6768947830314573e-07,1.8128591960930862e-08
1809,1.8298146642337088e-07,3.162642769893864e-08
1810,4.7036547812240315e-07,3.042164786748458e-08
1811,4.086535057012952e-07,3.5099073869560016e-08
1812,3.414026537029713e-07,1.600324983641599e-08
1813,3.36461766892171e-07,3.4508900625951355e-08
1814,1.9194730782601255e-07,1.5733385705374303e-08
1815,1.780167480092132e-07,2.1577788444915313e-08
1816,2.0394914201915526e-07,2.5493642752394408e-08
1817,3.674221318306081e-07,1.2454987263765815e-08
1818,2.1577331210664852e-07,5.722165141719415e-08
1819,2.1530183857976226e-07,1.8631890696951814e-08
1820,3.0259528216447507e-07,3.441279616822612e-08
1821,3.303598532511387e-07,1.9722976141167692e-08
1822,2.3760709666476032e-07,1.7043547018147365e-08
1823,2.8956273467883875e-07,3.656594282919201e-08
1824,3.5200250181333104e-07,3.789500713224925e-08
1825,3.0114614446574706e-07,1.584979791857677e-08
1826,1.7175570121708006e-07,1.937756521908085e-08
1827,1.1245072784049626e-07,9.217273166939322e-09
1828,2.1738354405442806e-07,6.420610709767516e-09
1829,4.878137360719847e-07,2.4004892296147773e-08
1830,3.9346872426904156e-07,4.8009445086094615e-08
1831,2.744052380876383e-07,2.0268567268999504e-08
1832,3.5989717162010493e-07,5.411987746839486e-09
1833,2.872739912618272e-07,2.4325620628928846e-08
1834,2.5389923052898666e-07,1.7735608537350345e-08
1835,3.947931759284984e-07,5.8235777089521434e-08
1836,2.2447305525474803e-07,3.427582617732128e-08
1837,2.2891461526342027e-07,1.6698938121173512e-08
1838,2.7016054104933573e-07,1.2624323808552163e-08
1839,2.747649716638989e-07,1.2584655206815398e-08
1840,3.4205228871542204e-07,1.2739377552861697e-08
1841,2.1573043795797275e-07,1.926164561183441e-08
1842,3.723087047546869e-07,1.1404050592744852e-08
1843,2.746713789747446e-07,1.8902114984342688e-08
1844,2.2118902620604786e-07,2.2503101826387706e-08
1845,3.0691253982695343e-07,2.511102614732863e-08
1846,3.354629143359489e-07,1.1123552301484096e-08
1847,1.7096519400183752e-07,1.6718993300912643e-08
1848,2.2204811500614596e-07,2.8158276488277068e-08
1849,2.1283713635966706e-07,2.9327952510982414e-08
1850,1.7108270355947752e-07,4.209177628666794e-08
1851,2.61847219462652e-07,2.450786706909014e-08
1852,2.584686455975316e-07,2.9948509450150596e-08
