year,nos_DET airs_NOUN,nos_DET paires_NOUN
1800,3.772997558826319e-08,0.0
1801,6.191074786165984e-08,0.0
1802,4.475680270843441e-09,0.0
1803,7.021221204439598e-08,0.0
1804,8.404293261321527e-08,0.0
1805,1.8762992382015398e-07,0.0
1806,1.2391177506287931e-07,0.0
1807,3.131650672116848e-08,0.0
1808,7.478043961839376e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,6.786367467981336e-08,0.0
1811,4.763445815569867e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,5.463909147351842e-08,0.0
1814,3.461344899591268e-08,0.0
1815,8.091670444798638e-09,0.0
1816,9.270415546325239e-09,0.0
1817,8.095742032310227e-08,0.0
1818,3.099506074022429e-08,0.0
1819,1.0040518816367694e-07,1.035105001712111e-09
1820,5.93324074316115e-08,0.0
1821,5.719663320746804e-08,0.0
1822,5.413832582235045e-08,8.02049271442229e-09
1823,2.8659792761231984e-08,0.0
1824,3.621078548121659e-08,0.0
1825,6.95629991387392e-08,0.0
1826,4.4039921931471326e-08,0.0
1827,3.3182182335167454e-08,0.0
1828,4.769596628761974e-08,0.0
1829,3.172075158097698e-08,0.0
1830,9.706257486641334e-08,0.0
1831,5.1450980143030733e-08,1.5591206103948707e-09
1832,3.111892965534935e-08,0.0
1833,3.8225973497674204e-08,0.0
1834,8.681113605746305e-08,0.0
1835,5.52105419160398e-08,0.0
1836,3.1587525484155776e-08,6.720750067579218e-10
1837,1.8090515530033713e-08,0.0
1838,4.86036455527028e-08,0.0
1839,5.593180230079042e-08,0.0
1840,4.58617570586739e-08,0.0
1841,5.3290552415319326e-08,0.0
1842,1.8783141708667017e-08,0.0
1843,3.839492035417891e-08,1.1813821920725331e-08
1844,4.390849023261367e-08,0.0
1845,1.7298706467272496e-08,0.0
1846,4.5665111247927825e-08,0.0
1847,2.6426796750911308e-08,0.0
1848,2.172209789819135e-08,0.0
1849,2.1786478399121734e-08,0.0
1850,2.308258650884909e-08,0.0
1851,1.1608989325395669e-08,0.0
1852,3.8412219849348617e-08,6.510545436100301e-10
1853,3.1054046445433414e-08,0.0
