year,cas_NOUN heureux_ADJ
1800,9.432493897065797e-09
1801,4.0480102825313224e-08
1802,2.2378401354217203e-08
1803,9.751696339321825e-09
1804,1.9774807569206132e-08
1805,2.55858996212055e-08
1806,3.458002950651462e-08
1807,1.7081731584767113e-08
1808,1.5862518409903714e-08
1809,2.25903047379461e-08
1810,3.2761775514700275e-08
1811,2.5070767684098882e-09
1812,1.2535878113340004e-07
1813,1.0927818294703684e-07
1814,2.2026739543434815e-08
1815,1.348611817775236e-07
1816,6.025770460382773e-08
1817,9.341240669868967e-09
1818,4.530047448270125e-08
1819,3.1053151161586356e-08
1820,6.40789963313182e-08
1821,4.043210211079895e-08
1822,2.105379337535851e-08
1823,3.656594316225892e-08
1824,1.431589158329416e-08
1825,2.201360693732113e-08
1826,4.227832306469281e-08
1827,1.7512819638909605e-08
1828,8.6219628769868e-08
1829,5.486832677092934e-08
1830,4.174734158368665e-08
1831,4.2096257146795324e-08
1832,5.276687886635045e-08
1833,9.498575082034222e-08
1834,7.187588835222414e-08
1835,6.579886502322552e-08
1836,5.376600142881216e-08
1837,1.1689256496083544e-07
1838,5.617824072601252e-08
1839,1.0836786401569043e-07
1840,5.5416290223320175e-08
1841,1.0722315835209884e-07
1842,1.2276125005428185e-07
1843,8.978504695278389e-08
1844,1.306277539470102e-07
1845,9.76539880070959e-08
1846,6.908311434017378e-08
1847,7.604445073638999e-08
1848,6.436177102386864e-08
1849,1.508294644736452e-07
1850,1.3102761897698656e-07
1851,8.90022562316517e-08
1852,1.1067927374597275e-07
1853,1.409375869343421e-07
1854,4.2604447969551984e-08
1855,1.0666943239812099e-07
1856,7.921099864915959e-08
1857,7.51752367023073e-08
1858,1.0032035646645454e-07
1859,1.043895565544517e-07
1860,9.062824091188304e-08
1861,1.2780262181877333e-07
1862,1.0075109457829967e-07
1863,9.190102190359539e-08
1864,1.0260718141807956e-07
1865,1.3555711575463647e-07
1866,1.1920751319394185e-07
1867,1.5286356358501507e-07
1868,1.397984306095168e-07
1869,1.2843655383676378e-07
1870,1.4965867478622386e-07
1871,1.4338588982809597e-07
1872,1.7779177596821683e-07
1873,1.771857256471776e-07
1874,1.5952205956182297e-07
1875,1.0527610072585958e-07
1876,1.1124667054218662e-07
1877,1.9172929910382663e-07
1878,1.4433422279580554e-07
1879,1.9000002282609785e-07
1880,1.6814756520489027e-07
1881,1.4014740656875802e-07
1882,8.785108462916469e-08
1883,1.2828257922592456e-07
1884,1.1288901902162252e-07
1885,1.6307458849951217e-07
1886,1.5552848253719276e-07
1887,1.7562807386184431e-07
1888,2.2826212386917177e-07
1889,1.2843530328154884e-07
1890,1.3567580481321784e-07
1891,1.4724447794378648e-07
1892,1.736377868155614e-07
1893,1.6073467179467116e-07
1894,1.3044186175648065e-07
1895,1.1916856834659484e-07
1896,1.3740077520196792e-07
1897,2.0102162068269536e-07
1898,1.5277558418347326e-07
1899,1.4150600691209547e-07
1900,1.3652470443048514e-07
1901,1.5424919297402084e-07
1902,1.2914046010337188e-07
1903,1.0584431464621957e-07
1904,1.623136824946414e-07
1905,1.7030504295689752e-07
1906,1.6667158320160524e-07
1907,1.4811388382440782e-07
1908,1.7926569739756815e-07
1909,1.6007862768674386e-07
1910,1.7742580382673623e-07
1911,1.6865585905634362e-07
1912,1.2815176830827113e-07
1913,1.7924105577549199e-07
1914,2.1429579533105425e-07
1915,1.3076645188903058e-07
1916,2.0326804417436506e-07
1917,1.8971914528265188e-07
1918,1.849306556778174e-07
1919,1.3259301567813964e-07
1920,1.6053131446369662e-07
1921,2.0143508550063416e-07
1922,1.7928383044818474e-07
1923,1.3694572942313243e-07
1924,1.19892106908992e-07
1925,1.2757885770042776e-07
1926,1.6384824164106249e-07
1927,1.304459260609292e-07
1928,1.6796280988273793e-07
1929,1.6710609429537726e-07
1930,1.460000902397951e-07
1931,1.2545892502657807e-07
1932,1.6439304317827919e-07
1933,1.2503021196152986e-07
1934,1.3299553813794773e-07
