year,vingt - deux pairs
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,4.0911849907843134e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.606645788105766e-09
1819,4.5224362033025045e-09
1820,0.0
1821,6.480193270874679e-09
1822,1.0964762431342479e-09
1823,1.0795871752122821e-08
1824,0.0
1825,9.610704454487973e-10
1826,3.844236484695784e-09
1827,6.036392719011019e-09
1828,2.0046215798430467e-09
1829,2.435028356728708e-08
1830,2.282784183904596e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,7.343489705213813e-10
1837,0.0
1838,0.0
1839,7.642578792044219e-10
1840,0.0
1841,0.0
1842,0.0
1843,5.808760583647654e-09
1844,5.983973982992552e-09
1845,1.2200809251794453e-09
1846,3.843962925742517e-09
1847,0.0
1848,6.166311461441865e-09
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,1.9611126056418016e-09
1854,5.683183923466117e-10
1855,1.1635575836166367e-09
1856,0.0
1857,2.6748487869099336e-09
1858,1.6082963849584075e-09
1859,0.0
1860,6.0215787911488405e-09
1861,2.0655375188027847e-09
1862,6.931519358488458e-09
1863,0.0
1864,0.0
1865,0.0
1866,3.2035836206034674e-09
1867,0.0
1868,5.950902437490413e-09
1869,0.0
1870,6.283288334074655e-10
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,1.3281662436526176e-09
1877,0.0
1878,0.0
1879,0.0
1880,7.066983109815794e-10
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,2.76562484025078e-09
1890,1.4457949282231652e-09
1891,7.027207260534851e-09
1892,0.0
1893,0.0
1894,0.0
1895,9.962936253771204e-09
1896,1.9513062277098925e-09
1897,0.0
1898,1.872777710687501e-09
1899,0.0
1900,5.736004449197196e-10
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,3.418737737348465e-09
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,1.761543133582677e-09
1912,5.74772174299909e-10
1913,5.851100048914759e-09
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.2637696444883773e-09
1919,3.0404838646802546e-09
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,4.874074477356771e-09
1926,0.0
1927,0.0
1928,0.0
1929,2.4685253841028043e-09
1930,1.1625793661096395e-09
1931,0.0
1932,3.6386460511295127e-09
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,2.1613446588020224e-09
1955,0.0
1956,0.0
1957,1.9557553354587753e-09
1958,0.0
1959,0.0
1960,0.0
1961,7.66812890962143e-10
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,1.222114964782861e-09
1967,0.0
1968,4.940934328345747e-10
1969,4.992740665343831e-10
1970,5.057877450198589e-10
1971,0.0
1972,2.261201670350488e-09
1973,0.0
1974,1.24385801658633e-09
1975,6.315566958292607e-10
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,5.234240263440881e-10
1998,0.0
1999,4.985142854074809e-10
2000,0.0
2001,0.0
2002,9.54669232555716e-10
2003,0.0
2004,9.593307259692097e-10
2005,0.0
2006,8.974836984698698e-10
2007,0.0
2008,4.6488379812359426e-10
2009,0.0
2010,0.0
2011,4.19642653959329e-10
2012,0.0
2013,3.0801944328473496e-10
2014,4.790310370594852e-10
2015,0.0
2016,6.877464153731694e-10
2017,0.0
2018,0.0
2019,0.0
