year,les_DET yeux_NOUN,les_DET pieux_ADJ
1800,0.0001025060491883778,1.2576657759666432e-07
1801,9.941199050444993e-05,1.6192041840668026e-07
1802,0.00010179487208006321,1.5888664961494214e-07
1803,0.00010422807645227294,2.262393496987869e-07
1804,9.626870951251476e-05,1.1370514663155973e-07
1805,9.488104592492164e-05,2.3595885334515287e-07
1806,8.220249617352238e-05,2.218885253313374e-07
1807,7.849054895814334e-05,2.0782772924832216e-07
1808,9.373841407978034e-05,1.6315732409566408e-07
1809,8.105401502689347e-05,2.7334269248058263e-07
1810,0.00010389929093435057,3.5101901474376973e-07
1811,8.05924919404788e-05,2.50707675064632e-07
1812,7.7773121915925e-05,3.040617286842462e-07
1813,8.904159142275603e-05,3.077043544408298e-07
1814,8.399110367918183e-05,1.8250727062962824e-07
1815,8.04446948450277e-05,2.61630693998427e-07
1816,9.330209718427795e-05,1.1588019077635181e-07
1817,9.829787632043008e-05,3.144884175299012e-07
1818,9.738409494275402e-05,1.7881766645189145e-07
1819,9.329504973720759e-05,2.0495078700832892e-07
1820,9.070263513422105e-05,2.978486897120547e-07
1821,9.514265093457652e-05,3.392351928255266e-07
1822,8.882996121428732e-05,2.2056354964661296e-07
1823,8.762978677623323e-05,2.273017987164394e-07
1824,8.590376751271833e-05,2.913705072771222e-07
1825,9.316863247477158e-05,4.041698318246745e-07
1826,8.825072131912748e-05,2.818555113748289e-07
1827,7.953215936140623e-05,3.290566468194811e-07
1828,8.569039050598803e-05,3.8248496991855063e-07
1829,9.187444129565847e-05,2.923453052972036e-07
1830,9.189216780214338e-05,3.214545323260154e-07
1831,8.978508049040101e-05,2.089221631251803e-07
1832,9.637397261030856e-05,2.74658367160896e-07
1833,8.695482347320649e-05,3.301334192684635e-07
1834,9.190312744067342e-05,3.080395067911468e-07
1835,9.674777379586885e-05,3.6227192623528026e-07
1836,9.116495948546799e-05,3.4544656202228907e-07
1837,8.948613253778603e-05,3.207587866427275e-07
1838,8.266533609457838e-05,4.140778244732246e-07
1839,8.271194860753894e-05,3.6006096593155235e-07
1840,8.449455845038756e-05,3.8600312635139744e-07
1841,8.343117337972217e-05,4.2568235869566706e-07
1842,8.688075115514948e-05,5.648359291399174e-07
1843,8.813111287508946e-05,4.949991598834913e-07
1844,8.758700801081432e-05,5.049476250462703e-07
1845,8.663304015499307e-05,4.955242474125043e-07
1846,8.527022941962059e-05,4.90021761834214e-07
1847,7.724228885308548e-05,4.816148759800853e-07
1848,7.969114017214451e-05,4.577731118615702e-07
1849,7.812966305209557e-05,4.34053703202153e-07
1850,8.02079159711866e-05,5.641655604904372e-07
1851,7.457421190792957e-05,4.914472242489865e-07
1852,8.274968490695755e-05,5.214946980913737e-07
1853,8.693998051967355e-05,5.74499850358734e-07
1854,8.869934436006588e-05,6.32831948621515e-07
1855,9.147036689682864e-05,5.986224778098403e-07
1856,8.653102509015298e-05,6.264398777489077e-07
1857,8.628359955764608e-05,5.037717478728609e-07
1858,8.937809866438329e-05,5.412405847948776e-07
1859,9.016609351419902e-05,6.278649493651756e-07
1860,9.550981121719815e-05,5.529238293888739e-07
1861,9.041587486535718e-05,4.866874476761041e-07
1862,9.06741740891448e-05,4.852317267989292e-07
1863,9.127769158112642e-05,5.104502527331078e-07
1864,8.981436417343502e-05,6.142046515833499e-07
1865,9.051920460478868e-05,5.205769788574344e-07
1866,8.949954576564778e-05,4.6855852531280107e-07
1867,9.007594735521707e-05,4.780019438044292e-07
1868,8.650509971630527e-05,3.7394846685856464e-07
1869,9.100828674490913e-05,4.302380425258434e-07
1870,8.464029565402598e-05,4.243196052300391e-07
1871,8.135715438584157e-05,2.740263678191468e-07
1872,8.745117679609393e-05,4.26337422254619e-07
1873,8.150304461196356e-05,3.8549869785242663e-07
1874,8.316237426697626e-05,3.5548923804640253e-07
1875,8.566041378799127e-05,3.238384458370547e-07
1876,8.149363156917389e-05,3.1681118528581464e-07
1877,8.399103944611852e-05,3.581008520825435e-07
1878,7.783841533637315e-05,3.5147495935916595e-07
1879,8.255775628640549e-05,3.7938910324442077e-07
1880,7.843057574064005e-05,3.6004115955279303e-07
1881,8.09208345344814e-05,2.677442942911057e-07
1882,8.345586707037e-05,3.567286377403889e-07
1883,7.672056949559192e-05,2.8879378533019917e-07
1884,7.999078206921695e-05,3.274441766620839e-07
1885,7.592507631670742e-05,3.081013950634315e-07
1886,7.549068118350988e-05,3.0460348909855384e-07
1887,7.707787062827265e-05,3.107768193899574e-07
1888,7.691546306887176e-05,3.1386042209646803e-07
1889,7.488404730793263e-05,3.596188555832214e-07
1890,7.16217475655867e-05,3.218203872279446e-07
1891,7.14715824869927e-05,2.791908322308245e-07
1892,7.144975575101853e-05,2.707997452944255e-07
1893,7.031310201455199e-05,2.986832079443502e-07
1894,6.984815377109044e-05,2.571028048237167e-07
1895,7.112738217074366e-05,2.4977250845381604e-07
1896,7.044944459266844e-05,2.5003402726042623e-07
1897,6.884611707391741e-05,2.28407172286893e-07
1898,6.837385967628506e-05,2.5123096492052355e-07
1899,7.045451070553099e-05,2.592434320547454e-07
1900,6.963849637031672e-05,2.491705473062211e-07
1901,6.706654335175699e-05,2.6155298371577373e-07
1902,5.7952152701545856e-05,1.9837546183509858e-07
1903,6.513421521958662e-05,2.505702170196855e-07
1904,6.0124858009658055e-05,2.0692307600711501e-07
1905,6.228416691556049e-05,1.770140283241517e-07
1906,6.377296722348547e-05,2.0165203018507327e-07
1907,6.141326525721524e-05,1.8617093111572558e-07
1908,6.458034749812214e-05,2.2003023048000614e-07
1909,6.717691326230124e-05,1.7548137254408402e-07
1910,6.658811821580457e-05,1.8971735293860092e-07
1911,6.24734284428996e-05,2.319683076734691e-07
1912,6.25526474777871e-05,2.2087945339421822e-07
1913,6.287966948548274e-05,1.792410522227783e-07
1914,6.244579503800196e-05,1.9487524482997287e-07
1915,6.146730197542638e-05,1.4372529655304334e-07
1916,6.669279355264734e-05,1.3404703480546232e-07
1917,6.632822646679415e-05,1.56819869090441e-07
1918,6.494626632047584e-05,1.4932288738833677e-07
1919,6.5563562884563e-05,1.5100871664230908e-07
1920,6.473122607530968e-05,2.0899359753911995e-07
1921,6.642511243626359e-05,1.446394772841586e-07
1922,7.062307281557878e-05,1.5346106430058626e-07
1923,6.934443149475555e-05,1.9214865609740173e-07
1924,6.705578175569826e-05,1.66301957094106e-07
1925,7.215354935397045e-05,1.4517595392504745e-07
1926,6.793683110117854e-05,1.6050439466397393e-07
1927,7.906138125690632e-05,1.3156085110210824e-07
1928,6.573972859769128e-05,1.1768822494317988e-07
1929,6.69271057631704e-05,1.3702699241946448e-07
1930,5.9882092728003045e-05,1.3759721007033932e-07
1931,5.649871422974684e-05,1.0606981604155408e-07
1932,5.6748479892121395e-05,1.6329708962814493e-07
1933,5.341887481336016e-05,1.4223620503628354e-07
1934,5.376853982852481e-05,1.3898633710596187e-07
1935,5.556874475587392e-05,1.2686381012372294e-07
1936,5.466063953463163e-05,1.2124714654504487e-07
1937,5.427023643278517e-05,9.569249481700126e-08
1938,5.6257363667100435e-05,1.3613475147167264e-07
1939,5.375093974180345e-05,1.5905812489336313e-07
1940,4.318945343584346e-05,1.1918179598779943e-07
1941,5.9903695046159555e-05,9.444808402037097e-08
1942,5.98346550759743e-05,1.6688165516143272e-07
1943,6.347052908495243e-05,2.0903293496132846e-07
1944,6.66125638417725e-05,1.7351205094939814e-07
1945,6.836145803390536e-05,1.786373289291987e-07
1946,6.637861179115134e-05,1.1136883681928111e-07
1947,6.748524469912809e-05,1.764288848349338e-07
1948,6.530090445266978e-05,1.1415482426002654e-07
1949,5.644779662361543e-05,1.1584069703474142e-07
1950,6.450240493904857e-05,8.614642688087315e-08
1951,6.14917671555304e-05,1.1514314079974497e-07
1952,5.801645852443471e-05,1.0439356179503534e-07
1953,5.524926473299274e-05,1.303633130333992e-07
1954,6.163831540106912e-05,9.870261408195802e-08
1955,5.435393336483685e-05,1.1075017347650373e-07
1956,6.056222332517791e-05,9.680467449868502e-08
1957,5.449274522106862e-05,9.011738422159965e-08
1958,5.624629261546943e-05,8.437688103768437e-08
1959,5.4422652056018705e-05,1.2091166379235574e-07
1960,5.847758120580693e-05,9.204708462107192e-08
1961,6.0468440324257244e-05,1.0561201957415278e-07
1962,6.054538835087442e-05,1.1288682433274744e-07
1963,5.883267772333056e-05,1.0087043289530584e-07
1964,5.8592266896084766e-05,1.0646944570424921e-07
1965,5.662087437485752e-05,1.0670484584807127e-07
1966,6.185484744491987e-05,1.1022758528156373e-07
1967,6.165976401462103e-05,9.367637865409506e-08
1968,6.026357323207776e-05,1.028534235558709e-07
1969,5.605664523500309e-05,9.310603665824146e-08
1970,5.0586896350068855e-05,1.0898978342055443e-07
1971,5.2598178626794834e-05,1.1766930452239421e-07
1972,5.0103579724236624e-05,9.901183339877662e-08
1973,4.798417080564832e-05,1.0861011556784206e-07
1974,4.225254247103294e-05,8.719636124254748e-08
1975,4.050410507261404e-05,7.539153701330292e-08
1976,4.190871823084308e-05,9.998672112487839e-08
1977,4.175512412984972e-05,8.991476452280267e-08
1978,4.649879224416509e-05,9.26732228734295e-08
1979,4.845902003580704e-05,6.378650851956991e-08
1980,4.641186342269066e-05,7.67495338394042e-08
1981,4.859919636146515e-05,8.159958575504334e-08
1982,4.81720808238606e-05,7.200702878407128e-08
1983,4.9551863867236534e-05,8.273063745178888e-08
1984,4.831617752643069e-05,7.828661274800197e-08
1985,4.769435213347606e-05,7.880381236446965e-08
1986,4.964093250237056e-05,7.193382733916565e-08
1987,4.6814357347102487e-05,8.677359808473284e-08
1988,4.728402632281359e-05,5.816657289159366e-08
1989,4.927235977447708e-05,1.081160050375729e-07
1990,4.505543870436668e-05,6.211462189043004e-08
1991,4.573349792735826e-05,5.4511624991704366e-08
1992,4.7047210955497576e-05,7.548623504050056e-08
1993,4.831961268791929e-05,7.699498461022358e-08
1994,4.775760294251086e-05,7.912389987652091e-08
1995,4.967344671058527e-05,5.585124274176678e-08
1996,4.583125905810448e-05,7.099662457932254e-08
1997,4.6466365120068076e-05,7.671830992705964e-08
1998,4.892625133834372e-05,7.056831563545529e-08
1999,4.736236405733507e-05,6.901003857251453e-08
2000,4.753625125886174e-05,6.671227792409695e-08
2001,4.7990040002332535e-05,5.914635958781389e-08
2002,5.195164976612432e-05,7.842386473555507e-08
2003,5.528590031644853e-05,5.917030598823203e-08
2004,5.297818597682635e-05,6.87147401201571e-08
2005,5.459625299408799e-05,7.205999263959484e-08
2006,5.898342010368651e-05,6.588623779890668e-08
2007,8.397953433814109e-05,4.9531545531777965e-08
2008,8.946285424826783e-05,5.364373834026992e-08
2009,0.00010409154720036895,6.150968179241545e-08
2010,0.0001373334152958705,4.629317307269787e-08
2011,0.00015790594443387818,4.97116343645132e-08
2012,0.00019461126157693798,6.059569734873094e-08
2013,0.00021537344764510635,6.080292536125853e-08
2014,0.00023152636549639283,6.734534352403898e-08
2015,0.00023226097437145654,8.06833413413699e-08
2016,0.00023763904755469412,1.2386613157389093e-07
2017,0.00024444798691547476,6.666370211405592e-08
2018,0.0002697570835152874,6.815072239874098e-08
2019,0.00025312073648819933,4.821366728080534e-08
