year,serons_VERB heureux_ADJ
1800,1.1633408547595536e-07
1801,1.262026785298076e-07
1802,9.175144555229053e-08
1803,1.014176405078615e-07
1804,1.408955085935304e-07
1805,7.675770063997334e-08
1806,4.3225035994964855e-08
1807,7.971474502710407e-08
1808,8.611080914988634e-08
1809,1.3780086760561971e-07
1810,1.591286178381779e-07
1811,7.019814773912003e-08
1812,1.4936365744233626e-07
1813,1.2653262615458516e-07
1814,2.171207285073251e-07
1815,1.9150287755564932e-07
1816,8.1116134253989e-08
1817,1.479029805295795e-07
1818,1.1325118265403944e-07
1819,6.003609342997152e-08
1820,1.3290458866777044e-07
1821,1.2819934624985763e-07
1822,1.2431763707354548e-07
1823,1.363810753218786e-07
1824,1.1115868403521745e-07
1825,1.3560382683408534e-07
1826,1.3300056878051691e-07
1827,1.5208500769858802e-07
1828,1.5776357997765444e-07
1829,1.1488055662312036e-07
1830,1.575962187416735e-07
1831,2.0268568334813608e-07
1832,1.2853470821028168e-07
1833,2.3283092787096393e-07
1834,1.6895501175895333e-07
1835,1.958839845883631e-07
1836,2.1976852337957098e-07
1837,1.6977253380900947e-07
1838,1.2434958307494526e-07
1839,1.8737154050540994e-07
1840,1.6497493504630256e-07
1841,2.073837208627083e-07
1842,1.7642737759615557e-07
1843,2.1619294443553372e-07
1844,2.129561806896163e-07
1845,1.953079760141918e-07
1846,2.189583483414026e-07
1847,1.8984147232004034e-07
1848,3.620349673383316e-07
1849,2.7316892214912514e-07
1850,2.4236715034930967e-07
1851,2.7087642706646875e-07
1852,2.5195811304001836e-07
1853,3.1113765430745843e-07
1854,2.166592025787395e-07
1855,3.0461819733318407e-07
1856,3.349641417571547e-07
1857,2.8996163337069447e-07
1858,2.901949756051181e-07
1859,2.4187824010368786e-07
1860,2.636458020788268e-07
1861,2.9616251140396344e-07
1862,2.7198277052775666e-07
1863,3.1366218422590464e-07
1864,3.830987509445549e-07
1865,3.760768549909699e-07
1866,3.2259012527902087e-07
1867,2.5671371872704185e-07
1868,2.944164805285254e-07
1869,3.4721821862149227e-07
1870,2.9473011409208993e-07
1871,3.494367319945013e-07
1872,3.1446163006876304e-07
1873,2.9032122483840794e-07
1874,2.915609229603433e-07
1875,2.3515477209912206e-07
1876,2.472820028742717e-07
1877,2.455371941323392e-07
1878,2.0714074366878776e-07
1879,3.2073958777800726e-07
1880,2.9457913797159563e-07
1881,2.844783182354149e-07
1882,2.881781711039366e-07
1883,3.0901566105967504e-07
1884,2.581263629508612e-07
1885,2.823188367528928e-07
1886,2.7298150939714105e-07
1887,2.92495826670347e-07
1888,2.9166827175686194e-07
1889,3.3330528026453976e-07
1890,2.497221203157096e-07
1891,2.689920961529424e-07
1892,2.8709786192848696e-07
1893,2.7589706519393076e-07
1894,2.6970587896357756e-07
1895,3.3884799677252886e-07
1896,2.5475165443822334e-07
1897,2.66280807181829e-07
1898,3.055511683669465e-07
1899,2.3381656433230091e-07
1900,2.5799533887038706e-07
1901,2.425512661829998e-07
1902,2.489513803993759e-07
1903,2.570504875620827e-07
1904,2.8861737177976465e-07
1905,2.6835945732273103e-07
1906,3.1842500902712345e-07
1907,2.581707292392821e-07
1908,2.86333971644126e-07
1909,2.326916046513361e-07
1910,3.0087568347880733e-07
1911,2.43141101918809e-07
1912,2.8391346518219507e-07
1913,3.107551833636535e-07
1914,2.879599776406394e-07
1915,2.9569713433375e-07
1916,2.8677274599431257e-07
1917,2.7196733753953595e-07
1918,2.848621249995631e-07
1919,2.9465115858329227e-07
1920,2.5669865522104374e-07
1921,2.067360043156441e-07
1922,2.8257491635486076e-07
1923,2.95123356863769e-07
1924,2.9006153567934234e-07
1925,2.4745901328060427e-07
1926,2.541319474858028e-07
1927,2.6423663257446606e-07
1928,2.1023916474405269e-07
1929,2.0164135605682532e-07
1930,2.1112242620802135e-07
1931,2.611826630527503e-07
1932,1.8192831419128197e-07
1933,1.9385419136597193e-07
1934,1.9649792193376925e-07
1935,2.2141325928259903e-07
1936,1.697460021432562e-07
1937,1.44797851930889e-07
1938,1.6206517727823666e-07
1939,2.1411671013993328e-07
1940,1.7243323213733674e-07
1941,1.682356440824151e-07
1942,1.7295006671247393e-07
1943,2.0322646321346838e-07
1944,2.2813621569639508e-07
1945,1.2199622290154366e-07
1946,1.6287691551042371e-07
1947,2.9206134399828443e-07
1948,2.0547868473386188e-07
1949,1.325296068444004e-07
1950,1.5633980865459307e-07
1951,2.35616980148734e-07
1952,1.8769750909086724e-07
1953,1.4329189923500962e-07
1954,1.7004212793381157e-07
1955,1.5298540745334321e-07
1956,1.5785266782586405e-07
1957,1.6079768272447836e-07
1958,1.629631896093997e-07
1959,1.7439182897760475e-07
1960,1.9170708753790677e-07
1961,1.6745063646794733e-07
1962,1.5918310225515597e-07
1963,1.881621471966355e-07
1964,1.6305034478136804e-07
1965,1.6689732262875623e-07
1966,1.4512376367292745e-07
1967,1.6368714739201096e-07
1968,1.8953774372221233e-07
1969,2.3072129806678277e-07
1970,2.2809676636370568e-07
1971,1.5569344213872682e-07
1972,1.780160943098963e-07
1973,1.7201195134930458e-07
1974,1.338886050916699e-07
1975,1.70773262198054e-07
1976,1.7140580155228236e-07
1977,1.4927026370514795e-07
1978,1.6693061866135395e-07
1979,1.691220319344211e-07
1980,1.6145827430591453e-07
1981,1.1639011177067005e-07
1982,1.185632925171376e-07
1983,1.1746487871278077e-07
1984,1.681712404888458e-07
1985,1.0587382348603569e-07
1986,1.5345882786732545e-07
1987,1.2832715867716615e-07
1988,1.0613900514044872e-07
1989,1.9647477245143818e-07
1990,1.1823572521052483e-07
1991,1.494673682600478e-07
1992,9.477103901645023e-08
1993,1.05798861227413e-07
1994,1.9517229077337106e-07
1995,9.76041150124729e-08
1996,1.0889708335071191e-07
1997,1.1220053153238041e-07
1998,9.107127141305682e-08
1999,9.186104676928153e-08
2000,6.936309659977269e-08
2001,9.50722949255578e-08
2002,9.200564932143607e-08
2003,1.0000614736327407e-07
2004,1.1188169679599014e-07
2005,7.47622408425741e-08
2006,9.26525203226447e-08
2007,9.187302651980644e-08
2008,9.110920728971905e-08
2009,1.3064847337318497e-07
2010,1.0911961823012462e-07
2011,1.330742236405058e-07
2012,1.3821265554270212e-07
2013,1.511705818302289e-07
2014,1.8904336229752516e-07
2015,1.9328537348428654e-07
2016,2.2577606273443962e-07
2017,1.3282428312777483e-07
2018,1.8999594431079458e-07
2019,1.7652834571890708e-07
