year,avions_VERB été_VERB,avions_VERB eté_VERB
1800,9.841235169005813e-07,0.0
1801,9.691412969914381e-07,2.3811825844433088e-09
1802,8.817090133561578e-07,0.0
1803,5.929031203777413e-07,0.0
1804,6.253782771636907e-07,0.0
1805,7.419910730277479e-07,0.0
1806,7.117722589100595e-07,0.0
1807,9.79352535068756e-07,2.8469551160981155e-09
1808,5.891792511647509e-07,0.0
1809,6.031611405887816e-07,0.0
1810,9.126494546762842e-07,0.0
1811,5.71613497868384e-07,0.0
1812,4.027484408197779e-07,0.0
1813,8.91479885467561e-07,0.0
1814,8.338694215126452e-07,0.0
1815,8.496253940393217e-07,0.0
1816,1.07768585166923e-06,0.0
1817,5.760431349699502e-07,0.0
1818,1.0311817959518521e-06,1.1921177378582115e-09
1819,5.90009847201145e-07,0.0
1820,7.772545131956576e-07,1.1866481131050932e-09
1821,8.549910148758499e-07,9.86148829262845e-10
1822,7.840031912564882e-07,0.0
1823,1.3865409300706233e-06,0.0
1824,1.1351660305081168e-06,0.0
1825,9.430629575035709e-07,8.805443041381977e-10
1826,7.266586976584222e-07,0.0
1827,8.719540574020357e-07,0.0
1828,8.713686270311882e-07,0.0
1829,7.973053470777813e-07,8.57317605795771e-10
1830,1.0175914439969347e-06,0.0
1831,1.0617611678753747e-06,0.0
1832,8.009741918613145e-07,0.0
1833,1.2811493661502027e-06,1.1583628500844156e-09
1834,9.185178555526363e-07,9.334530925997342e-10
1835,1.1858921880048001e-06,2.2689263801112247e-09
1836,6.142765300864994e-07,0.0
1837,7.396238288492896e-07,0.0
1838,6.482590038103808e-07,0.0
1839,7.487869879696518e-07,0.0
1840,5.95565893490857e-07,6.369688665408546e-10
1841,8.121994028442714e-07,0.0
1842,6.225270112736325e-07,0.0
1843,5.664727495968691e-07,0.0
1844,6.0923031242055e-07,0.0
1845,5.630449777527247e-07,5.580227946389016e-10
1846,7.306417728614178e-07,5.854501328173001e-10
1847,5.501088367054763e-07,0.0
1848,7.160247150750365e-07,1.6090443422100975e-09
1849,8.614038620180509e-07,0.0
1850,7.637620456080185e-07,0.0
1851,6.430090593312343e-07,0.0
1852,5.182394033909077e-07,0.0
1853,6.855777883174596e-07,0.0
1854,7.107668693606684e-07,5.195664454227256e-10
1855,5.641273901346722e-07,5.306937111981824e-10
1856,5.798452207272931e-07,0.0
1857,8.05449019480875e-07,4.881509085841174e-10
1858,7.086042614901089e-07,0.0
1859,6.18699061760708e-07,0.0
1860,7.99176291366166e-07,4.577183909670879e-10
1861,7.729464641670347e-07,4.715963730639317e-10
1862,6.582706078006595e-07,0.0
1863,6.847625400041579e-07,4.994620828036034e-10
1864,6.856461141069303e-07,0.0
1865,7.187351229731576e-07,4.706844358715045e-10
1866,7.429790684909676e-07,0.0
1867,5.901018766962807e-07,4.85281148598915e-10
1868,6.673769803455798e-07,0.0
1869,6.582984042324824e-07,0.0
1870,7.712295655437629e-07,5.734048791339319e-10
1871,1.4158028989186278e-06,0.0
1872,1.2366808732622303e-06,0.0
1873,8.308574024340487e-07,0.0
1874,7.653474085600465e-07,0.0
1875,9.440519761483301e-07,0.0
1876,6.686892106699815e-07,0.0
1877,7.112538469300489e-07,0.0
1878,6.322925969470816e-07,0.0
1879,6.390354201357695e-07,0.0
1880,6.090535862313118e-07,0.0
1881,6.909755256856442e-07,0.0
1882,6.648729709013423e-07,0.0
1883,6.262465035433706e-07,0.0
1884,7.380697297776351e-07,6.601696966868076e-10
1885,6.626113417951274e-07,0.0
1886,6.240499601517513e-07,0.0
1887,6.241651817617822e-07,0.0
1888,7.615078061462555e-07,6.340614699951175e-10
1889,6.728756716256612e-07,6.265136742733546e-10
1890,7.059074391690956e-07,0.0
1891,5.928024506829388e-07,0.0
1892,6.544327106894343e-07,0.0
1893,7.297723527699418e-07,0.0
1894,7.612259196321247e-07,0.0
1895,7.824198746675393e-07,0.0
1896,7.094125749063096e-07,5.89702897624278e-10
