year,cents_ADJ pages_NOUN
1800,2.955514730729192e-07
1801,2.7145480885337747e-07
1802,2.3497321421928064e-07
1803,7.996391104825307e-08
1804,2.5212878540514794e-07
1805,2.1321582721611776e-07
1806,2.420601958874613e-07
1807,2.9893027431171504e-07
1808,3.195164310909604e-07
1809,2.1234886560250743e-07
1810,3.6739990605383355e-07
1811,2.6073598746734206e-07
1812,7.308150316021056e-07
1813,1.2509476619015913e-06
1814,3.1152103474596515e-07
1815,1.9420009778059466e-07
1816,3.986278613865579e-07
1817,3.674221318306081e-07
1818,3.492905022994819e-07
1819,4.699376745520567e-07
1820,2.9428872494463576e-07
1821,4.7630987864977214e-07
1822,2.6267113639733e-07
1823,2.777034922019084e-07
1824,3.680026168240147e-07
1825,4.1913909853974474e-07
1826,2.501467690763093e-07
1827,2.3964909701135184e-07
1828,2.9718256655542064e-07
1829,6.747089287273411e-07
1830,3.517213542636455e-07
1831,4.4434938217818853e-07
1832,4.51900973530428e-07
1833,3.9616008962184424e-07
1834,4.1351972868142184e-07
1835,3.047924508337019e-07
1836,2.4530737618988496e-07
1837,2.4074302018561866e-07
1838,2.190320174122462e-07
1839,4.2927658228109067e-07
1840,4.0065341977424396e-07
1841,3.268059174388327e-07
1842,3.7029622035333887e-07
1843,3.5854949942404346e-07
1844,3.419373797441949e-07
1845,2.6561883714748546e-07
1846,3.050195118703414e-07
1847,3.2629003499096143e-07
1848,3.18590792858231e-07
1849,2.002680190571482e-07
1850,3.2179841014112753e-07
1851,3.418202538796322e-07
1852,3.0469351486317464e-07
1853,2.9023587444498844e-07
1854,4.068205328167096e-07
1855,4.0332722051061864e-07
1856,3.3910589536390034e-07
1857,4.6471967607430997e-07
1858,4.414095826632547e-07
1859,5.973119527880044e-07
1860,5.144754595676204e-07
1861,4.4848815150544397e-07
1862,4.454734323644516e-07
1863,5.549023853745894e-07
1864,6.520829742839851e-07
1865,5.662333819600462e-07
1866,4.768300527757674e-07
1867,4.915897875434894e-07
1868,5.260965849629429e-07
1869,5.435356911220879e-07
1870,5.080367486698378e-07
1871,3.547473284015723e-07
1872,4.946723493048921e-07
1873,4.088441016847355e-07
1874,4.893204845757282e-07
1875,5.160817408977891e-07
1876,5.532103273253597e-07
1877,5.65292168630549e-07
1878,7.893088991295372e-07
1879,1.1259486427661614e-06
1880,7.611565706611145e-07
1881,5.759291070717154e-07
1882,6.92825608439307e-07
1883,7.147172595978191e-07
1884,7.532536301368964e-07
1885,5.897756523154385e-07
1886,6.853578611298872e-07
1887,7.18834598956164e-07
1888,6.473767371062422e-07
1889,6.922975899215089e-07
1890,7.701403887949709e-07
1891,7.680935141252121e-07
1892,7.54102018163394e-07
1893,6.860475991743442e-07
1894,8.103779691737145e-07
1895,7.47511933241185e-07
1896,8.338399197782564e-07
1897,7.195991429398418e-07
1898,7.287961238944263e-07
1899,7.141631499507639e-07
