year,nombreux_ADJ anneaux_NOUN,nombreux_ADJ panneaux_NOUN
1800,3.144164484325529e-09,0.0
1801,4.7623651688866175e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,7.801356893821776e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,4.212228077449254e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,2.0130190847567064e-08,0.0
1814,3.4613449884091096e-08,0.0
1815,0.0,0.0
1816,1.8540831092650478e-08,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,5.933240565525466e-09,0.0
1821,0.0,4.930744257336528e-09
1822,1.5038423839541792e-08,0.0
1823,7.906149512848515e-09,0.0
1824,1.0105335235266466e-08,2.5263338088166165e-09
1825,6.163809906922779e-09,4.4027217427355936e-09
1826,3.52319382557198e-08,8.807984341885344e-10
1827,1.2904182611350734e-08,0.0
1828,1.834460228167245e-08,0.0
1829,1.3717081692732336e-08,0.0
1830,8.349468672008697e-09,0.0
1831,1.4032085715598441e-08,0.0
1832,2.705993829010822e-08,0.0
1833,7.52935847003755e-08,0.0
1834,2.6136685704614138e-08,2.8003592777992026e-09
1835,1.0588323107185715e-08,0.0
1836,2.2850549896702432e-08,0.0
1837,5.4967337348443834e-08,0.0
1838,1.7042836475411605e-08,3.787297142565649e-09
1839,2.1673573158409454e-08,4.194885327990505e-09
1840,3.503328827036967e-08,0.0
1841,8.346713542550788e-09,5.1364388298225094e-09
1842,3.4212153110502186e-08,0.0
1843,1.8311423488626133e-08,1.1813822142769936e-09
1844,2.195424464446205e-08,2.7442805805577564e-09
1845,2.0088821273134272e-08,2.7901139176833567e-09
1846,4.2152407786488766e-08,0.0
1847,1.240441438454809e-08,0.0
1848,7.24069959545659e-09,8.045221711050488e-10
1849,9.217356655710773e-09,0.0
1850,1.8330290174617403e-08,0.0
1851,2.4507867735223954e-08,6.449438760824933e-10
1852,1.2370036550635177e-08,2.6042181744401205e-09
1853,1.7318601663873778e-08,5.971931837933653e-10
