year,les_DET ailes_NOUN,les_DET pelles_NOUN
1800,1.8475111232874042e-05,6.288328657788611e-08
1801,1.1441582614679646e-05,5.9529565277216534e-08
1802,1.4664566151623148e-05,1.096541666356643e-07
1803,3.2675984812158276e-05,3.90067853572873e-08
1804,1.1432310998316098e-05,6.426812215742927e-08
1805,7.857714081183076e-06,2.615447440845742e-07
1806,8.941819430674514e-06,5.4751712497136396e-08
1807,5.258326098100952e-06,3.131650672116848e-08
1808,8.434327696704713e-06,5.6651848545641315e-08
1809,8.308714143367979e-06,1.784634133805696e-07
1810,7.5141470574635605e-06,5.148278736655243e-08
1811,8.428791886672116e-06,3.5099073869560016e-08
1812,5.035689184751391e-06,8.00162425207418e-09
1813,4.468902290000187e-06,2.5881674137195887e-08
1814,3.6186786189773557e-06,3.776012702516596e-08
1815,4.890066520601977e-06,2.1577788000826104e-08
1816,1.8174650563196337e-05,6.02577028274709e-08
1817,2.5939067199942656e-05,3.580808805025981e-08
1818,1.7289283334775973e-05,5.841376760074013e-08
1819,9.65338972491736e-06,1.0765091751352429e-07
1820,7.814077662260388e-06,2.4919611263385377e-08
1821,8.51342321084303e-06,3.8459806006585495e-08
1822,8.333292271345272e-06,1.162971443591232e-07
1823,1.447813610866433e-05,6.423746423678267e-08
1824,5.645513965646387e-06,8.926379191365186e-08
1825,8.09308278348908e-06,8.629334136145417e-08
1826,1.0075453246827237e-05,6.78214817639855e-08
1827,7.177490374488116e-06,8.848582044862496e-08
1828,1.1165442629135214e-05,5.77854990524429e-08
1829,9.187015621137107e-06,6.172686806138472e-08
1830,9.887858368529123e-06,4.174734158368665e-08
1831,7.533670782322588e-06,6.236482619215167e-08
1832,9.918820978782605e-06,7.170883542517714e-08
1833,7.698479521422996e-06,9.846083992570698e-08
1834,1.1200503877262236e-05,6.160790322340404e-08
1835,1.0076302487505018e-05,6.958040899007756e-08
1836,1.0169839242735179e-05,9.610672480064864e-08
1837,8.309809231832332e-06,7.444943017631545e-08
1838,9.506747346677002e-06,7.511472932542063e-08
1839,8.365999065063079e-06,5.8728391483242603e-08
1840,6.221911803550029e-06,3.9492068282243054e-08
1841,7.749601991235977e-06,5.77849355032356e-08
1842,6.1253166450114804e-06,3.957876248961156e-08
1843,6.828389132351731e-06,4.430183464521065e-08
1844,5.756951964031032e-06,6.09230301762409e-08
1845,6.118719852565846e-06,6.02664629312244e-08
1846,9.569182566337986e-06,5.327596230841891e-08
1847,4.578846755975974e-06,5.8786139511823876e-08
1848,5.280883613067999e-06,9.332456890609464e-08
1849,6.573651148755744e-06,7.457679007671913e-08
1850,7.061234668981342e-06,5.7706468048479564e-08
1851,4.839013911350776e-06,6.191461121574093e-08
1852,9.334169135399861e-06,4.8829090992796864e-08
1853,7.545535709141404e-06,7.584353411971279e-08
1854,6.589661325051566e-06,6.442623945446257e-08
1855,7.1574659159523435e-06,9.605556172687102e-08
1856,5.612590967984943e-06,9.577799797710895e-08
1857,7.68544794027548e-06,3.27061125404704e-08
1858,5.307680908117618e-06,6.851146405750796e-08
1859,5.8514164607004204e-06,6.670746888204349e-08
1860,8.621583560852741e-06,8.513562343992476e-08
1861,6.140184893865808e-06,1.112967407124188e-07
1862,5.444625173822715e-06,9.894390062825664e-08
1863,5.5799906135689525e-06,4.694943722682865e-08
1864,5.629010729535366e-06,4.890622662401256e-08
1865,5.142698398685752e-06,6.919061457111297e-08
1866,5.4587310955867e-06,5.6927670799566954e-08
1867,7.226321713460493e-06,7.085104947179843e-08
1868,6.345268047880381e-06,7.064019769131846e-08
1869,6.588355574876914e-06,6.153233966799121e-08
1870,6.169263258470892e-06,7.74096586830808e-08
1871,5.990343993289571e-06,7.859671002918844e-08
1872,5.863500348368689e-06,9.010535517717244e-08
1873,6.050054878414812e-06,7.482505637312897e-08
1874,9.975207376555772e-06,7.05003863066267e-08
1875,5.0835768661272596e-06,7.666846624232448e-08
1876,5.468015842780005e-06,6.831996479661484e-08
