year,concours_NOUN heureux_ADJ
1800,1.0061326349841693e-07
1801,8.572257570449437e-08
1802,1.096541666356643e-07
1803,1.0531832117521844e-07
1804,6.426812149129546e-08
1805,7.960057502032214e-08
1806,1.4408345627714425e-08
1807,1.1103124819555887e-07
1808,4.985362878073829e-08
1809,9.93973401364201e-08
1810,5.616304221689461e-08
1811,3.760615285841595e-08
1812,4.267533171287141e-08
1813,1.2365688917270745e-07
1814,6.922689976818219e-08
1815,1.0519171667056071e-07
1816,3.9399267848239106e-08
1817,5.60474440192138e-08
1818,9.775365583664097e-08
1819,3.726378139390363e-08
1820,6.40789963313182e-08
1821,5.621048160264763e-08
1822,4.6117833107928163e-08
1823,4.4472091786929013e-08
1824,3.2000230021367315e-08
1825,7.220463515977826e-08
1826,6.253669226907732e-08
1827,5.622536392024813e-08
1828,3.944089499441361e-08
1829,4.2865881511033876e-08
1830,6.157733167810875e-08
1831,2.9623292263636358e-08
1832,1.6235963684607668e-08
1833,3.8225973497674204e-08
1834,4.29388435918554e-08
1835,2.647080776796429e-08
1836,3.36037508930076e-08
1837,9.74104708006962e-09
1838,2.9035945203759184e-08
1839,4.4046291947097416e-08
1840,3.4396318682183846e-08
1841,4.8796167106957e-08
1842,3.3541326160957396e-08
1843,2.8943864194275193e-08
1844,4.50062032086862e-08
1845,4.408380149811819e-08
1846,6.908311434017378e-08
1847,1.941560512364049e-08
1848,8.04522137798358e-09
1849,2.0948537127196687e-08
1850,1.968808760466345e-08
1851,2.96674187438839e-08
1852,2.4740073101270355e-08
1853,1.6124216628554677e-08
1854,2.338049043260071e-08
1855,2.388121700391821e-08
1856,2.174419400091665e-08
1857,3.612316845647001e-08
1858,2.2510910469009104e-08
1859,2.9025388315062628e-08
1860,3.8906062371779626e-08
1861,2.7352589526685733e-08
1862,2.5752521892741242e-08
1863,4.5950510951797696e-08
1864,3.5001512799226475e-08
1865,5.412870862642194e-08
1866,2.1408697037372804e-08
1867,3.591080499631971e-08
1868,3.210918109175509e-08
1869,1.8069020057964735e-08
1870,3.4404294524392753e-08
1871,2.8677177965619194e-08
1872,5.200711683528425e-08
1873,3.112722168907567e-08
1874,2.8080663128093875e-08
1875,3.776207790906483e-08
1876,4.836811839936672e-08
1877,2.2265338017746217e-08
1878,3.01954443671093e-08
1879,4.3376211067425174e-08
1880,3.658172431642015e-08
1881,2.4403776777148778e-08
1882,4.991538915533056e-08
1883,1.8326083761621703e-08
1884,1.8484751507230612e-08
1885,2.7716232864349877e-08
1886,1.2906927970846027e-08
1887,2.8074376601239237e-08
1888,2.1558090423923204e-08
1889,2.380751951136517e-08
1890,2.6217545467943637e-08
1891,3.378336543846672e-08
1892,3.19694137829174e-08
1893,1.2932674486876294e-08
1894,1.764431090123253e-08
1895,2.5880042997528108e-08
1896,3.066455178668548e-08
1897,2.7385553380554484e-08
1898,1.867257104493092e-08
1899,3.537650172802387e-08
1900,2.4397950326715545e-08
1901,1.2295225282343836e-08
1902,2.455141867585553e-08
1903,3.510143287144274e-08
1904,1.289910045443321e-08
1905,2.2191263937543226e-08
1906,2.3148830408104004e-08
1907,1.2857108266928208e-08
1908,4.371136341774218e-08
1909,1.870334465081669e-08
1910,2.7255168788542505e-08
1911,3.1922244403403965e-08
1912,2.0837685354990754e-08
1913,3.553003224965323e-08
1914,3.080502253283157e-08
1915,2.238344798399794e-08
1916,2.307367097387214e-08
1917,2.52227767560953e-08
1918,2.412139110674616e-08
1919,2.3940405213807026e-08
1920,2.1202248845497706e-08
1921,2.9533714140939082e-08
1922,2.2871599725249325e-08
1923,2.229349149729387e-08
1924,1.804827398643738e-08
1925,2.3096173862313663e-08
1926,2.452150482668003e-08
1927,2.4528294062520217e-08
1928,3.085031252680892e-08
1929,2.4508894469477127e-08
1930,1.995684684175103e-08
1931,3.649714130915527e-08
1932,1.53433514782364e-08
1933,2.2941325283909464e-08
1934,2.2765002327673756e-08
1935,2.6330225111337313e-08
1936,1.576212937948185e-08
1937,1.6368453259474336e-08
1938,2.074434313215079e-08
1939,2.2941076593951948e-08
1940,1.0143131667916805e-08
1941,2.066051862925633e-08
1942,3.944475324146879e-08
1943,2.0322646676618206e-08
1944,2.5705489292704442e-08
1945,6.535512131478072e-09
1946,1.9489545977080525e-08
1947,2.7418003867296648e-08
1948,2.174377655705939e-08
1949,2.2579119018928395e-08
1950,1.701657836861159e-08
1951,2.0256663901818683e-08
1952,1.687168627029223e-08
1953,7.54167928107563e-09
1954,2.247683283940205e-08
1955,2.440258128899586e-08
1956,1.9186511934776718e-08
1957,2.47381048978923e-08
1958,1.3235589513271862e-08
1959,2.1702094343822864e-08
1960,2.2838749558218296e-08
1961,2.501337270643944e-08
1962,2.029426049432459e-08
1963,9.69907976156037e-09
1964,1.3993127545575135e-08
1965,1.4774516721161035e-08
1966,1.163205709531212e-08
1967,2.218651040664099e-08
1968,2.0211372131484495e-08
