year,leurs_DET iles_NOUN,leurs_DET piles_NOUN
1800,1.8864987794131594e-08,4.4018303668735825e-08
1801,1.1905912700171939e-08,4.7623651688866175e-09
1802,1.1189200677108602e-08,1.5664880947952042e-08
1803,1.950339223455444e-09,1.1702035562777269e-08
1804,1.7302956178966156e-08,2.2246657849223084e-08
1805,5.685755422035754e-09,5.685755422035754e-09
1806,0.0,3.1698359492793315e-08
1807,1.7081731584767113e-08,0.0
1808,1.5862518409903714e-08,6.798221985349073e-09
1809,9.036122072814123e-09,6.325285539787728e-08
1810,6.786367867661625e-08,1.8721014072298203e-08
1811,1.2535384286138651e-08,5.0141535368197765e-09
1812,1.600324850414836e-08,5.067695596494559e-08
1813,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,1.5733385261285093e-08
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,2.3176038865813098e-09
1817,4.670620223912181e-09,4.670620334934483e-09
1818,3.5763532135746345e-09,1.0729059418679299e-08
1819,1.656168058250529e-08,5.175525008560555e-09
1820,2.254631414899677e-08,7.119888678630559e-09
1821,2.5639868672655552e-08,4.930744257336528e-09
1822,1.5038423839541792e-08,1.2030739071633434e-08
1823,1.087095569118901e-08,3.9530747564242574e-09
1824,3.3684450784221553e-09,8.421112696055388e-09
1825,8.805443485471187e-09,1.8491430164857547e-08
1826,3.435113882233054e-08,1.2331178300684087e-08
1827,1.474763688946723e-08,1.6591091167583727e-08
1828,1.2841221419535032e-08,5.503380862137419e-09
1829,1.800366966620004e-08,1.2859764364492321e-08
1830,8.349468672008697e-09,1.0436835840010872e-09
1831,4.677361831184612e-09,1.4032084827420022e-08
1832,8.117981842303834e-09,6.764984683549358e-09
1833,8.57188530156705e-08,8.108539617524002e-09
1834,1.8669062740173104e-08,1.773560920348416e-08
1835,1.8907719834260206e-08,7.563087933704082e-09
1836,1.7473950730817478e-08,1.3441500523736494e-08
1837,2.852735292435682e-08,2.156946243836444e-08
1838,3.09295935529974e-08,1.2624323808552163e-08
1839,1.887698375391267e-08,4.894032556990169e-08
1840,2.1019971874203236e-08,3.057450559396102e-08
1841,1.9903700465562224e-08,4.044945711711989e-08
1842,1.609983613093391e-08,2.1466448618667755e-08
1843,2.126488007903049e-08,2.4218335115122613e-08
1844,1.8112251365387522e-08,9.330554107123135e-09
1845,8.37034219713928e-09,1.0044410636567136e-08
1846,1.8148954339380907e-08,6.439951460990301e-09
1847,1.5101026207275936e-08,2.1572894581822766e-08
1848,1.850400987990497e-08,4.82713291560799e-09
1849,1.5920887719289567e-08,5.02764896381791e-09
1850,1.5614690873633208e-08,1.2899092460827433e-08
