year,joueurs_NOUN heureux_ADJ
1800,9.432493897065797e-09
1801,0.0
1802,3.3567602031325805e-08
1803,0.0
1804,2.7190360185613827e-08
1805,1.1371510844071508e-08
1806,5.76333825108577e-09
1807,1.1387820464392462e-08
1808,0.0
1809,2.710836710662079e-08
1810,9.360507036149102e-09
1811,0.0
1812,1.3336041604361526e-08
1813,4.3136125782439194e-08
1814,1.5733386149463513e-08
1815,1.0249449644561537e-07
1816,3.0128852301913867e-08
1817,2.80237220096069e-08
1818,1.3113295338484932e-08
1819,0.0
1820,0.0
1821,5.9168927535324656e-09
1822,2.2056354964661296e-08
1823,1.581229902569703e-08
1824,6.736890156844311e-09
1825,1.7610886082763955e-09
1826,2.642395191543301e-09
1827,9.217273055917019e-10
1828,0.0
1829,7.715858174606183e-09
1830,3.1310507520032616e-09
1831,2.3386808933878456e-08
1832,2.3000948701223933e-08
1833,4.9809603552830595e-08
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,3.36037508930076e-09
1837,1.1828414692161004e-08
1838,1.2624323808552163e-09
1839,2.7965900706306e-09
1840,1.6561189752906103e-08
1841,1.2841097074556274e-09
1842,7.379091560011375e-09
1843,4.134837805480629e-09
1844,3.841992946007622e-09
1845,1.1160455670733427e-08
1846,6.439951683034906e-09
1847,9.707802561820245e-09
1848,1.6090443422100975e-09
1849,8.379414939696517e-10
1850,2.7155984128057753e-09
1851,1.1608989325395669e-08
1852,1.9531636308300904e-09
1853,3.5831591027601917e-09
1854,1.506742641765868e-08
1855,1.0613874223963649e-09
1856,3.6240324075009767e-09
1857,1.7085282522089074e-08
1858,1.3702292633865909e-08
1859,1.9859475841599306e-08
1860,1.0069804545764782e-08
1861,1.0846716413936974e-08
1862,1.9879140111811466e-08
1863,2.4973104473247076e-08
1864,1.5343129433631475e-08
1865,1.2237795665726026e-08
1866,8.75810357570117e-09
1867,6.79393608038481e-09
1868,7.903798504571569e-09
1869,4.883519144627257e-10
1870,5.734048791339319e-10
1871,3.18635318130589e-09
1872,2.4189357183956872e-09
1873,5.9860045809045914e-09
1874,5.974609140757536e-10
1875,8.010138330405425e-09
1876,1.6324239737741664e-08
1877,4.329371083855449e-09
1878,3.6234530931267273e-09
1879,5.498392852132383e-09
1880,1.7328185109022343e-08
1881,6.9725074602899895e-09
1882,8.652000893505374e-09
1883,8.21514056781325e-09
1884,5.281357573494461e-09
1885,7.7347630522695e-09
1886,9.034849313138693e-09
1887,3.9173548849191775e-09
1888,2.4094335415725254e-08
1889,1.628935564212952e-08
1890,3.2771931834929546e-09
1891,7.649063604731055e-09
1892,5.641661360300532e-09
1893,1.3548516086814288e-08
1894,1.6384001710889606e-08
1895,3.0093072478365457e-09
1896,1.0614652268259306e-08
1897,1.3984112534615178e-08
1898,7.355861253444118e-09
1899,9.949641111006713e-09
1900,6.22926377147337e-09
1901,3.353243460679778e-09
1902,3.928227076954727e-09
1903,8.100330184390714e-09
1904,7.524475265086039e-09
1905,5.160758931310738e-09
1906,3.0865106026567446e-09
1907,5.142843373384665e-10
1908,1.276961114626829e-08
1909,1.1001967337165297e-08
1910,7.481810726517324e-09
1911,1.0640748282497725e-09
1912,4.688478938419394e-09
1913,2.6514948014977335e-09
1914,2.678697486047099e-09
1915,2.3561523843085297e-09
1916,1.3184954461564757e-08
1917,9.869782324756216e-09
1918,1.2635013924011673e-08
1919,3.6831393490643904e-09
1920,3.028892692213958e-09
1921,9.087297137000405e-09
1922,3.6889677978990676e-09
1923,5.307974060286824e-09
1924,5.156649773851996e-09
1925,6.598906754362588e-09
1926,1.5604593173179637e-08
1927,8.919379901328739e-09
1928,4.570416489713125e-09
1929,6.684243825105796e-09
1930,6.302162347537887e-09
1931,7.983749661377715e-09
1932,1.0959536611565568e-09
1933,4.588264879146209e-09
1934,7.188948103475923e-09
1935,1.196828414151696e-09
1936,3.6374143697059935e-09
1937,5.0364472592434595e-09
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,0.0
1941,5.9030051957620344e-09
1942,0.0
1943,2.9032352077962287e-09
