year,traits_NOUN heureux_ADJ
1800,2.1694735607979965e-07
1801,2.5954889792956237e-07
1802,1.9245425164626795e-07
1803,1.501761204281138e-07
1804,4.721235313809302e-07
1805,2.1321582721611776e-07
1806,1.4696512096179504e-07
1807,2.875424627291068e-07
1808,3.7390219631561195e-07
1809,1.5135503872443223e-07
1810,5.00787109558587e-07
1811,2.1059445032278745e-07
1812,5.97454629769345e-07
1813,5.981542585686839e-07
1814,2.989343386161636e-07
1815,1.2676950689183286e-07
1816,1.5064425440414198e-07
1817,1.6035795624702587e-07
1818,1.5735953695639182e-07
1819,1.438795891317568e-07
1820,1.685040302845664e-07
1821,1.5581152013055544e-07
1822,1.9850719468195166e-07
1823,1.0772128433700345e-07
1824,2.1810681971601298e-07
1825,2.3510533253556787e-07
1826,2.078684246953344e-07
1827,1.9171928045125242e-07
1828,1.6234973543305387e-07
1829,1.6289034476812958e-07
1830,2.410909019090468e-07
1831,9.510635834431014e-08
1832,6.764985016616265e-08
1833,1.4479535082045913e-07
1834,1.3721761149554368e-07
1835,1.0361430469174593e-07
1836,9.140219958680973e-08
1837,7.72325918774186e-08
1838,1.04781889831429e-07
1839,8.809258389419483e-08
1840,1.1019561441116821e-07
1841,1.2263247128885268e-07
1842,8.720744659740376e-08
1843,9.451057536580265e-08
1844,9.165897552065871e-08
1845,9.318980431771706e-08
1846,9.133022160767723e-08
1847,1.024712474873013e-07
1848,8.849743693417622e-08
1849,7.457679629396807e-08
1850,8.689914920978481e-08
1851,8.706741994046752e-08
1852,1.5429992572535411e-07
1853,1.3675723664619e-07
1854,1.1690244861028987e-07
1855,1.0401596739484376e-07
1856,1.0716781417841048e-07
1857,1.503504734046146e-07
1858,1.419166011373818e-07
1859,1.2985042019408866e-07
1860,9.840945125461076e-08
1861,9.620566032708666e-08
1862,1.305698020814816e-07
1863,1.1637466457159462e-07
1864,1.1842978153708827e-07
1865,1.0872810207729344e-07
1866,8.514822269489741e-08
1867,1.0287960350296999e-07
1868,9.385760790792119e-08
1869,8.98567549256768e-08
1870,8.25703025952862e-08
1871,6.903765381593985e-08
1872,8.526748729309475e-08
1873,5.986004225633224e-08
1874,9.917851429008806e-08
1875,1.0527610072585958e-07
1876,1.227341073217758e-07
1877,9.029831460338755e-08
1878,7.850815109122777e-08
1879,1.1790997689331562e-07
