year,motifs_NOUN heureux_ADJ
1800,0.0
1801,9.524730337773235e-09
1802,0.0
1803,7.801356893821776e-09
1804,0.0
1805,2.842877711017877e-09
1806,8.645007376628655e-09
1807,0.0
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,4.44624070894406e-08
1811,3.5099073869560016e-08
1812,8.00162425207418e-09
1813,9.489947672136623e-08
1814,6.293354282149721e-09
1815,2.4275012222574333e-08
1816,0.0
1817,1.556873407970727e-09
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,2.3732962262101864e-08
1821,4.930744257336528e-09
1822,4.010246357211145e-09
1823,1.087095569118901e-08
1824,1.3473780313688621e-08
1825,1.4969252504215547e-08
1826,1.4092774947016551e-08
1827,2.7651818612639545e-09
1828,8.255071293206129e-09
1829,8.57317605795771e-10
1830,1.3567886369969528e-08
1831,4.677361609140007e-09
1832,6.764984572527055e-09
1833,1.2741991461950875e-08
1834,0.0
1835,9.075705520444899e-09
1836,1.2769425516978572e-08
1837,2.5744196108234974e-08
1838,3.1560809521380406e-09
1839,1.8876983531868063e-08
1840,4.458782232319436e-09
1841,1.1556987367100646e-08
1842,4.695785538189057e-09
1843,1.063243981747064e-08
1844,1.811225303072206e-08
1845,1.1160455670733427e-08
1846,9.367202125076801e-09
1847,3.775256551818984e-09
1848,4.82713291560799e-09
1849,3.3517659758786067e-09
1850,3.394498016007219e-09
1851,1.4188765717904062e-08
1852,5.859490670445666e-09
1853,8.360704129017904e-09
1854,1.0391328686409906e-08
1855,8.491099379170919e-09
1856,7.765783571755946e-09
1857,1.1715622250108026e-08
1858,1.468102794888182e-08
1859,1.9350258284589472e-08
1860,7.323494255473406e-09
1861,8.017138064531082e-09
1862,1.0391368654438793e-08
1863,1.4484400345793347e-08
1864,1.5343129433631475e-08
1865,4.706844247692743e-09
1866,1.1677471434268227e-08
1867,2.0867089389753346e-08
1868,9.87974857480367e-09
1869,1.0743741896135361e-08
1870,1.3188312664169644e-08
1871,1.0621176826930423e-08
1872,3.0236697590169115e-09
1873,2.9930022904522957e-09
1874,4.182226565063729e-09
1875,4.005069165202713e-09
1876,1.0278225381910033e-08
1877,1.36065949618569e-08
1878,1.0870359723469392e-08
1879,1.0385853066452455e-08
1880,1.4119262203848848e-08
1881,4.183504653809678e-09
1882,8.652000893505374e-09
1883,3.159669414998234e-09
1884,1.1883054540362536e-08
1885,1.933690763067375e-09
1886,1.2906927748801422e-09
1887,3.9173548849191775e-09
1888,6.974675947901687e-09
1889,0.0
1890,1.3108772956016423e-09
1891,1.2748440081367107e-09
1892,8.775916882086676e-09
1893,1.847525021858587e-09
1894,1.2603078580752936e-09
1895,9.027921521465032e-09
1896,1.7691086373616827e-09
1897,0.0
1898,1.0185038590293516e-08
1899,1.1055156790007459e-09
1900,7.26747462209687e-09
1901,4.470991132876634e-09
1902,1.4730852093691738e-09
1903,0.0
1904,1.6123875568041512e-09
1905,8.773290538499623e-09
1906,8.745113966313056e-09
1907,2.5714217422034835e-09
1908,0.0
1909,0.0
1910,0.0
1911,3.1922244847493175e-09
1912,1.5628263128064646e-09
