year,gens_NOUN heureux_ADJ,gens_NOUN peureux_ADJ
1800,1.3205490612122617e-07,6.288328968651058e-09
1801,1.7620750725200196e-07,0.0
1802,1.7007585029205075e-07,2.2378401354217203e-09
1803,1.5017611509904327e-07,0.0
1804,2.3235398316501232e-07,0.0
1805,1.1087222873129576e-07,0.0
1806,1.9595350408962986e-07,2.0171682990621775e-08
1807,1.2526602688467392e-07,0.0
1808,1.155697759713803e-07,0.0
1809,1.7394535234416253e-07,0.0
1810,1.5444837231370911e-07,0.0
1811,2.908209069119039e-07,2.0056614147279106e-08
1812,1.280259893654545e-07,0.0
1813,2.0992914540052254e-07,0.0
1814,1.4160046646338742e-07,2.2026739543434815e-08
1815,1.1328339155625144e-07,2.1577788444915313e-08
1816,1.0660977523002657e-07,4.6352077731626196e-09
1817,1.8993854988824665e-07,4.670620334934483e-09
1818,2.8014767394779483e-07,1.1921177378582115e-09
1819,1.4698491668241331e-07,1.035105001712111e-09
1820,2.57502648537411e-07,2.3732962262101864e-09
1821,2.1103585368109634e-07,0.0
1822,1.7645083971729036e-07,1.0025615893027862e-09
1823,1.7591182199794275e-07,0.0
1824,1.6505380528997193e-07,8.421112696055388e-10
1825,1.9900301140296506e-07,8.805443041381977e-10
1826,1.726364996512686e-07,0.0
1827,1.3365045958835253e-07,0.0
1828,1.5134296421637217e-07,1.8344602503717056e-09
1829,1.5860375413012662e-07,0.0
1830,1.617709504131426e-07,1.2524203008013046e-08
1831,1.6058942264862708e-07,4.677361609140007e-09
1832,2.7465838403628595e-07,4.058990921151917e-09
1833,1.5637898798104288e-07,4.6334514003376626e-09
1834,2.025593204280085e-07,6.534171426153534e-09
1835,1.8378304389443656e-07,3.781543966852041e-09
1836,1.1895727530797373e-07,2.016224964762614e-09
1837,1.2524203896191466e-07,0.0
1838,1.237183779867479e-07,7.574594285131298e-09
1839,1.258465478493065e-07,2.7965900706306e-09
1840,1.7835128146570511e-07,6.3696887764308485e-09
1841,1.309791906045632e-07,6.420548537278137e-09
1842,1.5026514033067428e-07,8.049918065466954e-09
1843,1.6362143240300497e-07,1.1813822142769936e-09
1844,1.4928886438170252e-07,9.330554107123135e-09
