year,mes_DET eaux_NOUN,mes_DET peaux_NOUN
1800,4.4018303668735825e-08,6.288328968651058e-09
1801,8.334139067756041e-08,7.143547975374531e-09
1802,5.818384352096473e-08,0.0
1803,4.095712213825209e-08,0.0
1804,9.145848345326613e-08,0.0
1805,2.2743021688143017e-08,1.7057266488151868e-08
1806,2.939302561344448e-07,0.0
1807,1.0818429707626365e-07,0.0
1808,1.291662137248295e-07,2.2660739951163578e-09
1809,2.710836577435316e-07,2.25903047379461e-08
1810,2.9251584621192706e-07,7.020380277111826e-09
1811,3.008492077682945e-08,5.0141535368197765e-09
1812,6.934741492159446e-08,0.0
1813,7.189353823378042e-08,4.601186631703058e-08
1814,9.440031245588898e-08,0.0
1815,2.4275012222574333e-08,2.697223555614414e-09
1816,2.3176038865813098e-08,2.3176038865813098e-09
1817,2.9580595417577626e-08,0.0
1818,9.65615354342475e-08,2.384235475716423e-09
1819,4.45095160728215e-08,3.1053151161586356e-09
1820,9.967844061264941e-08,5.933240565525466e-09
1821,5.226588806195309e-08,0.0
1822,9.023054303725075e-08,0.0
1823,1.561464593180517e-07,9.882686891060644e-10
1824,5.81056784909606e-08,1.0947446504872005e-08
1825,4.781355640304241e-07,2.641632912414593e-09
1826,4.4039921487382117e-08,7.0463874735082754e-09
1827,4.147772969531616e-08,8.295545583791863e-09
1828,2.2013522782415862e-08,1.2841221419535032e-08
1829,4.4580514835246277e-08,8.57317605795771e-10
1830,4.0703659553997795e-08,1.033246732617954e-07
1831,5.4569221807909685e-08,6.236482441579483e-09
1832,2.4353944638733083e-08,5.411987746839486e-09
1833,4.40177885252524e-08,2.3167257001688313e-09
1834,8.121042216480134e-08,4.667265685043276e-09
1835,7.865611451052246e-08,2.2689263801112247e-08
1836,5.3765998930810355e-08,6.72075017860152e-09
1837,7.375364274864182e-08,3.478945576063097e-09
1838,1.6916594525184792e-07,6.943378316748294e-09
1839,3.495737765923934e-08,4.894032845648155e-09
1840,3.1848443160509277e-08,8.917564464638872e-09
1841,4.558589550285319e-08,4.494383976094696e-09
1842,5.0982814414624045e-08,2.683306021822318e-09
1843,5.6706348061652534e-08,1.7720733769266417e-09
1844,3.787107349939589e-08,6.037417232818143e-09
1845,5.412821302286375e-08,6.696273757711424e-09
1846,2.3418005756781213e-08,2.9272506640865004e-09
1847,2.8584085320915165e-08,1.294373674909366e-08
1848,3.459445302445019e-08,4.82713291560799e-09
1849,3.016589378290746e-08,8.379414939696517e-10
1850,5.4311967367937086e-08,8.146795238417326e-09
1851,5.095056665460618e-08,2.579775504329973e-09
1852,4.492276350909208e-08,7.161599979710331e-09
1853,5.195580832229041e-08,1.3735443005202796e-08
1854,6.026970889028149e-08,1.558699302961486e-08
1855,4.192480318465641e-08,3.1841622671890946e-09
1856,6.41971462655988e-08,1.0354378465748937e-09
1857,6.63885206808601e-08,0.0
1858,9.004363876741195e-08,3.4255731584664773e-09
1859,6.823512332942983e-08,5.601390462572908e-09
1860,2.8378539518314483e-08,1.327383358784573e-08
1861,5.989273965667508e-08,7.073945429425521e-09
1862,1.265036155828625e-07,1.1294965851504912e-08
1863,6.193329782355761e-08,1.9978482868054925e-08
1864,6.808513419720441e-08,4.794728170054441e-09
1865,1.4120533142758518e-07,6.1188974997961054e-09
1866,7.249762967731499e-08,3.8924903300596725e-09
1867,4.416058452250127e-08,8.249779526181555e-09
1868,4.544684018004119e-08,6.421836395986702e-09
1869,7.129938239813782e-08,6.348574999037737e-09
1870,6.192772739055386e-08,1.1468097582678638e-09
1871,4.0360473185785395e-08,1.0621177271019633e-09
1872,3.567930095815797e-08,1.9351485747165498e-08
1873,3.471882425998274e-08,7.183205141814142e-09
1874,2.7483201492373155e-08,5.974609251779839e-09
1875,5.092159111041994e-08,1.0870901234749653e-08
1876,2.7207067265777596e-08,6.650616057868319e-09
1877,4.143826648483895e-08,1.2988113695655557e-08
1878,3.019544392302009e-08,3.0195443923020093e-09
1879,3.482315313885209e-08,1.0996785371197859e-08
1880,4.1074214696124045e-08,7.059630879879819e-09
1881,6.623881887435346e-08,1.324776466304911e-08
1882,4.8584313239175e-08,1.3310770263785798e-09
1883,3.4756364897248204e-08,1.2638677882037541e-09
1884,3.1688144552788344e-08,1.3203393933736152e-09
1885,1.8047779493102212e-08,1.0957580620640783e-08
1886,5.291840321497432e-08,5.808117542471791e-09
1887,2.7421483528300428e-08,1.0446279508080636e-08
1888,4.2482117379449846e-08,2.53624587998047e-09
1889,2.5687060034584874e-08,6.265136742733546e-10
1890,4.4569826496143605e-08,6.554386366985909e-09
1891,3.187109842706093e-08,3.824531802365527e-09
1892,3.19694137829174e-08,1.2537024751679837e-09
1893,2.7097032173628577e-08,3.0792082772457263e-09
1894,1.4493540811955086e-08,7.561846926407156e-09
1895,1.9259565942064683e-08,7.824199066419624e-09
1896,2.4177819246684606e-08,1.179405795248556e-09
1897,2.7968225846386474e-08,3.4960281336537946e-09
1898,3.508180057565369e-08,6.2241901632731356e-09
1899,1.492446166651007e-08,0.0
1900,2.2840633606691085e-08,0.0
1901,2.5708198236884527e-08,6.147612696683069e-09
1902,2.3078334632220532e-08,2.455141923096704e-09
1903,2.7001101798873606e-08,3.2401321625741275e-09
1904,1.1824175416563776e-08,1.6123875568041512e-09
1905,2.2191263937543226e-08,1.0321518084666081e-09
1906,2.3148830130548248e-08,2.0576738091193647e-09
1907,1.8514236699296305e-08,2.5714217422034835e-09
1908,2.8977195087875884e-08,2.4556945366072114e-09
1909,2.7504917898824033e-08,3.850688656825696e-09
1910,1.6566866878342523e-08,1.068830135508847e-09
1911,3.245428215059576e-08,5.3203743632934675e-09
1912,5.157326832261333e-08,2.0837684910901544e-09
1913,4.2423916379874527e-08,7.954484182448596e-09
1914,3.8841114324839054e-08,6.696743715117748e-10
1915,2.4739600590351074e-08,1.1780761921542648e-09
1916,9.888715624128963e-09,0.0
1917,2.4126133979507358e-08,8.773139548168274e-09
1918,3.790504177203502e-08,0.0
1919,2.3940405213807026e-08,9.207848372660976e-10
1920,1.665891025126598e-08,0.0
1921,2.423279099605935e-08,1.5145494858259667e-09
1922,1.623145884366295e-08,2.2133805899215986e-09
1923,2.7601465557580696e-08,3.1847844361720945e-09
1924,1.804827398643738e-08,5.156649773851996e-09
1925,2.3096173862313663e-08,4.399271169575059e-09
1926,3.566764306128789e-08,2.229227691330493e-09
1927,3.0102906389828377e-08,7.804457635707251e-09
1928,3.0850310528407476e-08,0.0
1929,3.787738211968872e-08,2.2280812750352652e-09
