year,époux_NOUN heureux_ADJ
1800,5.0306631749208464e-08
1801,3.809892135109294e-08
1802,4.923248297927785e-08
1803,2.5354410126965377e-08
1804,1.2359254952798437e-08
1805,3.695740957709859e-08
1806,3.1698359492793315e-08
1807,3.701041606518629e-08
1808,1.1783584596969376e-07
1809,5.6475762733043666e-08
1810,1.0998595456612748e-07
1811,3.259199843341776e-08
1812,6.13457871168066e-08
1813,3.4508900625951355e-08
1814,9.440030979135372e-09
1815,2.697223555614414e-09
1816,1.622322720606917e-08
1817,5.4490570278176165e-08
1818,3.337929754820834e-08
1819,3.726377839630146e-08
1820,4.9839222526770754e-08
1821,4.2404398215012407e-08
1822,4.8122956286533736e-08
1823,2.174191138237802e-08
1824,2.6105450245950124e-08
1825,2.553578504205234e-08
1826,3.787433300317389e-08
1827,4.05560000582561e-08
1828,2.2013523448549677e-08
1829,2.8291480713704686e-08
1830,2.922314124020886e-08
1831,1.870944643656003e-08
1832,8.117981842303834e-09
1833,4.170106393530659e-08
1834,1.4001796166951408e-08
1835,3.2521278114927554e-08
1836,2.016225053580456e-08
1837,2.365682982841122e-08
1838,3.029837714052519e-08
1839,1.957613093850341e-08
1840,1.8472097074173632e-08
1841,1.6693427085101575e-08
1842,1.7441490030023488e-08
1843,7.088293285661962e-09
1844,2.6345094328306118e-08
1845,8.37034175305007e-09
1846,1.2294452567118697e-08
1847,1.6179671824545494e-08
1848,2.7353753817571658e-08
1849,1.75967720394965e-08
1850,1.2899092460827433e-08
1851,1.1608989325395669e-08
1852,7.812654523320361e-09
1853,9.55509071864924e-09
1854,2.0263092093131263e-08
1855,1.4328730202350926e-08
1856,1.7084723635818477e-08
1857,8.298565390418844e-09
1858,9.787352261980686e-09
1859,1.0693564256314403e-08
1860,2.563223033824613e-08
1861,1.226150558863992e-08
1862,2.1686334505943705e-08
1863,1.748117206545885e-08
1864,7.671564716815737e-09
1865,1.4120533187167439e-08
1866,6.811858188626729e-09
1867,7.76449837758264e-09
1868,8.89177353968762e-09
1869,9.278686263769487e-09
1870,1.7202147262196377e-08
1871,1.805600113868877e-08
1872,7.256807155187062e-09
1873,2.9930022904522957e-09
1874,1.0754296120296658e-08
1875,2.1741803024610817e-08
1876,1.5719638923883394e-08
1877,1.793596560162314e-08
1878,1.69094480639842e-08
1879,1.588424503040642e-08
1880,1.7328184442888528e-08
1881,5.5780060570498335e-09
1882,7.986462158271479e-09
1883,8.847074184359371e-09
1884,3.300848483434038e-09
1885,1.9336907297606842e-08
1886,5.162771099520569e-09
1887,9.140494583448344e-09
1888,6.974675947901687e-09
1889,5.6386229019267375e-09
1890,5.243509182406569e-09
1891,3.1871101313640793e-09
1892,4.387958441043338e-09
1893,8.621783287310336e-09
1894,1.449354058991048e-08
1895,3.611168697403855e-09
1896,6.486732040400511e-09
1897,2.330685422435863e-09
1898,1.3580051305694951e-08
1899,3.3165470370022376e-09
1900,1.142031669232324e-08
1901,1.2295225337854987e-08
1902,1.4730851205513318e-08
1903,6.480264325148255e-09
1904,3.7622376325430196e-09
1905,6.192911072844254e-09
1906,6.687439824126784e-09
1907,7.199980611716228e-09
1908,9.822778146428846e-09
1909,1.4852655993990993e-08
1910,1.5498036631811374e-08
1911,5.852411444351446e-09
1912,6.251305251225858e-09
1913,6.893886794756554e-09
1914,0.0
1915,3.534228465440492e-09
1916,1.0987462051303964e-09
1917,0.0
1918,1.2635013924011673e-08
1919,2.762354567309444e-09
1920,4.543339038320937e-09
1921,6.815472630705699e-09
1922,2.951174193910333e-09
1923,9.554353752605493e-09
1924,5.156649773851996e-09
1925,1.2097995494286806e-08
1926,1.89484357093761e-08
1927,6.689535148041159e-09
1928,4.570416489713125e-09
1929,5.570202965543558e-09
1930,1.2604324695075775e-08
1931,2.0529641986399838e-08
1932,8.767629289252454e-09
1933,3.4411986593596566e-09
1934,7.188948103475923e-09
1935,5.98414207075848e-09
1936,2.424942913137329e-09
1937,1.510934133364117e-08
1938,9.075650453382877e-09
1939,6.117620188206274e-09
1940,7.607348528892999e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,0.0
1945,4.357008087652048e-09
1946,2.7842208538686464e-09
1947,8.344609447874518e-09
1948,4.348755133776194e-09
1949,4.908504269707237e-09
1950,8.508289184305795e-09
1951,7.462981344019681e-09
1952,0.0
1953,9.69644453618912e-09
1954,9.772536557761669e-09
1955,5.631364707880948e-09
1956,1.1337483840634377e-08
1957,1.767007518083119e-08
1958,3.3088973783179654e-09
1959,4.650448914844674e-09
1960,2.07624992754063e-08
