year,soixante - dix paires
1800,2.0668611711016638e-08
1801,3.6609762332773244e-08
1802,7.390513090399509e-09
1803,3.85714002959503e-08
1804,5.436811001402475e-09
1805,3.122235137098528e-09
1806,0.0
1807,0.0
1808,1.2450740882741229e-08
1809,3.4593430342511056e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,2.2179605707606243e-08
1818,5.734620600605922e-08
1819,1.6959136317495904e-08
1820,0.0
1821,0.0
1822,4.385904972536991e-09
1823,1.0795871974167426e-09
1824,4.5937693649023e-09
1825,0.0
1826,2.883177252499536e-09
1827,6.036392719011019e-09
1828,9.020797442360617e-09
1829,9.365493935931113e-10
1830,6.848352551713788e-09
1831,1.711448205377053e-09
1832,1.48262726540338e-08
1833,0.0
1834,8.182994726269044e-09
1835,1.6599210894696625e-09
1836,2.937395882085525e-09
1837,0.0
1838,0.0
1839,4.5855470531819265e-09
1840,6.958539300327971e-10
1841,7.01979030459654e-10
1842,0.0
1843,0.0
1844,1.0172755970927483e-08
1845,4.880323700717781e-09
1846,8.969246678702802e-09
1847,3.5343599158466077e-09
1848,0.0
1849,0.0
1850,7.430066562008619e-10
1851,0.0
1852,0.0
1853,6.537042018806005e-09
1854,1.1366367846932235e-09
1855,4.072451709191682e-09
1856,5.671140002050379e-09
1857,2.6748487869099336e-09
1858,1.6082963849584075e-09
1859,0.0
1860,0.0
1861,0.0
1862,1.4853255292379686e-09
1863,5.482613252283386e-10
1864,0.0
1865,0.0
1866,3.737514298052247e-09
1867,0.0
1868,0.0
1869,0.0
1870,5.026630667259724e-09
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,5.317470019861048e-09
1879,0.0
1880,1.4133966219631589e-09
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,7.111462529962864e-10
1887,1.440524810547572e-09
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,6.24259266501781e-09
1899,2.44016407080494e-09
1900,0.0
1901,3.0836730946504076e-09
1902,2.1628610014090555e-09
1903,5.960992255360509e-10
1904,5.93522675451652e-10
1905,5.697896043876938e-10
1906,1.7026970944300501e-09
1907,0.0
1908,0.0
1909,1.2132130855491141e-09
1910,3.539015080988861e-09
1911,1.761543133582677e-09
1912,0.0
1913,0.0
1914,0.0
1915,1.2988097264354792e-09
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,2.5070878706401345e-09
1922,8.143886676137413e-10
1923,1.173141472854411e-09
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,1.1799059507211496e-09
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,1.5306731437902954e-09
1961,7.66812890962143e-10
1962,0.0
1963,0.0
1964,2.01339389604982e-09
1965,0.0
1966,1.222114964782861e-09
1967,5.43188660717675e-10
1968,0.0
1969,4.992740665343831e-10
1970,0.0
1971,0.0
1972,0.0
1973,6.093281434971232e-10
1974,2.48771603317266e-09
1975,0.0
1976,0.0
1977,1.2989321840350954e-09
1978,0.0
1979,0.0
1980,0.0
1981,1.3925651742852097e-09
1982,6.818714481937604e-10
1983,0.0
1984,1.9104393622626503e-09
1985,6.608413816167058e-10
1986,1.316708742038486e-09
1987,6.713679612246892e-10
1988,0.0
1989,1.205561317441095e-09
1990,1.1939991217957413e-09
1991,1.2859849851665217e-09
1992,1.2070071608860644e-09
1993,0.0
1994,5.77337011531398e-10
1995,0.0
1996,0.0
1997,5.234240263440881e-10
1998,0.0
1999,0.0
2000,0.0
2001,9.554933511068953e-10
2002,9.54669232555716e-10
2003,4.5379322521910126e-10
2004,0.0
2005,4.904935346772277e-10
2006,0.0
2007,0.0
2008,4.6488379812359426e-10
2009,5.21569676337208e-10
2010,0.0
2011,1.258927961877987e-09
2012,1.874782551425369e-09
2013,0.0
2014,4.790310370594852e-10
2015,1.4708498863313935e-09
2016,0.0
2017,1.115607939361496e-09
2018,1.718996278654572e-09
2019,8.497503811710772e-10
