year,nouveaux_ADJ airs_NOUN,nouveaux_ADJ pères_NOUN
1800,3.144164395507687e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,1.3652374342143503e-08,2.145373123596528e-08
1804,1.2359254952798437e-08,7.4155526164076946e-09
1805,3.1271653710973624e-08,5.685755422035754e-09
1806,4.3225035994964855e-08,5.76333825108577e-09
1807,2.8469550272802735e-08,0.0
1808,7.478044494746428e-08,2.2660739951163578e-09
1809,9.036122072814123e-09,2.0331274441787173e-08
1810,4.212228077449254e-08,7.020380277111826e-09
1811,1.2535384286138651e-08,0.0
1812,1.600324850414836e-08,5.3344164641089264e-09
1813,7.476928232108548e-08,0.0
1814,1.5733386149463513e-08,9.440030979135372e-09
1815,2.6972236000233352e-08,1.3486118000116676e-08
1816,2.0858434979231788e-08,6.952811659743929e-09
1817,1.8682481339737933e-08,6.22749374290521e-09
1818,3.814776761146277e-08,7.152706205104664e-09
1819,5.900098543065724e-08,0.0
1820,2.7292905713238724e-08,2.8479554714522237e-08
1821,2.5639868894700157e-08,6.903041693817613e-09
1822,3.5089655625597516e-08,2.0051231786055723e-09
1823,2.3718449426723964e-08,2.569498569471307e-08
1824,2.7789671008804362e-08,2.6105450245950124e-08
1825,2.0252519661312363e-08,3.0819050422792316e-08
1826,2.554315514657901e-08,3.523193781163059e-08
1827,1.8434546333878643e-08,8.295545583791863e-09
1828,2.4765213879618386e-08,9.172301140836225e-09
1829,2.6576845613135447e-08,9.430493497220027e-09
1830,5.427154770032416e-08,1.2524203008013046e-08
1831,1.870944643656003e-08,6.236482219534878e-09
1832,4.058990921151917e-09,8.117981842303834e-09
1833,4.170106393530659e-08,9.266902800675325e-09
1834,2.240287511057204e-08,4.667265685043276e-09
1835,2.117664621437143e-08,5.294161553592858e-09
1836,1.747394939854985e-08,1.4113574753338298e-08
1837,6.262101948095733e-09,1.87863058442872e-08
1838,1.2624323808552163e-08,2.5248647617104325e-09
