year,mortels_NOUN heureux_ADJ
1800,2.515331676278265e-08
1801,2.1430643926123594e-08
1802,1.5664880947952042e-08
1803,3.315576790896557e-08
1804,3.213406074564773e-08
1805,3.1271653710973624e-08
1806,4.610670512050774e-08
1807,1.9928686256776018e-08
1808,2.039466551195801e-08
1809,2.710836621844237e-08
1810,3.978215445954447e-08
1811,1.2535384286138651e-08
1812,8.00162425207418e-09
1813,2.8757416004054903e-08
1814,9.440030979135372e-09
1815,1.6183340889597275e-08
1816,9.270415546325239e-09
1817,5.7604316872073014e-08
1818,2.5034471606844022e-08
1819,2.3807415150400857e-08
1820,2.610625760013363e-08
1821,1.676452932031225e-08
1822,2.4061478143266868e-08
1823,1.8777104759948315e-08
1824,2.0210670470532932e-08
1825,4.138558362676292e-08
1826,1.3211976401805714e-08
1827,9.217273166939322e-09
1828,1.9261832129302547e-08
1829,1.1145128819833872e-08
1830,4.0703660886265425e-08
1831,6.236482441579483e-09
1832,6.764984683549358e-09
1833,2.0850531967653296e-08
1834,1.866906162995008e-08
1835,3.781543966852041e-09
1836,8.064900081095061e-09
1837,3.478945576063097e-09
1838,3.787297142565649e-09
1839,5.5931801412612e-09
1840,1.2739377330817092e-09
1841,4.494383976094696e-09
1842,2.0124795163667386e-09
1843,5.31621990873532e-09
1844,4.390849017710252e-09
1845,5.022205318283568e-09
1846,1.4636253098387897e-08
1847,3.775256551818984e-09
1848,1.528592097344017e-08
1849,1.1731180471485914e-08
1850,6.1100964288129944e-09
1851,1.2898877521649865e-09
1852,3.2552727180501506e-09
1853,4.180352064508952e-09
1854,5.7152309551611324e-09
1855,3.714855978387277e-09
1856,1.5531567143511893e-09
1857,1.0739319655783675e-08
1858,1.4681028059904122e-09
1859,1.1711998704200255e-08
1860,3.204028820036342e-09
1861,3.3011745559363703e-09
1862,2.7107918409985388e-09
1863,3.995696662428827e-09
1864,1.2945765348604255e-08
1865,5.1775286835642476e-09
1866,2.432806400776144e-09
1867,3.396968040192405e-09
1868,4.939874287401835e-09
1869,4.395167341186834e-09
1870,1.8922360567330543e-08
1871,2.1242354542039266e-09
1872,6.047339295989218e-10
1873,1.0176207432266438e-08
1874,2.3898436563030145e-09
1875,5.721527140956084e-10
1876,4.232210137899983e-09
