year,des_DET artisans_NOUN,des_DET partisans_NOUN
1800,4.842013314743099e-07,1.396009018606037e-06
1801,6.167263109091436e-07,2.012099365344966e-06
1802,4.3637882640723547e-07,1.2822823691749363e-06
1803,6.670159939936582e-07,1.5641720789716373e-06
1804,5.017857496181222e-07,1.955234054662469e-06
1805,5.174037580601976e-07,2.10372949993598e-06
1806,4.725937401417468e-07,1.530166354513085e-06
1807,5.52309302292997e-07,1.5088862230783207e-06
1808,6.752900723050459e-07,1.7358126491728854e-06
1809,5.98643103977281e-07,1.6445742243575978e-06
1810,4.18882684982691e-07,1.9189039655032047e-06
1811,4.437525920053531e-07,1.4190055068752372e-06
1812,5.094367465652283e-07,1.4776333046029322e-06
1813,4.1698252539745795e-07,1.9209953947552094e-06
1814,4.688549051223845e-07,2.3002210198797e-06
1815,7.606170697727066e-07,2.5084178396639345e-06
1816,4.843792407172032e-07,1.7150269044918787e-06
1817,4.1412832629816876e-07,2.0581867090641026e-06
1818,4.243939049075607e-07,2.1124325186860915e-06
1819,6.676427268814678e-07,2.1374918190986136e-06
1820,5.411115546749556e-07,2.402962522296548e-06
1821,5.857724314495272e-07,2.3943694094086254e-06
1822,4.952654393264311e-07,1.944969383771422e-06
1823,6.07785223039059e-07,1.8777105239564662e-06
1824,5.052667582106096e-07,1.7734862822749164e-06
1825,6.595276875742684e-07,2.1229923028442954e-06
1826,5.86611779596069e-07,1.962418888723505e-06
1827,5.650188281691726e-07,2.0508432001520305e-06
1828,5.604276118731377e-07,2.172918200926688e-06
1829,6.961418748119286e-07,1.9118182059685296e-06
1830,6.616953882598864e-07,1.6803306230883663e-06
1831,4.739726655600407e-07,1.6246037271017144e-06
1832,4.5325396413886665e-07,1.963198641874442e-06
1833,4.610284083383931e-07,1.5649482083546218e-06
1834,6.151456144465328e-07,1.8155662502294945e-06
1835,4.968948630335035e-07,1.6774928681684287e-06
1836,4.859102293863771e-07,1.9194461877702906e-06
1837,5.301913077460085e-07,1.6072727806459852e-06
1838,5.011856378800417e-07,1.9422521795320336e-06
1839,5.145725818778146e-07,1.752762806006558e-06
1840,5.178557049845267e-07,2.047217861900208e-06
1841,6.37560471972165e-07,1.7162126315639625e-06
1842,5.011073938021582e-07,1.8494686724324083e-06
1843,6.674809629458878e-07,1.82759831446333e-06
1844,6.888144401528962e-07,1.9248384361958415e-06
1845,5.418401212153867e-07,1.8342208889521316e-06
1846,5.005598744389772e-07,1.9267164432790196e-06
1847,6.261532856655094e-07,2.088795605814653e-06
1848,6.468358435540722e-07,1.7281136468483282e-06
1849,3.8042543692995423e-07,1.7580012343643148e-06
1850,4.7183521534321926e-07,1.598808573533006e-06
1851,6.010876907325269e-07,1.559474252843529e-06
1852,5.488389884789058e-07,1.2988538289349094e-06
1853,5.16572121966874e-07,1.6034636551864878e-06
1854,5.382708270218473e-07,1.56961017694357e-06
1855,4.569272959997761e-07,1.3861719381225157e-06
1856,4.72159669584471e-07,1.5065620164733673e-06
1857,4.642315118985607e-07,1.532793895364648e-06
1858,4.697929032460024e-07,1.6300834246862905e-06
1859,6.059686299408895e-07,1.6193111100903934e-06
1860,4.554297916570249e-07,1.4875847993423008e-06
1861,5.616712952516423e-07,1.5675863913600097e-06
1862,4.635453993984129e-07,1.5975599030326748e-06
1863,4.300368652288e-07,1.6002765566014432e-06
1864,5.47078476742513e-07,1.543422962768659e-06
1865,5.408164049924835e-07,1.6464541978677971e-06
1866,4.568810485494623e-07,1.5156384165493364e-06
1867,5.435148811017143e-07,1.4145945463894805e-06
1868,4.307570282691131e-07,1.6835091329880925e-06
1869,4.1998263355935705e-07,1.5407502473863133e-06
1870,4.025302260401986e-07,1.5722761723679923e-06
1871,5.055680620813519e-07,1.3393304971742737e-06
1872,4.329894967014525e-07,1.2971543146278464e-06
1873,3.920832849502176e-07,1.3019559563787197e-06
1874,4.241972497709412e-07,1.1835700615137057e-06
1875,4.291145216939185e-07,1.249009382142674e-06
1876,4.685661512127126e-07,1.2412468635147889e-06
1877,4.2922623055829945e-07,1.2054206683931312e-06
1878,5.676743288773878e-07,1.4016724776411138e-06
1879,5.394534081659685e-07,1.3544374342089327e-06
1880,4.396224611014077e-07,1.2745842337125168e-06
1881,4.1765319025444114e-07,1.2738771673070914e-06
1882,4.97157290446637e-07,1.2092834724697354e-06
1883,4.5372852852665346e-07,1.3662410847103956e-06
1884,5.756679755108962e-07,1.3018546205501025e-06
1885,4.969584992409182e-07,1.4064376685496427e-06
1886,5.349921323727358e-07,1.4358956850202276e-06
1887,6.065371032093481e-07,1.254859335553249e-06
1888,4.774482746938702e-07,1.276999816113289e-06
1889,5.344161646547718e-07,1.3570286450104163e-06
1890,4.817474001939104e-07,1.3148098876314407e-06
1891,4.933646495786093e-07,1.29587897301775e-06
1892,5.98642905025315e-07,1.1333469931429363e-06
1893,6.078357177585758e-07,1.299425891332362e-06
1894,5.280690187348114e-07,1.1783878086646382e-06
1895,6.108893675360605e-07,1.3301138324095518e-06
1896,5.425266413894292e-07,1.3869812436340112e-06
1897,5.774273361680571e-07,1.2346805720042653e-06
1898,5.545187784505856e-07,1.3455568375064786e-06
1899,5.251199279854291e-07,1.2437051193359139e-06
1900,7.636039178748888e-07,1.195499574890846e-06
1901,5.968773111320047e-07,1.233993569549341e-06
1902,5.484787042320249e-07,1.0252672559829534e-06
1903,6.199452613486756e-07,1.2976729450997482e-06
1904,6.202317592851614e-07,1.2012287804452626e-06
1905,6.528360305679826e-07,1.3577956536892088e-06
1906,7.438490925437691e-07,1.2330610275057552e-06
1907,6.094269497936011e-07,1.302682214543438e-06
1908,6.360248789860634e-07,1.3948344950165392e-06
1909,6.573675541687862e-07,1.242672240664433e-06
1910,6.471766553772795e-07,1.2259482069509886e-06
1911,7.453844172999879e-07,1.2822102100074062e-06
1912,6.626383637353683e-07,1.4091484814571231e-06
1913,7.275701658926437e-07,1.349610881717922e-06
1914,6.823981859582773e-07,1.3426971445795743e-06
1915,6.173119242447456e-07,1.2475827073643586e-06
1916,7.910972925628812e-07,1.1657696674660656e-06
1917,7.018511922751713e-07,1.127348454588173e-06
1918,6.857366656731756e-07,1.123367577626766e-06
1919,7.835878683692954e-07,1.1353277411529916e-06
1920,7.027031010409246e-07,1.1509792727792956e-06
1921,6.641299350462759e-07,1.2033095675434424e-06
1922,7.104951720293684e-07,1.2151459642950613e-06
1923,7.261308319073123e-07,1.21234128691583e-06
1924,7.580275411811499e-07,1.0944988764194363e-06
1925,7.324786324147681e-07,1.2010010763674472e-06
1926,7.768858498735653e-07,1.3364219686451406e-06
1927,7.603771123854131e-07,1.129416502543279e-06
1928,6.695659973132706e-07,1.1917360787094822e-06
1929,8.165917684266333e-07,1.2577518777590058e-06
1930,8.938566473659648e-07,1.3959288658327296e-06
1931,7.105536958817993e-07,1.3526753264159197e-06
1932,8.592276472541016e-07,1.2197963936699807e-06
1933,8.08681662078925e-07,1.1631251961574662e-06
1934,8.92627738835472e-07,1.3191719361316245e-06
1935,8.988181363633885e-07,1.1980251919396778e-06
1936,1.0306007673932527e-06,1.1227486087506122e-06
1937,1.121868649534008e-06,1.0702450312649603e-06
1938,8.764484782375348e-07,1.3172658377413882e-06
1939,9.818780029036134e-07,1.0598777180348407e-06
1940,1.0498141307380138e-06,1.14363805892026e-06
1941,1.4078667511796539e-06,1.0359773776613679e-06
1942,1.086247849002575e-06,1.0377004193706796e-06
1943,1.466133788596835e-06,1.1932297248051782e-06
1944,1.1021228782936987e-06,1.3752436274216961e-06
1945,1.0500389748813177e-06,1.4225631090880597e-06
1946,1.194430794271284e-06,1.3183286071694056e-06
1947,1.074070528517268e-06,1.189702889092814e-06
1948,1.1545944751389925e-06,1.290493102601431e-06
1949,1.2879914805807857e-06,1.1044134637927527e-06
1950,1.1464919893455772e-06,1.14330136824492e-06
1951,1.076801577681863e-06,1.0650740289719351e-06
1952,1.0745154757074715e-06,9.98592931011899e-07
1953,1.2497639509945202e-06,1.154954286874954e-06
1954,1.0808425372488273e-06,1.0505476026878569e-06
1955,1.0145842033182362e-06,9.883045439806892e-07
1956,1.1477021963912648e-06,8.939170026422971e-07
