year,deviez_VERB unir_VERB,deviez_VERB punir_VERB
1800,0.0,9.432493897065797e-09
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,1.5602713787643552e-08
1804,0.0,7.4155526164076946e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,2.25903047379461e-08,0.0
1810,2.106114038724627e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-08
1817,9.341240669868967e-09,7.784366928831332e-09
1818,0.0,1.3113295338484932e-08
1819,1.035105001712111e-09,0.0
1820,0.0,2.3732962262101864e-09
1821,4.930744257336528e-09,7.88919063410276e-09
1822,2.0051231786055723e-09,3.0076847679083585e-09
1823,0.0,9.882686891060644e-10
1824,3.3684450784221553e-09,0.0
1825,0.0,1.7610886082763955e-09
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,3.6869092223668076e-09
1828,3.668920500743411e-09,0.0
1829,0.0,9.430493719264632e-09
1830,1.0436835840010872e-09,3.1310507520032616e-09
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,9.334530925997342e-10,1.8669061851994684e-09
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,0.0,6.720750067579218e-10
1837,2.7831563720326358e-09,0.0
1838,0.0,0.0
1839,0.0,2.0974426639952526e-09
1840,6.369688665408546e-10,3.821813088222825e-09
1841,6.420548537278137e-10,0.0
1842,6.708265054555795e-10,6.037438549100216e-09
1843,0.0,3.5441467538532834e-09
1844,5.488561272137815e-10,0.0
1845,1.674068439427856e-09,0.0
1846,1.7563503984519002e-09,1.7563503984519002e-09
1847,0.0,4.853901280910122e-09
1848,0.0,0.0
1849,0.0,8.379414939696517e-10
1850,0.0,6.788996032014438e-10
1851,6.449438760824933e-10,0.0
1852,6.510545436100301e-10,4.557382027314816e-09
1853,0.0,6.569124799682413e-09
1854,0.0,5.195664454227256e-10
1855,0.0,0.0
1856,1.0354378465748937e-09,0.0
1857,0.0,0.0
1858,4.404308473482388e-09,4.893676019968041e-10
1859,0.0,0.0
1860,0.0,9.154367819341758e-10
1861,4.715963730639317e-10,9.431927461278633e-10
1862,0.0,3.6143890103090826e-09
1863,4.994620828036034e-10,3.496234635136375e-09
1864,4.794727948009836e-10,2.8768367688059016e-09
1865,1.4120533631256649e-09,1.4120533631256649e-09
