year,dix_DET arts_NOUN,dix_DET parts_NOUN
1800,0.0,1.5720821977538435e-08
1801,7.143547975374531e-09,2.8574191901498125e-08
1802,4.475680270843441e-09,2.4616241489638924e-08
1803,3.900678446910888e-09,3.1205427575287104e-08
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,4.8988376022407465e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,4.5321478125970316e-08
1809,4.518061036407062e-09,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,5.3344164641089264e-09
1813,2.8757416448144113e-09,1.7254450312975678e-08
1814,0.0,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,2.3176038865813098e-09,6.952811659743929e-09
1817,6.227493631882908e-09,1.0898113522728181e-08
1818,3.5763532135746345e-09,1.1921176934492905e-08
1819,0.0,8.280840013696888e-09
1820,3.5599443393152796e-09,3.9159388620646496e-08
1821,0.0,1.0847637454958203e-08
1822,1.0025615893027862e-09,1.2030739071633434e-08
1823,1.9765373782121287e-09,1.087095569118901e-08
1824,8.421112696055388e-10,1.3473780313688621e-08
1825,8.805443041381977e-10,7.924898959288385e-09
1826,0.0,1.9377566218281572e-08
1827,3.6869092223668076e-09,2.1199728195142598e-08
1828,8.255071293206129e-09,3.944089499441361e-08
1829,8.57317605795771e-10,1.0287811491593857e-08
1830,0.0,7.305785310052215e-09
1831,0.0,2.3386808933878456e-08
1832,9.470978667991403e-09,1.2176972319366541e-08
1833,0.0,3.243415847009601e-08
1834,4.667265685043276e-09,1.4001796166951408e-08
1835,2.2689263801112247e-09,4.5378527602224494e-09
1836,3.36037508930076e-09,3.293167694096155e-08
1837,4.87052354003481e-09,5.4967337348443834e-08
1838,1.8936485712828244e-09,2.651107955387033e-08
1839,4.894032734625853e-09,3.146163862766116e-08
1840,7.0066574764382494e-09,3.3122379505812205e-08
1841,1.2841097074556274e-09,5.1364388298225094e-09
1842,3.3541325272778977e-09,2.6162233268678392e-08
1843,2.953455480181333e-09,2.539971788451112e-08
1844,4.390849017710252e-09,1.1525978449444807e-08
1845,2.2320911785556063e-09,2.2320911785556063e-09
1846,8.196302303531411e-09,2.2832555401919308e-08
1847,1.0786447290911383e-09,2.1572894581822766e-08
1848,1.6090443422100975e-09,2.574470947536156e-08
1849,8.379414939696517e-10,1.256912218750017e-08
1850,4.073397619208663e-09,2.308258562067067e-08
1851,0.0,2.8377531435808123e-08
1852,1.1718981340891332e-08,8.463708844885787e-09
1853,0.0,2.9859659189668264e-09
1854,2.0782657816909023e-09,1.7145692865483397e-08
1855,6.368324534378189e-09,4.776243400783642e-09
1856,2.0708756931497874e-09,1.8637882071015355e-08
1857,2.9289055625270066e-09,1.0739319655783675e-08
1858,0.0,1.1255455234504552e-08
1859,2.036869339860914e-09,1.5276519604867644e-08
1860,1.8308735638683515e-09,2.0597327482496652e-08
1861,1.8863854922557266e-09,8.488735048217677e-09
1862,5.421583626485926e-09,2.6656119089807362e-08
1863,9.989241656072068e-10,1.148762801550518e-08
1864,1.9178911792039344e-09,2.7329948748544552e-08
1865,1.4120533631256649e-09,2.2122168596983016e-08
1866,4.865612912574591e-10,1.3137154475373336e-08
1867,9.7056229719783e-10,3.3484399253325137e-08
1868,2.9639244392143382e-09,1.2843672791973404e-08
1869,2.441759683335931e-09,1.2697149998075474e-08
1870,2.8670243956696595e-09,2.8670243068518175e-08
1871,0.0,4.6733180880664804e-08
