bonADJanNOUN_count,bonADJrangNOUN_count
44.00000034854115,0.0
48.99999999696121,0.0
35.99999979119115,0.0
16.00000075664874,0.0
26.999999560426925,2.0000000605953305
20.000000724653788,0.0
37.00000149452859,3.0000000212158344
14.000000463380518,0.0
16.999999407501083,1.999999930294245
16.00000031883753,0.0
14.999999684322136,0.0
99.99999482357087,2.999999731341198
9.00000033859473,1.0000000191216762
17.999999499178145,0.0
31.99999946496901,0.0
12.999999425895822,0.0
8.00000021016487,0.0
21.9999992716086,0.0
45.00000147061254,0.0
17.999999066282882,0.0
98.00000545070915,6.000000242066681
75.99999790623146,0.0
56.0000013658896,0.0
113.99999817677954,1.9999999936351254
23.999999736640248,0.0
53.000000245263465,0.9999999808382316
55.000001778050894,4.000000101811552
41.99999998389642,0.0
31.999998405781252,0.0
69.00000053771814,3.0000000909440674
77.99999905430558,1.0000000124238915
55.000000750743105,0.0
107.99999486253947,0.9999999858613794
82.99999797543822,0.0
72.00000286866612,10.000000874174692
183.99999338696983,2.9999998921788564
160.00000350011166,5.999999767828883
178.00000100837897,0.0
181.00000770987154,1.00000001927403
141.0000003235311,18.999999460215697
151.99999782016724,10.999999565895129
218.99999314642918,10.999999759980758
179.00000145233332,13.999999958259991
198.99999022644684,14.999999690208849
139.00000293703408,33.000001614087516
255.99998972529966,12.000000214721414
271.0000069099878,23.000000161000575
184.99999551979175,10.99999983152954
187.00000518417144,18.000000085755666
163.99999472896243,19.999998685025368
184.0000151059605,21.00000067886239
205.99999395151815,17.99999902358692
158.99999625215142,20.00000012917034
312.00002177242425,15.000000102916374
288.0000037717309,38.999997946564235
347.00000993443297,24.000000687107757
381.0000018781261,70.00000196606507
346.99997821897364,53.99999935801007
404.00000981444134,61.0000031620613
330.0000010957005,61.99999933375737
358.00001088743016,92.9999988945568
438.99997800202203,77.9999954479637
565.9999790684809,169.0000041942603
371.0000014283648,90.00000354834827
385.00001419195297,97.00000676081156
370.9999952294636,155.99999622405016
339.0000105214212,84.00000577329212
423.0000121953154,63.000003296087826
400.9999939453989,129.0000004488169
481.99999961609547,115.9999976436336
277.0000144979982,98.00000001826291
159.00000914047087,91.00000161291945
245.0000135258068,86.00000001199558
285.9999979191126,87.00000008813012
286.0000186458753,109.00000164074382
466.00001164718776,125.99999629360426
269.9999877160584,138.00000008734264
306.9999789291707,175.99999132569292
299.9999956903956,133.00000050138294
345.99998080915566,184.99998915075355
375.99998506588605,161.99999010582187
431.9999926546537,213.99999141934734
433.0000215013654,153.0000005889071
372.00001481588464,189.00001460022702
383.99999079714405,170.99999724723213
424.00001061048516,201.00000668416442
362.99997935681745,239.99999945472598
401.9999832511959,347.9999798158872
541.9999563548641,244.99999400492217
438.9999956376388,371.00000047266496
409.00002235745984,360.00000804305387
428.0000069447207,341.000003781554
441.99999889018335,411.0000127458213
448.0000193454664,371.99999842221933
296.0000070277558,418.99999574868974
392.0000069806633,457.00001540382897
454.0000325413559,330.0000046109503
515.0000307980092,378.0000195387387
479.00004049821587,496.0000221163129
544.9999964713503,518.0000128734999
577.0000411226457,418.00002039667845
492.99997197835694,484.99998409923234
489.00002946260076,378.00000777161176
515.0000075130868,449.00002701488097
559.999967011713,441.99999431266787
637.999961200542,529.0000013002158
706.9999588590372,425.9999997294086
675.9999918322311,437.99999156040064
776.000065149075,457.00001034646334
659.9999760769643,376.00000054029135
654.9999577261469,435.9999827812083
710.0000202318901,450.0000154564344
745.9999717280845,427.9999778923301
589.9999896255064,451.0000065245903
469.00000599917763,341.99998419478925
292.00000726741774,255.00000554098497
328.00001005490844,196.0000126329996
340.99999361480957,200.9999977848566
280.00001001845345,238.9999932191197
328.0000063588609,263.99998723793146
314.00001341138704,192.00000533174293
345.0000030995035,220.999998715065
431.9999732476407,237.99998927420003
357.00000407883095,158.9999969233013
216.99998622366527,163.99999835117214
319.99998908439466,131.9999944070951
330.99998472564425,154.99999408957314
316.00001374856987,115.0000036168992
274.00000036401127,142.00000939176064
305.9999931643379,144.99999985611808
317.0000225240423,158.00000305330775
326.00000645152755,128.00000620226103
323.00000619861265,149.00000673336112
300.9999890728538,142.00000165682133
228.00000801180872,119.00000115143055
261.00002203739825,106.00000294493366
244.99999970947957,105.99999601130193
254.9999798313495,108.99999819499796
216.99998345888477,96.99999880619599
220.99998877210317,57.99999726353281
133.0000044074147,58.0000010793043
133.00000161672813,26.000001365892782
131.00000204221539,31.99999965868461
145.99999643318534,31.99999925175866
113.99999306369479,36.9999995575753
151.99999883893014,60.99999876155809
253.0000023001548,82.99999653819167
285.9999872235463,86.00000022210199
281.99999467444735,109.99999544283827
411.9999778302658,116.99999530288262
305.00001446586987,98.9999997778648
251.9999985007527,118.99999568201537
298.9999841860637,87.99999676551107
345.99999788648415,91.99999924741536
304.9999922980146,125.00000077683862
313.0000156417067,124.00000036762782
391.00001196607644,94.00000364773268
382.9999933691521,118.99999574544601
436.9999950939342,107.00000045963857
434.000016598364,119.9999983792292
412.9999994118765,122.99999896721286
483.00000586126174,132.99999968726792
542.9999851340216,155.99999795749943
530.000000403442,153.99999854147168
528.9999837124527,152.00000125884017
606.0000260134427,196.0000060565824
651.0000128703591,142.00001145776625
636.0000233238673,202.00001064825042
850.0000209566642,234.000002958867
722.9999830163007,214.9999974379543
761.0000177921748,186.00000290713947
734.9999959833257,188.99998908992694
706.0000122404546,137.00000890808116
753.999991140125,163.0000069473185
601.9999517748508,149.99998880202745
651.0000178165877,170.00000100255622
753.9999722240154,182.999994314202
817.9999806571798,132.99999895388882
785.9999777538852,172.99999759922974
